	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
SAMD11	801.960271672297	3.21549479901264	0.756017436486217	4.25320190227022	2.10735410309652e-05	0.00116981361467486	SAMD11
ISG15	890.765996548039	-4.03386755367182	0.924061700573434	-4.36536602606576	1.26910067156976e-05	0.000737040500171112	ISG15
ACAP3	178.622832781099	1.98849503814206	0.616248033507855	3.22677709302048	0.00125192948092608	0.0280703974895899	ACAP3
VWA1	221.022920423648	2.59047744324501	0.712895579226656	3.63374036637334	0.000279341965924499	0.00977774475726281	VWA1
PRDM16	12.1294528550501	-1.94092106037867	0.635016457317048	-3.05648938388004	0.00223945410713856	0.0405450592012255	PRDM16
ARHGEF16	62.3571660690539	2.14657034303349	0.619861409011158	3.46298432492811	0.000534219516230074	0.015730588843535	ARHGEF16
MEGF6	34.9521171218589	1.36844761135815	0.461805884039746	2.9632528702046	0.00304406385232001	0.0474143987677187	MEGF6
SMIM1	5.54942071915693	4.86340592648344	1.65662691757043	2.93572793904375	0.00332766031374267	0.0490676665765772	SMIM1
KCNAB2	235.163406245478	1.24773877813629	0.371938270773043	3.35469317406613	0.000794530571308348	0.0207285294597443	KCNAB2
SLC45A1	37.4471012326439	1.86685230579577	0.553452562730594	3.37310264963848	0.000743262379392657	0.0198500743142709	SLC45A1
FBXO2	85.3833960732378	2.40603120406991	0.687707578327418	3.49862540401495	0.000467663110148975	0.014209723475235	FBXO2
TMEM51	337.022876698917	-0.762339204280199	0.252849193564184	-3.01499559296274	0.00256982989664238	0.04364208426899	TMEM51
PADI2	26.2489596999111	1.5449960119374	0.454000922185381	3.40306800369567	0.000666336935145182	0.0183327383218831	PADI2
KLHDC7A	73.0656507465291	1.47026550186142	0.417513797447274	3.52147763942362	0.00042914885897383	0.0134109017344411	KLHDC7A
RAP1GAP	654.713248386542	2.24847030153375	0.334809764785851	6.71566524641808	1.87210133293541e-11	2.94879361203989e-09	RAP1GAP
