	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
WASH7P	26.8132006267829	2.16448259597197	0.720447156382087	3.00435996838614	0.00266140238755577	0.0225911993675147	WASH7P
SAMD11	710.667514839664	3.5057517613002	0.806903879494335	4.34469563276503	1.39468903126995e-05	0.000595920340822744	SAMD11
NOC2L	878.478608495743	0.491689259346661	0.166992070637139	2.94438686502106	0.00323595230275502	0.0261194255194068	NOC2L
KLHL17	136.157468830425	1.42086601503814	0.43719778275696	3.24993874872417	0.00115429867308783	0.0131656008656189	KLHL17
PLEKHN1	42.4615193377862	3.22342016029535	0.597195808015462	5.39759341413846	6.75407103836429e-08	1.08468828216122e-05	PLEKHN1
HES4	83.593313594013	1.59593783858909	0.582175065264222	2.74133664220876	0.00611897792097674	0.039876100518604	HES4
AGRN	2516.64935886402	1.74892602485389	0.37470962579573	4.66741685949457	3.05010106681175e-06	0.000200075174204196	AGRN
ACAP3	258.835446822478	1.95703843064902	0.539733052886788	3.62593771158113	0.000287914754964142	0.00524477830033766	ACAP3
AURKAIP1	612.65245136678	1.48908449433085	0.334060125111723	4.45753438496389	8.29077415029102e-06	0.000410775519247752	AURKAIP1
LOC148413	124.348525185039	1.01956720459327	0.311356149412953	3.2746011489274	0.00105811251214421	0.012439567852852	LOC148413
VWA1	249.733038336714	1.86477664302242	0.611218921133166	3.05091445723772	0.00228145564176528	0.0205946082039797	VWA1
ATAD3A	246.346706591331	0.782680643383674	0.252310010419269	3.10205941525299	0.00192179382179225	0.0183913036151242	ATAD3A
MORN1	47.9060550677572	1.54160812502021	0.351806817276044	4.38197342779346	1.17609155830862e-05	0.000518370701977542	MORN1
LOC100129534	22.3184508974228	2.27350724686566	0.57328487408936	3.965754809905	7.31640436165671e-05	0.00198521905783376	LOC100129534
PANK4	127.393563987816	0.589889586238657	0.216284428492281	2.72737889801304	0.00638396863549116	0.0408494706235382	PANK4
FAM213B	195.519224812921	1.49068386407288	0.436634686998499	3.41402987087465	0.000640095575210903	0.00885486670974925	FAM213B
TP73-AS1	174.114688866898	0.926509454342999	0.210281796521889	4.4060373730284	1.05278806741564e-05	0.000485463857357468	TP73-AS1
C1orf174	179.873426504322	-0.548997158161588	0.202232409794431	-2.7146843511366	0.00663389664058353	0.0418270775551593	C1orf174
GPR153	27.0311563030582	1.52308101780919	0.560824949183504	2.7157868422698	0.00661184726326167	0.0417068758294772	GPR153
VAMP3	649.386821371671	-0.697142044863661	0.147988309155723	-4.71079133778116	2.46756779365666e-06	0.000170677510955301	VAMP3
SLC45A1	59.0699607499965	2.48780371526195	0.778635021573684	3.19508324995953	0.00139790511155635	0.0150127057791432	SLC45A1
H6PD	482.906134113685	1.12445397362584	0.187037849318169	6.01190602717548	1.83354605667465e-09	6.39254969354452e-07	H6PD
SPSB1	317.091379376586	1.43246588783147	0.226408045962193	6.32692129709328	2.50100832814201e-10	1.39776353443201e-07	SPSB1
SLC25A33	52.5038188870449	-0.950795963809728	0.296924881904771	-3.20214310673588	0.00136409213234532	0.0147816532787957	SLC25A33
TMEM201	124.853817101376	0.964556989635853	0.275745265287973	3.49800018734147	0.000468760803351724	0.00718383806652015	TMEM201
PEX14	138.867417605819	1.12884504729025	0.334193367697074	3.37782001800071	0.000730628841069567	0.00971353834422065	PEX14
CASZ1	40.1648562609967	1.66971813615869	0.429558100359959	3.88706006186244	0.00010146565485901	0.0025055678615865	CASZ1
EXOSC10	740.072354104104	-0.77075421547645	0.206667556096971	-3.72943983096602	0.000191905923077165	0.00392004321233062	EXOSC10
FBXO44	246.552766342538	1.83891909205283	0.57537302555736	3.1960467564003	0.00139324532179516	0.0149741720277862	FBXO44
FBXO6	64.5554562742492	1.22561269291918	0.4336360771373	2.82636237512849	0.00470799700529523	0.0336471274465396	FBXO6
AGTRAP	398.173566258033	1.53766484830861	0.340900792836718	4.51059334744671	6.46465452981831e-06	0.000344748675918402	AGTRAP
MTHFR	171.050480424119	0.931687531165637	0.270640627083942	3.44252650167214	0.000576307394063347	0.00824260045435412	MTHFR
MIIP	114.829803722017	0.859424028577462	0.321024787477205	2.67712669582715	0.00742565495992451	0.0452864474465584	MIIP
AGMAT	115.175059343578	1.03715433295593	0.340116330201578	3.0494105717924	0.0022929088637024	0.0206420893322486	AGMAT
RSC1A1	29.1111860969101	-1.30876197810606	0.329936703776209	-3.96670622918563	7.28727222342997e-05	0.00198521905783376	RSC1A1
FAM131C	48.6252639772562	1.02057540526901	0.33633865279759	3.03436847588016	0.00241039830389952	0.0213829111759264	FAM131C
FBXO42	116.558612937629	0.676151516160627	0.200511144243188	3.37213933276728	0.000745867047541266	0.00986509701820866	FBXO42
SZRD1	1039.20123504454	1.10992293183579	0.302799839890167	3.66553341718536	0.000246823577328166	0.0047241356471632	SZRD1
CROCCP2	176.041493560603	0.720722798359569	0.258262795308709	2.79065669330368	0.00526012322777455	0.0361973355986538	CROCCP2
CROCC	170.425592875543	1.34281065681691	0.405484927113128	3.311616701457	0.000927585419489583	0.0114489606723573	CROCC
ARHGEF10L	181.474686850995	1.24790888598554	0.380315568471725	3.28124586379724	0.00103349612466211	0.0122697207480168	ARHGEF10L
ALDH4A1	236.571473991689	1.53530547318229	0.283168923074585	5.42187135689993	5.89783213182062e-08	1.01150757328664e-05	ALDH4A1
FAM43B	39.505472543226	4.87693620675388	0.999893082456562	4.87745769254859	1.07461887448411e-06	9.51820783823578e-05	FAM43B
SH2D5	85.3101559823176	2.03425164711993	0.477319269100492	4.2618259492299	2.02763340673004e-05	0.000769839509750873	SH2D5
ECE1	1764.87861507769	0.754766759242275	0.266940881552098	2.82746784551608	0.00469177269591744	0.0336061486986787	ECE1
LYPLA2	372.745901550869	0.894714376600195	0.250695143810194	3.56893381739217	0.000358436949943347	0.00605572075527019	LYPLA2
MYOM3	168.326055886966	1.18553513876383	0.444681351618658	2.66603295696669	0.0076752168388333	0.0463311971584257	MYOM3
RCAN3	126.066357219895	-0.666351160805733	0.1790880304668	-3.72080232871435	0.000198590840607164	0.00398107819443444	RCAN3
PAQR7	54.8272661086607	1.23447761659155	0.451213059361824	2.73590843832743	0.00622083325369645	0.0402582131638012	PAQR7
STMN1	1425.63443994701	-0.896135604569553	0.251673826129972	-3.56070243119664	0.00036986404485652	0.0061741223831963	STMN1
HMGN2	1065.27222328183	-0.595433083056012	0.204328365594335	-2.91409898632557	0.00356716778761421	0.0279218309963842	HMGN2
ZDHHC18	259.397943823199	0.940804990100775	0.276705027360066	3.40002853969307	0.00067378820045239	0.0091935241569539	ZDHHC18
WDTC1	182.503723161507	1.04201041902212	0.217788109785172	4.78451472878832	1.71400929218372e-06	0.000133045210168839	WDTC1
STX12	139.805555760918	-0.635609493132984	0.242180126686755	-2.62453200363177	0.00867681378564066	0.0497338503809893	STX12
XKR8	56.8136593997082	0.905280620201667	0.328597636518638	2.75498214105481	0.00586953391819936	0.0388778355905656	XKR8
SNHG12	100.314410747341	1.04974785326367	0.364540813454418	2.87964423877857	0.00398124138671737	0.0299064003522662	SNHG12
SDC3	272.849499179608	1.5560871862862	0.326185132824028	4.77056441173143	1.83710426996143e-06	0.000140262409070498	SDC3
SERINC2	328.985981838909	1.78130980017071	0.509127708912179	3.49874848488746	0.000467447299714288	0.007177113924844	SERINC2
PTP4A2	1734.52086343	-0.784447835182592	0.161690081822884	-4.85155197114615	1.22499099917789e-06	0.000104363257564107	PTP4A2
TXLNA	692.994543361591	0.405553199416949	0.152853314325629	2.65321822563157	0.00797283065744488	0.0473288492820997	TXLNA
CCDC28B	23.1594791920235	4.09171459816207	1.24941662161664	3.27490008326265	0.00105699351058866	0.012439567852852	CCDC28B
FAM167B	21.1040890985763	3.53572638354588	1.138376283057	3.10593820002208	0.00189676352554429	0.0182598058056384	FAM167B
MARCKSL1	759.849420704461	1.07114017345433	0.393991811578629	2.71868638376653	0.00655417182650085	0.041474134402115	MARCKSL1
FAM229A	23.1221505171323	4.10216023517396	1.31283348551168	3.12466149016236	0.0017800978089545	0.0173985446003544	FAM229A
BSDC1	346.653504282884	0.619207622513681	0.179082808488653	3.45766088738168	0.000544886782920574	0.00793864247233186	BSDC1
KIAA1522	814.623976710972	1.23611857173452	0.248119495681262	4.9819485902972	6.29471603348206e-07	6.2286714508473e-05	KIAA1522
S100PBP	218.294417472673	-0.512412098180259	0.160555047048532	-3.19150414515073	0.00141534080114998	0.0151288725688822	S100PBP
TMEM54	219.040515631029	0.685527754891958	0.246008011302835	2.7866074412027	0.00532629581919286	0.0364441749195704	TMEM54
NCDN	178.695208643091	1.00448720985537	0.296450717856787	3.38837840271524	0.000703071950536081	0.00947282670481207	NCDN
ADPRHL2	219.248435270441	1.12275928630756	0.382089195060938	2.93847431652312	0.00329831985028099	0.0264547215546073	ADPRHL2
MAP7D1	825.492735249719	0.690632298076734	0.259758968483729	2.65874284190497	0.0078432803707562	0.0468517799658852	MAP7D1
ZC3H12A	569.305219331471	1.82191269355219	0.692754561485671	2.62995409174202	0.00853963992978173	0.0493040698755828	ZC3H12A
EPHA10	36.9186873452429	1.01570180025625	0.319271035517032	3.1813152064089	0.00146608020996191	0.0153833506787072	EPHA10
ZMPSTE24	457.319361088938	-1.06271316353994	0.384739913736502	-2.76215990490595	0.00574203486177397	0.0383497662947925	ZMPSTE24
EBNA1BP2	955.084965721954	-0.942010644460361	0.193089380868694	-4.87862481210686	1.06828053979435e-06	9.51820783823578e-05	EBNA1BP2
SZT2	273.20366526131	1.06374222936293	0.271988501256806	3.91098235567896	9.19214879489864e-05	0.00235224730700227	SZT2
KDM4A-AS1	7.49493395785959	5.50746528438347	1.62711288358405	3.38480835592189	0.000712279657350249	0.0095600109245895	KDM4A-AS1
DPH2	239.728251924995	0.671895010335036	0.234961394405098	2.85959747573093	0.00424179035682094	0.0312258624439067	DPH2
ATP6V0B	575.234456444038	2.00320749067813	0.624158061533552	3.20945544748115	0.00132986654520345	0.0145276742529966	ATP6V0B
CCDC24	108.16565516416	1.58373884498909	0.538022847767117	2.94362749009985	0.00324390185275738	0.0261382910534752	CCDC24
RNF220	400.073233920861	0.617287625294805	0.180285698450066	3.42394117005223	0.00061719980649311	0.00864079729090354	RNF220
BTBD19	32.0542617538334	4.57593518069709	1.04013636004744	4.39936084965665	1.08570166665099e-05	0.000492513756053493	BTBD19
HPDL	19.5219279835871	2.07770365275243	0.78400382034164	2.65011929641751	0.00804633535875855	0.0475636695011703	HPDL
GPBP1L1	488.440646852044	-0.860727845614001	0.25747308274972	-3.34298186211054	0.00082883317111362	0.0105661104624083	GPBP1L1
DMBX1	30.5948899562152	2.14203987601876	0.59496241593778	3.6002944364855	0.000317857038716332	0.00559332310446421	DMBX1
MOB3C	68.3384663645241	1.02323968335827	0.328297099108212	3.11681000574724	0.00182819352838511	0.0177139528284305	MOB3C
PDZK1IP1	145.408577354173	2.25900872341303	0.716269297769961	3.15385390724724	0.0016112972568787	0.016338160024889	PDZK1IP1
CDKN2C	258.715071100005	0.827106425345246	0.300099377154822	2.75610843710128	0.00584936013765127	0.0388253015882487	CDKN2C
TXNDC12	702.813419285082	-0.483064259484554	0.161495136398232	-2.99120004638011	0.00277883387405134	0.0232908619605551	TXNDC12
BTF3L4	242.25650832362	-0.725622079721577	0.214045489141718	-3.39003677503872	0.000698832482996404	0.00943600337704889	BTF3L4
CC2D1B	353.431128821761	0.595042924436712	0.213392692166428	2.78848782681194	0.00529547375248584	0.0363344736826605	CC2D1B
PRPF38A	226.803789542325	-0.519888692455713	0.17003491378201	-3.05754083612632	0.00223161232658784	0.0204318915612379	PRPF38A
ECHDC2	97.0059065773349	1.82238626711243	0.68605476154267	2.65632770045149	0.00789968077913486	0.0471282407540872	ECHDC2
ATG4C	82.2726815689422	-1.14049319581008	0.322408248574937	-3.53741940800562	0.000404057477469512	0.00652709736174476	ATG4C
ITGB3BP	175.244647364305	-0.938194142714878	0.338933794067697	-2.76807494305949	0.00563884873863551	0.0378961012872609	ITGB3BP
RAVER2	172.606728507125	-0.962673513439958	0.245510593047638	-3.92110784911495	8.81427998375441e-05	0.00228909144856908	RAVER2
AK4	175.68206643745	1.06575880100193	0.395636097474154	2.69378554637967	0.00706456031368459	0.0436497667047277	AK4
LEPR	55.6709134226384	-1.7283353389415	0.571344179228241	-3.02503359932028	0.00248605507847811	0.0217783012442782	LEPR
WDR78	10.738569812734	-1.97982083064953	0.481031043068511	-4.11578599588956	3.85862204617396e-05	0.00123088281345074	WDR78
MIER1	194.946486570713	-1.24389458588212	0.341097659634246	-3.64674031248391	0.000265588091771531	0.00495648163616317	MIER1
LRRIQ3	9.8633784084052	-1.41712991416672	0.537001401763089	-2.63896874293806	0.00831586478606982	0.0484930145204372	LRRIQ3
FPGT	74.5195358570765	-0.798143405194491	0.288823945342682	-2.76342532558204	0.00571981786828259	0.0382379403137054	FPGT
LHX8	34.815319584741	7.72785875454615	1.80968757560197	4.27027231591374	1.95234440936052e-05	0.00074945845506773	LHX8
PIGK	254.131118577997	-1.00483164846452	0.366586997676078	-2.74104552216662	0.00612440217343308	0.0398830200659984	PIGK
RPF1	252.49730697408	-0.94000227067727	0.303132002415627	-3.10096678406269	0.00192889926631842	0.0184403040249146	RPF1
SSX2IP	176.911276097486	-1.19846191049758	0.415902356448699	-2.88159442214031	0.00395668665388313	0.0297699654970679	SSX2IP
BCL10	98.607808964103	-0.736822545035887	0.26856791658873	-2.74352407538022	0.00607835908584292	0.0396854360501856	BCL10
ODF2L	107.644763898981	-1.15031244158151	0.366883302123862	-3.13536330196122	0.00171641401236478	0.0169842327059212	ODF2L
GBP1	14.2018516435735	3.97498014536571	1.21746799759336	3.26495657645481	0.00109480859081091	0.0126943283243237	GBP1
GBP2	61.5496492991741	4.50452779205534	1.08985219189831	4.13315477597868	3.57817589739137e-05	0.00117911022731963	GBP2
LRRC8D	539.174615206534	-0.756105691175266	0.230813642408848	-3.27582756064284	0.00105352864680706	0.0124323498760036	LRRC8D
GEMIN8P4	21.6460871871353	1.34129719707927	0.480811936836551	2.78965036913224	0.0052764987898563	0.0362632764839509	GEMIN8P4
TGFBR3	105.622004797023	-1.07892616912057	0.338094230176827	-3.19119959117989	0.00141683366097377	0.0151288725688822	TGFBR3
GLMN	69.0703386334077	-0.91442113432435	0.344564061806439	-2.65384941636203	0.00795793311948219	0.0473288492820997	GLMN
RPAP2	93.4058756632168	-0.743595125077851	0.282514076933455	-2.63206397765801	0.00848678797852724	0.0491818339427551	RPAP2
FAM69A	170.036505622971	-0.663519579700248	0.216346480334454	-3.06693031786097	0.00216269266969807	0.0199584821539111	FAM69A
TMED5	397.521323739451	-1.22278426060733	0.374241700659092	-3.26736507036451	0.00108553598335216	0.0126287333550344	TMED5
PALMD	13.6214357286298	6.37424446974363	1.65143778546933	3.85981508103383	0.000113472861072373	0.00271945594323018	PALMD
TRMT13	70.8083868855324	-0.965208304124542	0.363641417476374	-2.65428594691707	0.00794764459198858	0.0473178202756856	TRMT13
RTCA	243.071594052789	-0.75471534747602	0.209701493972983	-3.59899842951646	0.000319445118363371	0.00560714471579526	RTCA
SLC30A7	122.44240104348	-0.841166274496876	0.311555690672039	-2.69989058034037	0.00693622845325996	0.0430915891280339	SLC30A7
COL11A1	22.1492410612857	5.62610620645646	1.83336904922544	3.06872542046751	0.00214974075900612	0.0198783440667329	COL11A1
RNPC3	71.1622899206555	-1.27092719305743	0.344021544596408	-3.69432441956049	0.000220472173618442	0.00430259890654887	RNPC3
AKNAD1	3.32567438785812	-2.07100499606866	0.763718444456139	-2.71173887589355	0.00669312957862848	0.0420298456056616	AKNAD1
CYB561D1	101.246818579269	0.822369871237639	0.24463999866508	3.36155115976554	0.000775059972185734	0.0101396422578456	CYB561D1
GSTM2	16.8720961162753	6.68252441867527	1.69706260320618	3.93770059280682	8.22661533246247e-05	0.00217693692093117	GSTM2
EPS8L3	83.2052188637674	3.82669005107593	1.13709309965512	3.36532694837087	0.00076453007902335	0.0100206512796569	EPS8L3
KCNC4	46.1594057368949	1.1746922514179	0.436876567258396	2.68884243160405	0.0071700254506186	0.0441125475984337	KCNC4
DRAM2	217.247006199968	-0.745819253516115	0.236466614228177	-3.15401502216478	0.0016104079605429	0.016338160024889	DRAM2
RHOC	1534.2861361095	0.553616727857739	0.20923691800488	2.64588454626744	0.00814776198680747	0.0479328549388101	RHOC
TRIM33	265.486391803553	-0.786108490142525	0.189842959800118	-4.14083561997877	3.46042886533986e-05	0.00114843496690091	TRIM33
CSDE1	2556.71428279988	-0.668299242019927	0.221741550294633	-3.01386565184532	0.00257942002133138	0.0222329775065034	CSDE1
SIKE1	129.785047829728	-0.942610058574204	0.225129681853058	-4.18696482318775	2.82709620920311e-05	0.000994966958060097	SIKE1
CD58	114.964890114058	-0.772820660623054	0.266135281984678	-2.90386398548821	0.00368588248993362	0.028531385124295	CD58
PTGFRN	381.739777174773	0.715445360274736	0.221313458750272	3.23272413849009	0.00122615904756265	0.0136945597222585	PTGFRN
HIST2H3D	3.37273898743417	-4.59184536307824	1.57139752660736	-2.92214114209026	0.00347633966103699	0.0274414789514174	HIST2H3D
SV2A	2.23999194763041	-4.93346728119915	1.45233708226824	-3.39691614393963	0.000681498475212067	0.00926429277193203	SV2A
APH1A	1104.6261881245	0.998352184424473	0.217064321275319	4.59933801445972	4.23835606193316e-06	0.000253069704689445	APH1A
ADAMTSL4	28.9948639566271	2.387448710153	0.682118262670773	3.50005100406659	0.000465169145283766	0.00715786706817707	ADAMTSL4
HORMAD1	77.4352816559929	-1.29817534722502	0.429169390129445	-3.02485539994702	0.00248752024227525	0.0217783012442782	HORMAD1
MLLT11	524.432077389941	-0.724159992758575	0.26728235948721	-2.70934450798735	0.00674162971377096	0.0422009883332043	MLLT11
LYSMD1	57.2980261364173	0.682132312412561	0.245884734215137	2.7741954562162	0.00553384193481004	0.0373882202674883	LYSMD1
ZNF687	296.817422724992	1.24474848267518	0.269568306365497	4.61756242585682	3.88273898858064e-06	0.000239145232659343	ZNF687
TDRKH	181.503840909074	-0.900653359186895	0.29450748543369	-3.05816797104698	0.00222694711257564	0.0204032164307586	TDRKH
S100A5	8.23882634193025	-2.21612857894493	0.69623051007004	-3.18303858692143	0.0014573819071192	0.0153234550405507	S100A5
S100A3	280.93243937571	0.706292161774231	0.264450481551925	2.67079174002393	0.00756725806332806	0.0458981459962067	S100A3
CHTOP	691.057139109582	0.665001340823013	0.182178393559583	3.65027557785286	0.000261959104610986	0.00491947931401169	CHTOP
SLC39A1	1397.36745234376	1.43054097844739	0.219876840037542	6.50610122559126	7.71262655684026e-11	6.73505114076076e-08	SLC39A1
CREB3L4	135.503751028459	0.894915314784684	0.30040860198228	2.97899364026025	0.00289196780662552	0.0239459876008405	CREB3L4
