	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
SAMD11	763.800889453428	-3.92545103226789	0.757540204671166	-5.18183854541669	2.19709362746062e-07	8.78445112836487e-06	SAMD11
ISG15	602.791851118312	3.44296633871369	0.929650188024312	3.70350738704271	0.000212638986527253	0.0032424428433679	ISG15
AGRN	2584.75369591507	0.587623294853698	0.217575829426372	2.70077469727653	0.00691781834258727	0.0435491900723137	AGRN
B3GALT6	282.747344374254	-1.95905880947229	0.732506435649591	-2.67445951889145	0.00748498121518101	0.0459777035412628	B3GALT6
SCNN1D	29.0628320799591	-2.27787638370546	0.845566954551606	-2.69390421591557	0.00706204561962446	0.0441599362301024	SCNN1D
ACAP3	185.101163973355	-1.6817845297784	0.596221197541592	-2.82073924361115	0.00479131314164098	0.0331957198271299	ACAP3
PUSL1	140.570574056407	-2.19555810641988	0.827995754289363	-2.65165382195014	0.0080098618584902	0.0481021386709688	PUSL1
VWA1	222.875383435292	-2.40923149283607	0.68159866219079	-3.534677555106	0.000408273035736486	0.00553455092036726	VWA1
MORN1	37.0122254416924	-1.24134302262001	0.425700151500099	-2.91600324370503	0.00354546814777595	0.0270556405322469	MORN1
LOC100129534	14.1115362443304	-2.35420029146306	0.717069369175613	-3.28308583891904	0.00102677395467103	0.0110881682532561	LOC100129534
PEX10	196.209475548806	-1.54706730728259	0.52917397726848	-2.92355137202387	0.00346063115746096	0.0265203188644213	PEX10
FAM213B	193.003591141993	-1.883298673553	0.503726978641124	-3.73872902069584	0.000184952955612078	0.0028958718015066	FAM213B
ICMT	935.129659794119	-0.840387035143677	0.212895229209111	-3.94742070203099	7.89976708376739e-05	0.00145178482904694	ICMT
TNFRSF9	130.886432382493	3.92739029536685	0.508947077907009	7.71669681554677	1.19383171834056e-14	1.44485903641325e-12	TNFRSF9
SLC45A1	34.7330305323759	-2.35499234175446	0.571949393406576	-4.11748376500224	3.8303150281482e-05	0.000784397135489983	SLC45A1
TMEM201	111.554019922987	-1.11022957298462	0.312164105281574	-3.55655744590875	0.00037574634576046	0.00515605353314201	TMEM201
PIK3CD	162.467972564334	1.10993823495338	0.284381196243044	3.90299446523456	9.50098761295151e-05	0.00168456732100178	PIK3CD
SRM	708.097584494522	-2.00078504968033	0.743231121510078	-2.6920092441974	0.00710229766425185	0.0443159622951971	SRM
FBXO2	88.1034814474324	-2.06119150950244	0.683907622238621	-3.01384491483745	0.00257959632748897	0.0216184011624996	FBXO2
TNFRSF8	5.32500013020037	5.96624359931357	1.47255203268804	4.05163516593884	5.08609298892837e-05	0.00100776656656731	TNFRSF8
TNFRSF1B	12.4140770310773	3.17707061828827	0.764278514436071	4.15695398768667	3.22518915440199e-05	0.000675931218412424	TNFRSF1B
TMEM51	366.769967717633	0.979580870320812	0.246998643654842	3.96593623279036	7.31084076826314e-05	0.00136597823200065	TMEM51
AGMAT	102.793939446951	-1.87708908205211	0.428165471491749	-4.38402722085982	1.16505205829556e-05	0.000278493048952715	AGMAT
EPHA2	1946.87644098928	1.11089070283981	0.243790419802746	4.55674469791984	5.19525072800524e-06	0.000138203956990143	EPHA2
CROCC	94.6443282434707	-1.22349883156655	0.380490980332119	-3.21557906707433	0.00130181627449017	0.013279119082385	CROCC
PADI2	22.6700889305716	-2.51790921155796	0.537940091122588	-4.68064985880402	2.85966985440977e-06	8.31532571951101e-05	PADI2
PADI1	25.8964266572356	-2.34348911238467	0.687766209113064	-3.40739204882835	0.00065586846650563	0.00785951932171152	PADI1
KLHDC7A	69.1033478733493	-1.71522449953351	0.451957136660625	-3.79510435924695	0.000147581365740688	0.00242669286090624	KLHDC7A
ALDH4A1	194.522444258977	-0.845796304276083	0.288357399374295	-2.9331527684442	0.00335538745379136	0.0260105453284669	ALDH4A1
UBR4	2903.55961554719	0.800603653039877	0.200497314674909	3.99308915602183	6.52180322749236e-05	0.00124099014954862	UBR4
AKR7A2	412.739961015689	-2.10815761925093	0.687569918602853	-3.06609926090822	0.00216871305186467	0.0191296724482929	AKR7A2
RAP1GAP	580.200768493808	-3.54561578448045	0.346448862356803	-10.2341677798003	1.39388403379029e-24	4.92774687103652e-22	RAP1GAP
E2F2	80.9842238649252	-2.41662714534839	0.355773422285284	-6.79260167840915	1.10129143316288e-11	8.96651461400615e-10	E2F2
STPG1	106.932216485788	0.89583453655466	0.27452341060281	3.26323549087326	0.00110147951829406	0.0117067055765525	STPG1
NCMAP	6.70742054957045	-3.53674118659583	1.10441838214417	-3.20235632055437	0.00136308278638655	0.0136960764041263	NCMAP
