	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
PLEKHN1	105.717671751804	1.03899630428428	0.345048795595126	3.01115760306381	0.00260253732953379	0.0344740307946026	PLEKHN1
HES4	291.664093008651	1.84716287041969	0.274551226395441	6.72793523697174	1.7208747810988e-11	1.51365277620815e-09	HES4
ISG15	4534.44159402568	4.55302259977024	0.181557161339038	25.0776260555648	8.7260463630593e-139	5.52620516172546e-135	ISG15
AGRN	5262.55897500927	0.638163109898893	0.164368080404816	3.88252456515393	0.000103377569080183	0.00242029628460185	AGRN
GNB1	1381.25477686708	0.704474193572598	0.17687690764656	3.98285001103873	6.80937332133455e-05	0.00170113456583873	GNB1
ICMT	654.298200241378	-0.709476000809359	0.204572403749199	-3.46809241034856	0.000524167005086606	0.00951160356221626	ICMT
ACOT7	528.354547532363	0.81766640061041	0.220648328592467	3.70574481948886	0.000210770426160539	0.00447922519756608	ACOT7
SLC45A1	271.687556897526	0.902345561592282	0.259344430739305	3.47933271217737	0.000502664092347341	0.00919138040465647	SLC45A1
SPSB1	397.667081456154	0.761870559129872	0.22137864016151	3.44148179144131	0.000578537407705623	0.0103062655499289	SPSB1
FBXO2	403.093243348034	1.07519347729092	0.233739593707082	4.5999629769115	4.22566036027677e-06	0.000145837095703721	FBXO2
FBXO6	142.84084778175	1.30801153011233	0.324477223442172	4.03113511708609	5.55081198581909e-05	0.00143190600025223	FBXO6
AGTRAP	775.361679791539	0.704594795743416	0.194477560977024	3.62301332968002	0.000291190810092379	0.00590115648100811	AGTRAP
DHRS3	1911.09323170729	0.940913861023651	0.176082256607308	5.34360405842618	9.11164822592339e-08	4.52580927174689e-06	DHRS3
EFHD2	1247.53710578659	1.37177630864077	0.181285227830347	7.56695029737625	3.82088003797412e-14	4.20828404878089e-12	EFHD2
AGMAT	76.2059276734872	-1.22101909116158	0.390401461807466	-3.12759866602075	0.00176240654467032	0.0255407795134947	AGMAT
EPHA2	1585.82726138844	0.571974088615565	0.186636496513166	3.06464222861801	0.0021793052473686	0.0303330552342535	EPHA2
KLHDC7A	67.7408006658548	-1.43966465551753	0.416206022746496	-3.4590192761204	0.00054214610322174	0.00978179849488114	KLHDC7A
UBR4	1348.09959916335	0.541582414972551	0.179170205113186	3.02272587470903	0.00250509053597018	0.0335406730746282	UBR4
CDA	573.287891054229	0.687091343571315	0.211518601254576	3.24837314305211	0.00116066950769202	0.0179684749322234	CDA
HP1BP3	1045.90443723823	-0.685125725146577	0.182405698432128	-3.75605439432862	0.000172613192110863	0.00378255828940518	HP1BP3
RAP1GAP	659.904913908075	-1.24702307452681	0.204853546932015	-6.08738824981469	1.14767427485605e-09	7.85753641369014e-08	RAP1GAP
EPHB2	521.457557018383	1.6590582556339	0.231034466793225	7.18099891614335	6.92039013436201e-13	6.79485747611079e-11	EPHB2
HTR1D	164.76981031265	0.92122827173944	0.283226679591826	3.2526182669905	0.00114346999656632	0.0177707864742442	HTR1D
ID3	2852.32765985488	0.816172982638169	0.16376144981827	4.98391400139592	6.23107824718151e-07	2.59614595653951e-05	ID3
IL22RA1	104.771977245304	1.14202856221287	0.372177437012586	3.06850563371	0.00215132272097626	0.0300095303787284	IL22RA1
GRHL3	18.6578816267314	-2.82222183658789	0.854601011624374	-3.3023853215708	0.000958662789429127	0.0153507242615794	GRHL3
TMEM50A	1370.44452513912	0.656548225331155	0.203492727337857	3.2263965101863	0.00125359557392164	0.0190612743568926	TMEM50A
STMN1	683.269759274167	-0.740663177719863	0.199283097778236	-3.71663821958489	0.00020189121302053	0.00431951706776695	STMN1
SH3BGRL3	1160.80499709794	0.752314867469776	0.218108982772324	3.44926127254048	0.000562122523763183	0.0100710354137655	SH3BGRL3
IFI6	6067.34869999039	2.95076732155505	0.161025449520581	18.3248507011801	5.24250690619386e-75	7.37795471931682e-72	IFI6
THEMIS2	93.4503926898438	4.63964805124873	0.499861449426463	9.28186811880017	1.66532703822429e-20	2.67000408432265e-18	THEMIS2
COL16A1	522.785581966374	0.744646060242477	0.225143293567394	3.3074316735958	0.000941556777492816	0.0151727202846361	COL16A1
YARS	604.107454166127	0.632285183763098	0.211956606109201	2.98308788468401	0.00285356042736575	0.0370141090942548	YARS
RNF19B	146.44179468125	1.40629766324666	0.317808422958508	4.42498549961422	9.64487614206356e-06	0.000300891628609303	RNF19B
ADPRHL2	321.26019993259	0.784542956280482	0.25868289178348	3.03283665522478	0.00242266698133246	0.032748665939762	ADPRHL2
ZC3H12A	2702.41474813742	0.996418913384249	0.166849284411335	5.97196995419991	2.34405708293117e-09	1.54634515689615e-07	ZC3H12A
MACF1	1158.78455547308	0.794260082612967	0.192123601171652	4.13410990512998	3.56332934242268e-05	0.000966448168118323	MACF1
PABPC4	1003.40096991377	-0.632016150179212	0.19132249951858	-3.30340734503019	0.000955175283981291	0.015333650376308	PABPC4
CITED4	246.282616283913	1.71717516761325	0.262042184883499	6.5530485802379	5.63741665429467e-11	4.76023462288642e-09	CITED4
CTPS1	441.67792419846	0.73487540289565	0.231162027194142	3.17904896325582	0.00147759129275083	0.0219147205081757	CTPS1
ATP6V0B	998.671047096831	0.666978570346945	0.18713279568479	3.56419925169299	0.000364968644752384	0.00707916210479892	ATP6V0B
MOB3C	114.55407689511	1.12316177728179	0.325966392343732	3.44563673943852	0.000569715647305578	0.0101634061813697	MOB3C
PDZK1IP1	147.257761643658	0.940199878532827	0.317306144923869	2.96306861235987	0.00304588667090424	0.0387341371221617	PDZK1IP1
CMPK1	473.284899209395	-0.896830069183265	0.231760028368444	-3.86964946240651	0.000108991947856446	0.002528373647527	CMPK1
SLC5A9	28.7940712319557	-3.19499420463176	0.703693105086092	-4.54032330505906	5.61680332904537e-06	0.000186725540592359	SLC5A9
CDKN2C	238.373719028777	-1.09773000254334	0.263236372527168	-4.17013041170839	3.04425383295553e-05	0.000840661772603026	CDKN2C
RAB3B	115.602823275128	1.38900833708611	0.362144934001733	3.83550398382617	0.000125307075074241	0.00287005318786679	RAB3B
CYP2J2	12.2721382154222	2.90891935861125	1.00614314442241	2.89115855406554	0.00383824421489017	0.0460371223729156	CYP2J2
NFIA	133.704589911335	-1.1537607390517	0.320759570509055	-3.59696434691145	0.000321952592332542	0.00637164302263122	NFIA
ITGB3BP	76.93207210063	-1.65381140081633	0.406323000395077	-4.07018898563039	4.69750154017742e-05	0.00123697618519516	ITGB3BP
AK4	251.72484826067	-0.916351319408089	0.30129334806386	-3.04139246782795	0.002354866623761	0.0321443936654143	AK4
IFI44L	153.476428261441	4.61818816011294	0.436261407578849	10.5858278543198	3.46702300216728e-26	7.0827924750727e-24	IFI44L
IFI44	300.875705862383	4.44432947980357	0.299998558240462	14.8145027958476	1.18059597102735e-49	7.47671428451622e-47	IFI44
GBP3	128.23842552625	1.32877090299341	0.331122415430742	4.01292948188021	5.9969832853098e-05	0.00152832576039706	GBP3
GBP1	133.747654507256	3.16039349151336	0.354093006739722	8.92532027280739	4.44411433836349e-19	6.54525025694326e-17	GBP1
GBP2	326.668814643468	0.76792707937284	0.235899430495782	3.2553155289901	0.00113266451313358	0.0176896778339703	GBP2
GBP4	35.7274222918885	3.05169853789961	0.617384905158414	4.9429432310409	7.69518968385177e-07	3.14410556566666e-05	GBP4
GBP5	13.0578416657378	4.71126296216258	1.31167448335726	3.59179279763377	0.000328410922905694	0.00646913335851247	GBP5
FNBP1L	181.907745076224	-1.01820320443461	0.342264832944538	-2.97489869372471	0.00293085320590013	0.0376492765780234	FNBP1L
SLC35A3	70.1190154768543	-1.19077918523242	0.410450737868819	-2.90115006593798	0.00371795780092336	0.0449777015343794	SLC35A3
CSF1	1467.94087685533	0.646967369349812	0.172415358656568	3.7523766698679	0.00017516601147883	0.00383186995058871	CSF1
SLC16A4	1177.81511412952	0.61944311008279	0.207447057505839	2.98602986964688	0.00282625035887336	0.0367528614430082	SLC16A4
MOV10	1146.25268899024	1.13281148581114	0.182367735400429	6.21168806710134	5.24184046995754e-10	3.75102550240012e-08	MOV10
MAN1A2	103.308005885795	-1.7737462644051	0.436558711295456	-4.06301883002549	4.84421201415869e-05	0.00127032690209801	MAN1A2
ANP32E	687.801967551806	-0.823643800060038	0.22895336802002	-3.59743037275616	0.000321376486889418	0.00637019496547946	ANP32E
ECM1	87.4911838192371	1.82789409063359	0.384259179542334	4.75693018657532	1.96559107898414e-06	7.45394509174044e-05	ECM1
ADAMTSL4	109.37699186296	1.3235442701646	0.342160999573984	3.86819149994449	0.00010964554258921	0.00253888563516441	ADAMTSL4
CTSS	1136.17595083158	0.963611741021083	0.180254124805432	5.34585126449237	8.99930867380457e-08	4.48760801820507e-06	CTSS
ANXA9	88.0120700445672	-1.23355076560835	0.364858807977188	-3.38089896321066	0.000722491041397839	0.012283317490396	ANXA9
SELENBP1	622.390721698575	-1.1251035086376	0.199132409655872	-5.65002708791568	1.60422555700723e-08	9.2359640477516e-07	SELENBP1
S100A11	7535.27154005093	0.537753033796612	0.180084330555568	2.98611784899675	0.00282543734554088	0.0367528614430082	S100A11
S100A9	123.553423775747	3.2476247809745	0.373433273252565	8.69666688425492	3.41774874562381e-18	4.60523463958205e-16	S100A9
S100A3	347.768053043988	1.27098778324939	0.249588515888601	5.09233278912829	3.53684595764914e-07	1.57184880349417e-05	S100A3
S100A16	1992.5921920702	1.05910087401887	0.180411446130055	5.87047494345445	4.34548456520111e-09	2.7797933082241e-07	S100A16
SLC39A1	1628.90295980548	0.560719673482743	0.180157264041896	3.11239003580974	0.00185579136148161	0.0266501739053583	SLC39A1
IL6R	100.192342568253	-1.07857298746953	0.349088999102506	-3.08967910831478	0.00200372851987585	0.0283883953386437	IL6R
ADAR	2162.16824463983	1.27300204835456	0.172366575526066	7.38543446993327	1.51956363690825e-13	1.5906440516595e-11	ADAR
ADAM15	848.409534981573	-0.604881034389532	0.199584224116926	-3.03070564352402	0.00243982977992803	0.0329083507669049	ADAM15
EFNA1	1605.48894051457	0.843009182633978	0.186097578861958	4.52993095229519	5.90029661641247e-06	0.000195636536501258	EFNA1
FDPS	4183.98405378158	0.593698416427284	0.205810798829722	2.88468058917784	0.00391810967216579	0.0467323943260592	FDPS
IQGAP3	392.081988004536	-0.98954290055488	0.231765886461144	-4.26957959889743	1.95841749553721e-05	0.00056762736838614	IQGAP3
IFI16	212.978901808915	3.56673438018926	0.330881361145159	10.7794962153354	4.30235570842898e-27	9.23620972931551e-25	IFI16
IGSF8	401.037177017528	0.859601965784479	0.22962171698334	3.74355691211405	0.000181433483488628	0.0039282675245589	IGSF8
USF1	539.441420487003	0.614703451177349	0.203714588772967	3.01747388284701	0.00254891004053184	0.0338766994474043	USF1
HSPA6	11.7531622870457	3.48873594829909	1.10984047604711	3.14345712162602	0.00166964875205759	0.0242798749639053	HSPA6
NUF2	132.445360244802	-1.0176902705026	0.315262622182266	-3.22807145185206	0.0012462784028985	0.0189727911672024	NUF2
QSOX1	937.981875583153	1.04590668070892	0.231336157513252	4.52115523985481	6.15030626554355e-06	0.000202337088725648	QSOX1
LAMC1	1853.83530028188	0.614868197498127	0.167632336435796	3.66795697400318	0.000244496314028132	0.00506839658507417	LAMC1
LAMC2	322.783794818669	1.97822457606115	0.274204493387331	7.21441341687563	5.41669590267531e-13	5.44506907168933e-11	LAMC2
NCF2	18.030677638953	2.54276742927241	0.826485648447559	3.07660203664595	0.00209374628846715	0.0293680957804262	NCF2
CFH	2349.45011426397	-0.815413830991879	0.22377299004662	-3.64393321473694	0.000268503118590902	0.00549412035552887	CFH
F13B	11.3318250791243	-3.77629663732914	1.21479450528277	-3.1085888361424	0.00187983122908612	0.0269343239226299	F13B
ASPM	206.810541272733	-1.63181078357402	0.293451663448735	-5.56074811230058	2.68620663198056e-08	1.49225847371341e-06	ASPM
KIF14	69.6109989485452	-1.22571133940478	0.411328757818577	-2.97988243249794	0.00288359032870441	0.0372691100454611	KIF14
KIF21B	112.261442338137	1.48506303736087	0.34473915754364	4.30778751083093	1.64895681106867e-05	0.000492586956815937	KIF21B
IGFN1	88.2286638903728	1.22606152362939	0.406273464197808	3.01782329311185	0.00254597314240918	0.0338766994474043	IGFN1
CSRP1	1801.63792132533	0.715041129279182	0.197742122707394	3.61602838833308	0.00029915758293191	0.00602405396727436	CSRP1
BTG2	84.5709146825939	-1.86017648519888	0.38057569590355	-4.88779631810832	1.01970947071294e-06	4.06152206165097e-05	BTG2
IKBKE	304.245086140003	0.834001536984548	0.242460803744742	3.43973757450119	0.000582278484619644	0.0103583416940905	IKBKE
C4BPA	87.9338582012365	-1.23571573426811	0.379678148236538	-3.2546401208696	0.00113536136641081	0.0176930068395205	C4BPA
NEK2	120.716782205633	-1.58774401268642	0.331203162260267	-4.79386731047797	1.63596501953569e-06	6.29821669830975e-05	NEK2
ATF3	304.212679779008	-1.04928721237113	0.2765855477609	-3.79371670308027	0.000148408991237561	0.00332698811153088	ATF3
BATF3	175.606064789693	0.864998547561317	0.294163338340411	2.9405382480407	0.00327642548395553	0.0408859164332815	BATF3
CENPF	552.382424438313	-1.17097589215256	0.202387493646324	-5.78581151955398	7.21630919815917e-09	4.41554455574319e-07	CENPF
DEGS1	797.473961409815	0.688215689025527	0.192338655386737	3.57814547284697	0.000346040844793777	0.00677427100488095	DEGS1
