	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
SAMD11	584.900061819118	-1.60926620614998	0.109793265722685	-14.6572396363057	1.21096803277565e-48	1.47643328587369e-46	SAMD11
NOC2L	686.223749429696	-1.10687052459928	0.10382067934535	-10.661368540244	1.54309863037711e-26	5.5906423505213e-25	NOC2L
KLHL17	112.674636982937	-1.14032165798635	0.189423854458283	-6.01994749419207	1.74473657343144e-09	1.30538695283256e-08	KLHL17
C1orf159	77.4614861395718	-1.48064935118572	0.22200935553611	-6.66931061355607	2.57007794350316e-11	2.41037209671289e-10	C1orf159
SDF4	860.932607088627	-0.705408413478062	0.100425694155432	-7.02418259998562	2.15323059546245e-12	2.31521826525912e-11	SDF4
B3GALT6	189.928881332204	-0.582562925959206	0.147249814107533	-3.95628972090772	7.61228331801823e-05	0.000275935430201483	B3GALT6
ACAP3	141.13263854285	-1.36282324642838	0.178144025435802	-7.65012041854584	2.00791193546751e-14	2.7466276338722e-13	ACAP3
PUSL1	63.4256092668021	-0.868302499179928	0.23650401776967	-3.67140696960829	0.000241218882060609	0.000790401950308904	PUSL1
AURKAIP1	413.783229756848	-1.4083248412609	0.125441946924494	-11.2269051604293	3.00831828475115e-29	1.27047080332819e-27	AURKAIP1
MRPL20	378.680040703584	-0.601614670304716	0.12147750283583	-4.95247808244597	7.32743116549242e-07	3.70360174374078e-06	MRPL20
VWA1	144.222624570815	-1.06152589664977	0.169096499332408	-6.2776337821343	3.4376444021379e-10	2.83691654869779e-09	VWA1
ATAD3B	10.6134733189745	-1.5652683055503	0.576116303061869	-2.71693110788813	0.00658903212479541	0.0157922768242319	ATAD3B
ATAD3A	182.507041779173	-1.25285315170879	0.165169544759659	-7.58525522082072	3.31833224493508e-14	4.43953591662546e-13	ATAD3A
MIB2	128.138789091632	-0.991786963129126	0.172406383065092	-5.75261162317103	8.78752079349105e-09	6.0089906108979e-08	MIB2
CDK11B	149.163872744158	-0.695363495122221	0.16258003284371	-4.27705347919742	1.89383318692301e-05	7.66332903718544e-05	CDK11B
CDK11A	80.5799846686983	-0.565295689703177	0.209830964350538	-2.69405276505716	0.00705889888772271	0.0168120980643384	CDK11A
LOC100129534	15.0981136839298	-1.15069721878516	0.466975139477358	-2.46415091834016	0.013733827038704	0.0302532582733179	LOC100129534
PEX10	192.177072935203	-0.35240868891767	0.143875729819653	-2.44939636003522	0.0143095884271128	0.0313638798400107	PEX10
FAM213B	166.762735303763	-0.580759904105917	0.155686662932903	-3.73031249540116	0.000191242424081309	0.000642407769057027	FAM213B
WRAP73	144.936793955302	-0.516292715694932	0.167065326783842	-3.09036426429129	0.00199911155138496	0.00540693346102787	WRAP73
TP73-AS1	173.366474434833	-0.407032416636499	0.149122320912526	-2.72952039738747	0.00634265251941121	0.0152460707997025	TP73-AS1
LRRC47	349.558649057887	-0.561271818150788	0.118618200163556	-4.73175126057284	2.22591070767572e-06	1.05082471489297e-05	LRRC47
NPHP4	92.0127235675462	-0.703978946309149	0.198112336729718	-3.55343315782287	0.000380237812454172	0.00119858686340376	NPHP4
KCNAB2	208.728964726309	-0.843226494600937	0.145464667119316	-5.79677877315246	6.76007708267329e-09	4.67833370069903e-08	KCNAB2
ICMT	794.520107193022	-0.940480780265584	0.0929783671053507	-10.115049441554	4.7377775244749e-24	1.43784369417019e-22	ICMT
ACOT7	428.919966943899	-0.568921872041411	0.119721004691832	-4.75206396326062	2.01350650222747e-06	9.58582837789126e-06	ACOT7
NOL9	153.715249875794	-0.410850269299225	0.1588004774015	-2.58721054257577	0.00967564511490806	0.0222506511655119	NOL9
DNAJC11	446.937707184587	-0.529938988807494	0.108656598922968	-4.87719102254613	1.07607216382415e-06	5.30506603691225e-06	DNAJC11
VAMP3	643.461277671321	0.300678878866545	0.108676450329322	2.76673444849735	0.00566208557216608	0.0137922345044025	VAMP3
TNFRSF9	54.6371561619379	2.26345703086846	0.280829193842383	8.05990645024905	7.6352857895247e-16	1.19347092591891e-14	TNFRSF9
PARK7	1349.31934028785	-0.247412288920591	0.102237298407036	-2.41998069956399	0.0155213308905501	0.0336671690000624	PARK7
ERRFI1	1343.48167610961	1.48520653471168	0.424020341416396	3.50267755964372	0.000460606673351308	0.00142532910330141	ERRFI1
ENO1	17385.5649081146	-0.409652378513518	0.0822132314911367	-4.98280351086409	6.26695807057703e-07	3.20105716238836e-06	ENO1
H6PD	697.663246602459	0.574817917742577	0.10699565788647	5.37234808493349	7.77178982597486e-08	4.63300447066299e-07	H6PD
TMEM201	94.2343064634734	-1.25650371291912	0.198958659936018	-6.31540096481948	2.69461903403732e-10	2.25559722246193e-09	TMEM201
PIK3CD	183.527797002881	0.896890358462495	0.151069916280256	5.93692232408893	2.90422175067543e-09	2.11863127815922e-08	PIK3CD
LZIC	180.797376482354	0.345322602501927	0.150949654474779	2.28766739283676	0.0221568979729809	0.0457798211728802	LZIC
RBP7	19.66959764962	1.03779894917767	0.409870551441324	2.53201637816675	0.011340869388347	0.0255192312139324	RBP7
KIF1B	520.263825459099	0.595071962552157	0.115832659537513	5.13734179054605	2.78651882794235e-07	1.51257377028957e-06	KIF1B
PGD	12635.7861534783	-0.587414523329525	0.0766758038378842	-7.66101552155223	1.84468559847154e-14	2.53820773073302e-13	PGD
DFFA	223.993957544849	-0.437993555342694	0.137228974179076	-3.19169882280938	0.00141438729194126	0.00395278537379079	DFFA
PEX14	120.761796483725	-0.555631055653378	0.175678525429915	-3.16277162671792	0.00156274871566085	0.0043277305436067	PEX14
TARDBP	1447.15314149355	-0.413968954234311	0.0872247634969718	-4.7460025987767	2.07476046739074e-06	9.84773747910819e-06	TARDBP
SRM	285.298282651908	-0.874868379934572	0.140514353717793	-6.226185131888	4.77929287726499e-10	3.87343730821575e-09	SRM
FBXO44	179.82487016518	-0.378210607648595	0.156290901611467	-2.41991442719302	0.0155241598490605	0.0336680967120924	FBXO44
KIAA2013	361.472075933813	-0.737809371811565	0.129996470723301	-5.67561078932675	1.38194667707599e-08	9.23119312019174e-08	KIAA2013
PLOD1	850.028216645612	-0.745217543708288	0.108323323978949	-6.8795668036656	6.00348401420465e-12	6.08639547094456e-11	PLOD1
MFN2	636.62329034453	-0.62343085553957	0.102200963452795	-6.1000487126281	1.06036145488845e-09	8.17576715956789e-09	MFN2
MIIP	90.8885494304008	-0.508569368871578	0.197787534061807	-2.57129131663401	0.0101320058077092	0.023159578322447	MIIP
TMEM51-AS1	21.8413455262966	1.05207128634687	0.392316435296998	2.68169057345357	0.00732511788217638	0.0173488982814181	TMEM51-AS1
TMEM51	363.903748112876	0.438238117715515	0.118865803228832	3.68683091193058	0.000227064120250586	0.000748393519048769	TMEM51
EFHD2	1056.90165168058	-0.805765754821851	0.1079968292768	-7.46101307063972	8.58597323607185e-14	1.10140833250653e-12	EFHD2
CASP9	117.00062654034	-0.452220495602796	0.174883431048983	-2.58583956690633	0.00971421343036846	0.022317382681828	CASP9
DNAJC16	161.188423118793	0.433561156144573	0.155175024502851	2.79401377595147	0.00520582609489214	0.012794195911741	DNAJC16
AGMAT	91.3167401909408	-0.925414600728413	0.205911761310899	-4.49422895922473	6.9822472377599e-06	3.02996250450732e-05	AGMAT
SLC25A34	5.96515993970079	-1.78805450176905	0.780058911348797	-2.29220444219697	0.0218938487450297	0.0453097643179426	SLC25A34
FBLIM1	327.373992558952	0.494830185202085	0.132728173012077	3.72814734033187	0.000192892597759281	0.000646866087821782	FBLIM1
ZBTB17	119.947777173222	-0.464783532496928	0.181599976533074	-2.55938101628707	0.0104858744192662	0.0238401889464134	ZBTB17
EPHA2	1490.20744748712	0.504741303544606	0.100680791056013	5.01328305280989	5.35090920826355e-07	2.77767856383056e-06	EPHA2
SZRD1	876.17870927928	-0.680490467194515	0.0907431655486913	-7.49908230641762	6.42661665632202e-14	8.35877478091753e-13	SZRD1
CROCCP2	140.327457856532	-0.842121278042145	0.169993161991354	-4.95385383845602	7.27578669958043e-07	3.67882456959312e-06	CROCCP2
CROCC	142.140888201526	-0.703189949041509	0.165697446953261	-4.24381885159559	2.19747764234822e-05	8.78803024054889e-05	CROCC
ATP13A2	306.629478056307	-0.896193830843369	0.128919646852907	-6.95156907981526	3.61245439411295e-12	3.77704869946738e-11	ATP13A2
SDHB	617.7398461396	-0.395433969199463	0.10388575207053	-3.80643121234752	0.00014098648166061	0.000485708068500252	SDHB
PADI1	22.4089732320972	-0.980780462465066	0.382777394764858	-2.56227372848797	0.010398932353302	0.0236693880723452	PADI1
RCC2	1153.52806606959	-0.288719218188508	0.0916492800427685	-3.15026171568152	0.00163124262590536	0.00450140776575852	RCC2
ARHGEF10L	156.067592652512	-0.404867983684229	0.154913010530248	-2.61351827259968	0.00896152915388604	0.0207582356297103	ARHGEF10L
KLHDC7A	55.6551015660621	-2.3976394880041	0.28441510532236	-8.43007084763162	3.45456005830968e-17	6.08497318813568e-16	KLHDC7A
ALDH4A1	192.7828429501	-1.84194764270782	0.158508959912067	-11.6204638761723	3.24370234104091e-31	1.57916494874078e-29	ALDH4A1
IFFO2	522.621967159574	-1.03357399281571	0.108456678518773	-9.52983262009827	1.57537024005081e-21	3.99426150736933e-20	IFFO2
EMC1	628.947430303725	0.243002040440391	0.104886033404588	2.31681981435061	0.0205135492088637	0.0429348370588861	EMC1
MRTO4	462.584564265772	-0.324261258453843	0.130326933185783	-2.48806022306689	0.0128441981110526	0.0284814963964999	MRTO4
AKR7A2	291.425576256162	-0.900175314315674	0.128277214980718	-7.01742171788641	2.25999703366015e-12	2.42815466735241e-11	AKR7A2
PQLC2	86.6929390222831	-0.761993843865454	0.199909824438646	-3.81168782477379	0.000138021119810764	0.000477236527957268	PQLC2
MUL1	292.419074022733	-0.675996285730213	0.130134081045029	-5.19461374223948	2.05145319100279e-07	1.13824397273645e-06	MUL1
FAM43B	27.3608424343863	-1.57725999709401	0.364218263496931	-4.33053516303776	1.4874738968052e-05	6.14096089947347e-05	FAM43B
CDA	170.479996640279	0.783283366476757	0.169063217648395	4.63307972823379	3.60265711958898e-06	1.64590601087511e-05	CDA
PINK1	523.494320641046	-0.357725169036653	0.103539956353612	-3.45494803778881	0.000550398888051333	0.00167472717217182	PINK1
SH2D5	53.6303693132933	-0.796380356460733	0.259562443766763	-3.06816481191841	0.00215377796929348	0.00578729798916518	SH2D5
ECE1	2577.81616465113	0.444200762354856	0.0933587688494051	4.75799721685903	1.95523193973776e-06	9.31192494125787e-06	ECE1
LOC100506801	14.3612387735745	2.04038052414942	0.521268582318605	3.91425954557591	9.06820533659376e-05	0.000324184872576188	LOC100506801
