	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
SAMD11	652.051970943186	-1.37933301178901	0.437620720397406	-3.15189146102687	0.00162216559764931	0.0328705898745723	SAMD11
ACAP3	239.807291938653	-1.07616869919763	0.342075676645469	-3.1459959671818	0.00165522287998322	0.0331052091490164	ACAP3
LOC100129534	20.5266016851461	-1.21500297707317	0.271914734415872	-4.46832342382345	7.88350492569562e-06	0.00146921883347612	LOC100129534
KCNAB2	274.871623395743	-0.777546605483051	0.155918319414477	-4.98688421221435	6.13608138392337e-07	0.000274767410468584	KCNAB2
TNFRSF9	31.5375812026907	1.6528862987121	0.323237124866296	5.11354102470686	3.16175049451772e-07	0.000160908779013302	TNFRSF9
H6PD	575.155340826799	0.396910867951725	0.13257334797533	2.99389639028792	0.00275439461873754	0.043662628033644	H6PD
PIK3CD	146.73826479052	0.571819165879945	0.152023030762823	3.76139827637079	0.000168966136799296	0.00903832676959593	PIK3CD
EPHA2	1512.28813111539	0.361833683843664	0.118582491620427	3.05132468460744	0.00227834056139215	0.0393563998803406	EPHA2
RCC2	1177.5516515848	-0.234298845239725	0.072467566657397	-3.23315458275857	0.00122431294236101	0.0277399124200699	RCC2
RAP1GAP	642.863415212663	-1.39427604382612	0.241494880335424	-5.77352216282825	7.76313898302341e-09	1.14135394470406e-05	RAP1GAP
LYPLA2	363.999554052458	-0.460245057371821	0.130943814861793	-3.5148285381604	0.000440037999424048	0.0156942932840405	LYPLA2
STPG1	94.3589665942952	0.596984671166789	0.198364342188254	3.00953621291588	0.00261646885726103	0.0423233315423184	STPG1
CLIC4	648.220589542101	1.06872224221017	0.34318557082594	3.11412347447503	0.00184492264835601	0.0351758162579925	CLIC4
UBXN11	153.720829255576	-1.24615694452084	0.411984972136147	-3.02476310740051	0.00248827938651921	0.0415194361190696	UBXN11
HMGN2	915.608154323906	-0.462092211307012	0.146104534478506	-3.16275064943307	0.00156286131941959	0.0322114968513396	HMGN2
NUDC	1010.12083091896	-0.556825742779436	0.17886577355839	-3.11309274939436	0.00185137825558036	0.0352481109033659	NUDC
ZBTB8A	60.6134976850298	0.625328816236947	0.177845569199287	3.51613379547415	0.000437880260212703	0.0156942932840405	ZBTB8A
NCDN	176.643059256113	-0.431522506205987	0.141360244412405	-3.0526440301494	0.00226834844838384	0.0392863699856217	NCDN
CTPS1	1331.89658720953	0.862913887461771	0.281558167322064	3.06478016840732	0.00217830043726754	0.0384663181833874	CTPS1
SLFNL1-AS1	39.4459796683075	1.33054128802981	0.44821065448097	2.96856238183491	0.00299196364538364	0.0458213691617087	SLFNL1-AS1
