	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
LINC00115	57.157558875567	3.52301601219445	0.333494868763365	10.5639286902919	4.37940416973071e-26	8.81120173134897e-25	LINC00115
SAMD11	64.1596710977437	-2.42783297154517	0.713958517861434	-3.40052385510773	0.000672568671832422	0.0018942779362205	SAMD11
NOC2L	610.891674805493	-1.45404938556707	0.248818198620498	-5.84382249219967	5.10163899481889e-09	2.85264035156624e-08	NOC2L
AGRN	2534.08059418414	-0.992352688099295	0.302338572326436	-3.28225631438071	0.00102979951685505	0.00280808215100129	AGRN
C1orf159	50.3807329513695	-1.46779100546486	0.526284563281715	-2.78896837922104	0.00528762273773735	0.012450174858967	C1orf159
MIR429	1.84500614717914	4.86891574937276	1.8818297479905	2.58733063103716	0.00967227329457884	0.0214250223611362	MIR429
SDF4	867.093133342515	-0.860420626492088	0.14697500538827	-5.85419693790164	4.79320380799271e-09	2.68794669508022e-08	SDF4
PUSL1	68.7715027670147	-1.063527073127	0.370971783348859	-2.86686783433032	0.00414556097096339	0.0100015779421091	PUSL1
MXRA8	12.5790071428102	1.91816277717754	0.745281494692672	2.57374266077614	0.0100605070547875	0.0221985403810143	MXRA8
AURKAIP1	341.388595886598	-1.71455148621563	0.185865983414615	-9.22466529225491	2.84447874850373e-20	4.01205236933353e-19	AURKAIP1
MRPL20	436.402821635646	-1.16513867829353	0.150130889083246	-7.76081914526915	8.43825765117001e-15	8.17244272177053e-14	MRPL20
ATAD3A	155.296825297584	-1.40787108141842	0.287157072049911	-4.90279090592523	9.44845415271534e-07	4.08456224226912e-06	ATAD3A
SSU72	667.14018218557	0.609338250636028	0.222630377076061	2.73699509760903	0.00620032170216105	0.0143760493594839	SSU72
MIB2	161.074655552213	-1.9061369868025	0.600025272572952	-3.17676116979015	0.00148929626120329	0.00392879654788359	MIB2
CDK11B	159.972322637318	0.409685798013296	0.150526227170911	2.72169047024694	0.00649489447422024	0.0149871748404378	CDK11B
SLC35E2B	233.393969783807	-0.832875273970635	0.215017762479355	-3.87351846827353	0.000107275273263254	0.000347521572011948	SLC35E2B
CDK11A	99.4051025464938	0.71479384592479	0.257376600665869	2.77722933660449	0.00548244804447852	0.0128580318545053	CDK11A
NADK	275.313057363659	-0.410263907161585	0.155681525577801	-2.63527676542814	0.00840687041153047	0.0189111804314044	NADK
PRKCZ	122.581603504056	-1.0620587802488	0.438852873189595	-2.4200793594667	0.0155171202508363	0.0325975403287087	PRKCZ
SKI	156.508232086631	0.548280598641048	0.17669479946604	3.1029809609446	0.00191581964953644	0.00495678287920197	SKI
MORN1	35.6697974601774	-1.25953600172323	0.411216075803253	-3.06295418841032	0.00219163608693804	0.0056094282112664	MORN1
RER1	655.24155446209	-0.507428560585861	0.0802295087377577	-6.32471229812048	2.53704827257738e-10	1.62539175458871e-09	RER1
PEX10	109.392388802543	-1.87081527496385	0.507563230555131	-3.68587628563578	0.000227917054895199	0.000703157063477271	PEX10
PANK4	92.8084942891683	0.688686718372708	0.243953372222716	2.82302602377628	0.00475727099271753	0.0113046378128284	PANK4
FAM213B	77.6070917394148	-1.43576268634611	0.249297880402966	-5.75922540546808	8.45008010025248e-09	4.60026880053154e-08	FAM213B
TPRG1L	338.03778038882	-0.983538877686004	0.144800858368286	-6.79235529933446	1.10317445679244e-11	8.07394285501069e-11	TPRG1L
WRAP73	123.310956687696	0.511956724356035	0.194971136890849	2.62580776067713	0.00864436231915611	0.0193693807099179	WRAP73
LRRC47	425.149430455179	-0.526278462528664	0.19085407765347	-2.7574913200661	0.00582467596902298	0.0135762860187893	LRRC47
C1orf174	123.761333954143	0.683411703744262	0.259133695116143	2.63729386268335	0.00835704005924372	0.0188138133399149	C1orf174
KCNAB2	172.576597831833	-2.60465270323608	0.236252189110137	-11.0248828298553	2.89895775339975e-28	6.38018127462317e-27	KCNAB2
CHD5	5.50120291017317	2.58940519555219	0.834447311068611	3.10313804263584	0.00191480302738371	0.004954981174056	CHD5
RPL22	1794.11674833265	-0.562835163816573	0.0938030635546797	-6.00017891194444	1.97100236055513e-09	1.1560025975174e-08	RPL22
ICMT	553.34630342794	-0.643970944444104	0.217427722712714	-2.96177017543884	0.00305876004703073	0.00759632992739318	ICMT
ACOT7	343.538782162031	-1.30199619918261	0.133356499103127	-9.76327519047836	1.61842365737565e-22	2.72176639423e-21	ACOT7
PLEKHG5	24.1885605386245	1.09753369977536	0.433694127003717	2.53066304438554	0.0113847158922882	0.0247881120581879	PLEKHG5
NOL9	222.04582176671	0.629467929123281	0.18890371198817	3.33221577542478	0.000861574266524204	0.00238253387876005	NOL9
ZBTB48	70.1459908088531	0.948711518101193	0.195695844290793	4.84788791269098	1.24782867100716e-06	5.31564019763845e-06	ZBTB48
PHF13	157.198378693595	1.28067107357038	0.239534793239199	5.34649290924308	8.96747924178358e-08	4.37542853449623e-07	PHF13
THAP3	118.806705279612	1.26770580078576	0.241157724039662	5.25674973021916	1.46623628747858e-07	6.94599137779197e-07	THAP3
PER3	238.158991057299	3.81390196430483	0.242321650243253	15.7390062360349	8.17169356133278e-56	6.10784747734014e-54	PER3
UTS2	1.54955974092949	4.61647287324968	1.79500840209682	2.57183914451709	0.0101159880813627	0.0222966085496664	UTS2
TNFRSF9	417.24416446125	2.74193155592144	0.298616845669603	9.18210608572022	4.22741071479275e-20	5.87659466121055e-19	TNFRSF9
PARK7	1283.2610015548	-1.04880432929992	0.114119089176501	-9.19043726048143	3.91247690116076e-20	5.46827846565125e-19	PARK7
ERRFI1	3857.35095314614	1.51014842808554	0.278120591685401	5.42983322066911	5.64067402619807e-08	2.81796927779582e-07	ERRFI1
RERE	365.211567629909	0.989657211431116	0.118560093870295	8.34730455353557	6.98384658874386e-17	7.75693283711738e-16	RERE
ENO1	19612.9904424547	-1.15671404907883	0.165885981005199	-6.97294636996828	3.10370967383156e-12	2.38079306264362e-11	ENO1
SLC25A33	54.0131100017143	1.41716866601365	0.266480429937903	5.3180965909725	1.04858402318305e-07	5.06449214612443e-07	SLC25A33
CLSTN1	1570.00471112619	-0.483785615329139	0.091482982450633	-5.28825801662298	1.23486711430046e-07	5.91329742880122e-07	CLSTN1
PGD	7793.68315364699	-1.81047440077594	0.0838397440514795	-21.5944647882545	2.02475435891129e-103	5.13557367886483e-101	PGD
DFFA	196.096349575654	-1.07618428070849	0.222814187258701	-4.82996300167805	1.36558422507757e-06	5.77572405326159e-06	DFFA
TARDBP	1994.14879525222	0.77458033105017	0.0948719752259	8.16447986042046	3.2282318247652e-16	3.44226070246501e-15	TARDBP
SRM	135.800058815684	-0.684247356073121	0.209599005586857	-3.26455440071052	0.00109636407003413	0.00297178431877505	SRM
MTOR	484.703365915574	-0.37433785238243	0.11538065927949	-3.2443726246672	0.00117709649887282	0.00316565913967674	MTOR
UBIAD1	103.311214646843	-0.532944416452844	0.236075544113746	-2.25751641684689	0.0239758248447731	0.0479578489978448	UBIAD1
FBXO2	41.7821622909697	-1.58201301881206	0.372552658272282	-4.2464145233822	2.17218593913172e-05	7.884071998793e-05	FBXO2
AGTRAP	230.500510084029	-2.02680178759891	0.183827136406646	-11.0255853799267	2.87640941016666e-28	6.33957356041289e-27	AGTRAP
CLCN6	176.097635434068	1.09534576168242	0.257768042771512	4.24934662150242	2.14394948655332e-05	7.79215091753651e-05	CLCN6
KIAA2013	417.577047479175	-0.602903882755765	0.142100455166156	-4.24280050370561	2.20747657082914e-05	7.99861299856403e-05	KIAA2013
VPS13D	310.563710441883	0.584068205480436	0.151970763119604	3.84329323279613	0.0001213942788221	0.000390318429329911	VPS13D
PRDM2	260.179071293703	0.989982666045627	0.162092105381769	6.10753166364246	1.01183743276841e-09	6.11529248429411e-09	PRDM2
EFHD2	1762.34995523968	0.454815968939386	0.149307401722079	3.04617161435827	0.00231775503764356	0.0059048750111018	EFHD2
CTRC	3.83958656613374	2.23151029604937	0.911022228905191	2.44945757111883	0.0143071564836999	0.0303025770179061	CTRC
AGMAT	39.7002975308641	-1.64684312103295	0.454466427708951	-3.62368487664752	0.000290435431741877	0.000878861138257447	AGMAT
PLEKHM2	469.121576951681	1.14768547682963	0.173555944238895	6.61276962804496	3.77195223840676e-11	2.61702444092508e-10	PLEKHM2
FBLIM1	279.529299342786	-1.07153541281088	0.354057424262559	-3.02644525825917	0.00247447622309222	0.00626084973404463	FBLIM1
UQCRHL	81.0509439202782	-1.12826733736003	0.232685467193178	-4.84889473747551	1.24151275665091e-06	5.29310701871117e-06	UQCRHL
SPEN	867.235064561127	1.04142533951152	0.0851168513667687	12.2352427608491	2.01501498540239e-34	6.28554674478745e-33	SPEN
