	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
LINC00115	81.3639980198525	3.58710940635442	0.308454939585575	11.6292817718331	2.92548639190982e-31	8.49194128349667e-29	LINC00115
HES4	80.1898595297615	1.64177280285306	0.459400336713403	3.57373008169404	0.000351931719151228	0.00193105899566893	HES4
ISG15	314.858462762381	3.73238966744755	0.858882686626297	4.34563383983024	1.38874063366724e-05	0.000114534352873592	ISG15
MXRA8	12.9009477152375	1.57841393303024	0.63048270264609	2.50350077235387	0.0122971411988813	0.0380691924525802	MXRA8
MRPL20	433.723813905066	-0.631116846194392	0.240680437065354	-2.6222191296047	0.00873592416155561	0.0288289392081296	MRPL20
CDK11A	101.388047699064	0.599427023280175	0.215257190715555	2.78470150654465	0.00535770191625425	0.0192047019777792	CDK11A
SKI	180.52598755312	0.767317243458505	0.20030237659082	3.83079450438069	0.000127730150080938	0.000798192124017813	SKI
RER1	625.237551417916	-0.426387660991005	0.104116913377266	-4.09527757940725	4.21662874058176e-05	0.000301123839245405	RER1
FAM213B	71.183059226097	-1.09349362388207	0.330424688434421	-3.30935811444093	0.000935101479062984	0.00445406766282124	FAM213B
PRDM16	7.42522250318662	2.3972579847878	0.649652883648839	3.69005979212063	0.000224201348694569	0.00130159873179388	PRDM16
TPRG1L	314.169568734631	-0.795309002635079	0.211186892052111	-3.76590135356903	0.000165949308433396	0.000995023718933977	TPRG1L
CEP104	176.796413036128	-0.51335994730709	0.140791855908421	-3.64623325685123	0.000266112437812255	0.00150997643900829	CEP104
KCNAB2	169.171910199637	-1.1962253835581	0.470118523322222	-2.54451872073588	0.0109428445823541	0.0347187893693034	KCNAB2
ICMT	496.964743157225	-0.738145147005892	0.189834003542926	-3.88837159428596	0.000100919037364262	0.000650415946513077	ICMT
ACOT7	314.505799018823	-1.0337444956995	0.220786635373908	-4.68209723812688	2.83954719651835e-06	2.8403146417066e-05	ACOT7
NOL9	217.256500262129	0.432068126969459	0.152401668914594	2.8350616502211	0.0045816843165236	0.0169314165306579	NOL9
ZBTB48	86.8697484284602	1.1961473442066	0.233856281256756	5.11488225921684	3.1393671688826e-07	4.0238261097955e-06	ZBTB48
PHF13	158.277125722585	1.00560950992079	0.359398870404547	2.79803191587345	0.0051415031939895	0.018501413049057	PHF13
THAP3	138.926931802981	1.31635884745656	0.261807434013396	5.02796588804733	4.95710028211656e-07	6.01023035024189e-06	THAP3
VAMP3	693.256524109654	-0.417282255967943	0.152212254674064	-2.74144980548038	0.00611687059063718	0.0214227944697878	VAMP3
PER3	199.267238515353	3.01157770809143	0.383582633479839	7.85118367004933	4.12128873754926e-15	2.2348556216366e-13	PER3
TNFRSF9	307.897344018173	1.74371128135307	0.455937559240501	3.82445193648388	0.000131063309957099	0.000814893423185591	TNFRSF9
PARK7	1186.14106129708	-0.857429298128509	0.153927273614649	-5.57035331032401	2.54223278415302e-08	4.24776683257351e-07	PARK7
ERRFI1	3991.47906556251	1.25178845138972	0.455736368316964	2.74673811092272	0.00601911762161074	0.0211404548684046	ERRFI1
RERE	358.47878822658	0.719199950447443	0.22463853748718	3.20158757483225	0.00136672523791826	0.00616483864172515	RERE
ENO1	17704.3391946339	-1.02266345416732	0.134444707236239	-7.60657280743933	2.81459700731534e-14	1.35283422390572e-12	ENO1
SLC2A5	10.8317092425563	1.24376851171689	0.458263799264156	2.71408850909462	0.00664584074135585	0.0229335725722685	SLC2A5
SPSB1	307.222000135271	0.636238785596795	0.201798117840355	3.15284796709616	0.00161685991356207	0.00714720637813465	SPSB1
SLC25A33	54.3778690470387	1.1237724403926	0.213473185953989	5.26423229864015	1.40776359969099e-07	1.97166814851706e-06	SLC25A33
CLSTN1	1450.03626599005	-0.523397016666734	0.0899660686462326	-5.81771577376413	5.96572275892419e-09	1.12505171621801e-07	CLSTN1
NMNAT1	99.458647112287	-0.576921921507416	0.159028029766647	-3.62780022084141	0.000285846301773026	0.00160961150682688	NMNAT1
PGD	7634.29001827034	-0.959995142865328	0.273669894635665	-3.50785804972579	0.000451730016383122	0.00240122483394461	PGD
CASZ1	61.3172731806333	0.962055706315259	0.289327942683479	3.32513927756965	0.000883743757272225	0.00424219928101752	CASZ1
TARDBP	1946.42172238689	0.535430831959578	0.104435740374535	5.12689267141093	2.94563325561618e-07	3.81462993707768e-06	TARDBP
SRM	124.597949835361	-0.679628420691094	0.213030905538792	-3.19028086076147	0.00142134588476661	0.00638785806863537	SRM
MTOR	454.166938954932	-0.403856227369167	0.111404527571086	-3.62513298314082	0.000288812796082274	0.00162076748794617	MTOR
FBXO6	31.1439339742343	1.07716261183696	0.446032788698705	2.41498526370577	0.015735846315535	0.046349675458651	FBXO6
AGTRAP	248.173273757814	-0.653006792009835	0.19686426078226	-3.31704083521836	0.000909763185372612	0.00434315839930866	AGTRAP
CLCN6	178.666621764579	0.882971443968227	0.200308247387984	4.40806334977296	1.04299041560071e-05	8.90451563584364e-05	CLCN6
KIAA2013	389.326141497381	-0.56683745181286	0.150754600150044	-3.76000102981066	0.00016991265754745	0.00101672877216348	KIAA2013
PLOD1	1344.52967911014	-1.27863572122417	0.376904877208249	-3.39246265714332	0.000692673729544292	0.00345380326445729	PLOD1
DHRS3	1156.96842242692	0.430464017840258	0.145670261096225	2.95505763908741	0.00312610641221863	0.012403880816533	DHRS3
PRDM2	259.649150149229	0.755266043941216	0.238482860616571	3.16696152498573	0.00154040697396008	0.00684399304997149	PRDM2
TMEM51	317.175117218036	0.444902050324495	0.182301894759055	2.44046860243835	0.014668220964948	0.0438064037048799	TMEM51
PLEKHM2	499.477060143298	1.02718339026255	0.170274622458136	6.03251016172472	1.61432188569363e-09	3.40918989954473e-08	PLEKHM2
SPEN	861.093755621358	0.786084134843547	0.139644172676157	5.62919397049617	1.81053699158771e-08	3.12391487452965e-07	SPEN
