Sample	Number	Condition	Description
NHBE_Mock	7	Control	Independent biological triplicates of primary human lung epithelium (NHBE) were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), IAV (A/Puerto Rico/8/1934 (H1N1)), a IAV that lacks the NS1 protein (IAVdNS1) and treated with human interferon-beta.
NHBE_SARS_CoV_2	3	Case	Independent biological triplicates of primary human lung epithelium (NHBE) were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), IAV (A/Puerto Rico/8/1934 (H1N1)), a IAV that lacks the NS1 protein (IAVdNS1) and treated with human interferon-beta.
NHBE_IAV	4	Case	Independent biological triplicates of primary human lung epithelium (NHBE) were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), IAV (A/Puerto Rico/8/1934 (H1N1)), a IAV that lacks the NS1 protein (IAVdNS1) and treated with human interferon-beta.
NHBE_IAVdNS	4	Case	Independent biological triplicates of primary human lung epithelium (NHBE) were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), IAV (A/Puerto Rico/8/1934 (H1N1)), a IAV that lacks the NS1 protein (IAVdNS1) and treated with human interferon-beta.
NHBE_IFNB_4h	2	Case	Independent biological triplicates of primary human lung epithelium (NHBE) were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), IAV (A/Puerto Rico/8/1934 (H1N1)), a IAV that lacks the NS1 protein (IAVdNS1) and treated with human interferon-beta.
NHBE_IFNB_6h	2	Case	Independent biological triplicates of primary human lung epithelium (NHBE) were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), IAV (A/Puerto Rico/8/1934 (H1N1)), a IAV that lacks the NS1 protein (IAVdNS1) and treated with human interferon-beta.
NHBE_IFNB_12h	2	Case	Independent biological triplicates of primary human lung epithelium (NHBE) were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), IAV (A/Puerto Rico/8/1934 (H1N1)), a IAV that lacks the NS1 protein (IAVdNS1) and treated with human interferon-beta.
A549_Mock	13	Control	Independent biological triplicates of transformed lung alveolar (A549) cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), RSV (A2 strain) or IAV (A/Puerto Rico/8/1934 (H1N1)). Additionally, Independent biological triplicates of transformed lung alveolar (A549) transduced with a vector expressing human ACE2, were also mock treated or infected with SARS-CoV-2 (USA-WA1/2020) with or without Ruxolitinib pre-treatment (500 nM)
A549_CoV	6	Case	Independent biological triplicates of transformed lung alveolar (A549) cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), RSV (A2 strain) or IAV (A/Puerto Rico/8/1934 (H1N1)). Additionally, Independent biological triplicates of transformed lung alveolar (A549) transduced with a vector expressing human ACE2, were also mock treated or infected with SARS-CoV-2 (USA-WA1/2020) with or without Ruxolitinib pre-treatment (500 nM)
A549_RSV	5	Case	Independent biological triplicates of transformed lung alveolar (A549) cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), RSV (A2 strain) or IAV (A/Puerto Rico/8/1934 (H1N1)). Additionally, Independent biological triplicates of transformed lung alveolar (A549) transduced with a vector expressing human ACE2, were also mock treated or infected with SARS-CoV-2 (USA-WA1/2020) with or without Ruxolitinib pre-treatment (500 nM)
A549_IAV	2	Case	Independent biological triplicates of transformed lung alveolar (A549) cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), RSV (A2 strain) or IAV (A/Puerto Rico/8/1934 (H1N1)). Additionally, Independent biological triplicates of transformed lung alveolar (A549) transduced with a vector expressing human ACE2, were also mock treated or infected with SARS-CoV-2 (USA-WA1/2020) with or without Ruxolitinib pre-treatment (500 nM)
A549_ACE2_Mock	6	Case	Independent biological triplicates of transformed lung alveolar (A549) cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), RSV (A2 strain) or IAV (A/Puerto Rico/8/1934 (H1N1)). Additionally, Independent biological triplicates of transformed lung alveolar (A549) transduced with a vector expressing human ACE2, were also mock treated or infected with SARS-CoV-2 (USA-WA1/2020) with or without Ruxolitinib pre-treatment (500 nM)
A549_ACE2_CoV	6	Case	Independent biological triplicates of transformed lung alveolar (A549) cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), RSV (A2 strain) or IAV (A/Puerto Rico/8/1934 (H1N1)). Additionally, Independent biological triplicates of transformed lung alveolar (A549) transduced with a vector expressing human ACE2, were also mock treated or infected with SARS-CoV-2 (USA-WA1/2020) with or without Ruxolitinib pre-treatment (500 nM)
A549_ACE2_CoV_Rux	3	Case	Independent biological triplicates of transformed lung alveolar (A549) cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), RSV (A2 strain) or IAV (A/Puerto Rico/8/1934 (H1N1)). Additionally, Independent biological triplicates of transformed lung alveolar (A549) transduced with a vector expressing human ACE2, were also mock treated or infected with SARS-CoV-2 (USA-WA1/2020) with or without Ruxolitinib pre-treatment (500 nM)
A549_HPIV3	3	Case	Independent biological triplicates of transformed lung alveolar (A549) cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020), RSV (A2 strain) or IAV (A/Puerto Rico/8/1934 (H1N1)). Additionally, Independent biological triplicates of transformed lung alveolar (A549) transduced with a vector expressing human ACE2, were also mock treated or infected with SARS-CoV-2 (USA-WA1/2020) with or without Ruxolitinib pre-treatment (500 nM)
Calu3_Mock	3	Control	The transformed lung-derived Calu-3 cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020). 
Calu3_CoV	3	Case	The transformed lung-derived Calu-3 cells were mock treated or infected with SARS-CoV-2 (USA-WA1/2020). 
HealthyLungBiopsy	2	Control	COVID19 patient samples: Uninfected human lung biopsies were derived from one male (age 72) and one female (age 60) and used as biological replicates.
Cov_Lung	2	Case	The lung samples derived from a single male COVID19 deceased patient (age 74) were processed in technical replicates.
