	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
NOC2L	909.893207309741	-0.874561388616591	0.143096320097795	-6.11169726809814	9.85770497038364e-10	1.03903330384895e-08	NOC2L
ISG15	2279.40397229269	2.48838906328817	0.15006143954806	16.5824682928702	9.33160377271542e-62	1.03588207911881e-59	ISG15
RNF223	49.6014660920691	0.923212250469253	0.300981693237938	3.06733688862404	0.00215975295531525	0.00679469429536239	RNF223
C1orf159	143.256706789657	-0.878121538154841	0.215317172167681	-4.07826988119179	4.53720803842268e-05	0.000215052283407042	C1orf159
SDF4	2510.4179984527	-0.558539522886545	0.131942247197413	-4.2332121420583	2.3037700228289e-05	0.000116243980192308	SDF4
B3GALT6	253.936721490781	-0.72314926375668	0.191696084739377	-3.7723736754449	0.000161701840233049	0.000676757522244063	B3GALT6
UBE2J2	265.914872450506	-0.395036676002141	0.166770503495441	-2.36874427864841	0.0178485894284652	0.0424211079585289	UBE2J2
ACAP3	222.129169543647	-0.853561959189583	0.206422698750161	-4.13501986146724	3.54923938056519e-05	0.000172492047310512	ACAP3
PUSL1	195.849644726426	-0.82106314484694	0.200427366292123	-4.09656206154123	4.19331107535489e-05	0.000199972185513088	PUSL1
AURKAIP1	706.493770226868	-1.19832093265813	0.172528728652285	-6.94563126975355	3.76771692293835e-12	5.41058075987050e-11	AURKAIP1
LOC148413	136.284844619044	-0.565310260822664	0.200757205458162	-2.81589026671561	0.00486422778091554	0.0138962324288533	LOC148413
MRPL20	455.344023779378	-0.951447956542681	0.149255063837105	-6.37464439786833	1.83387959742326e-10	2.16094978341694e-09	MRPL20
VWA1	1174.18892782497	-1.3766199018255	0.164348175558705	-8.37624085053361	5.46450277849865e-17	1.26125413140034e-15	VWA1
ATAD3B	204.548786117408	-0.824451671208683	0.184140125140877	-4.47730591351522	7.55908956810289e-06	4.21903375056086e-05	ATAD3B
ATAD3A	392.784828872436	-1.06729554919616	0.178896138038808	-5.96600664998495	2.43130379219275e-09	2.42385218399145e-08	ATAD3A
SSU72	792.963217698805	-0.485142941349686	0.13271200308134	-3.65560710474953	0.000256574057850198	0.00102329664874557	SSU72
MIB2	171.076742490184	-0.964772041810173	0.238827831920737	-4.03961311397897	5.35394427862738e-05	0.000249701962738117	MIB2
TMEM52	4.95042096158373	-2.68277811005359	1.06889397829252	-2.50986362028078	0.0120777796916735	0.0303180015339982	TMEM52
RER1	948.095214321883	-0.696320758767762	0.129704062732955	-5.36853467883579	7.93789293289522e-08	6.23748923889918e-07	RER1
PLCH2	14.4469561402162	1.57608892392106	0.565977853099502	2.78471836890759	0.00535742332565977	0.0150985855442279	PLCH2
TNFRSF14	140.207447912372	0.803890193079537	0.192704741113802	4.17161606109524	3.02446939202233e-05	0.000148850293406813	TNFRSF14
FAM213B	420.200845878112	-0.826296463986637	0.181663992513962	-4.54848785690499	5.40327605275337e-06	3.0872394669061e-05	FAM213B
MEGF6	246.522711857618	-0.619643339648591	0.179436589093105	-3.45327194849358	0.000553830364303788	0.0020453095338085	MEGF6
TPRG1L	334.333933906333	-0.343470764658885	0.142986730726277	-2.40211635663171	0.0163005226175988	0.0392486503446986	TPRG1L
LRRC47	398.471868569805	-0.348312937967706	0.137650272738932	-2.5304195265077	0.0113926215559525	0.0288361559361395	LRRC47
C1orf174	151.181011609885	-0.641500993040362	0.198202564118479	-3.23659280541342	0.00120965885426419	0.00405063404227752	C1orf174
NPHP4	57.0228601574797	-0.779729362350663	0.27708026474643	-2.81409202154558	0.00489152237250667	0.0139628006988267	NPHP4
KCNAB2	59.9984305557858	-0.822869719714797	0.266718790767849	-3.08515840727179	0.00203443767978751	0.00643523252572905	KCNAB2
ICMT	949.237002665793	-0.888814637774091	0.111575227990989	-7.96605710584678	1.63817262451033e-15	3.3547760613508e-14	ICMT
ACOT7	539.11415269948	-0.933953263493266	0.147418568683905	-6.33538415025483	2.36750650018863e-10	2.73672011720152e-09	ACOT7
TNFRSF25	23.7364161401722	1.38322942055324	0.420268612910237	3.29129841739735	0.000997260614256766	0.00341795741524366	TNFRSF25
PLEKHG5	48.2946599576085	1.51751363183731	0.315165590033812	4.81497244567373	1.47220202896099e-06	9.36837569566758e-06	PLEKHG5
KLHL21	324.067342367912	0.361228717821034	0.153655783245669	2.35089568508783	0.0187282834190285	0.0442412599530403	KLHL21
THAP3	107.953834650233	0.655663977004828	0.237618398711141	2.75931485340022	0.00579226985663508	0.0161387407340149	THAP3
DNAJC11	399.435570219665	-0.41838813349101	0.154805520182568	-2.70266934278305	0.00687851358046991	0.0186923974062624	DNAJC11
TNFRSF9	55.8061727094169	4.77538133209794	0.999606884696811	4.7772593458541	1.77700523848695e-06	1.11352769949891e-05	TNFRSF9
PARK7	1123.3034311282	-0.843292431874971	0.126313120446365	-6.67620615257499	2.45206983181316e-11	3.18154923354088e-10	PARK7
ERRFI1	1072.47418246993	1.61851974918903	0.13163716110538	12.295310348522	9.59873978055425e-35	5.50235956191034e-33	ERRFI1
RERE	332.295185717653	0.484229597959406	0.152010646727984	3.18549791335283	0.00144505145987607	0.00474681417785032	RERE
ENO1	10782.6291814146	-0.868327014177772	0.10533133538052	-8.24376726109904	1.66871593695826e-16	3.71070426235854e-15	ENO1
SPSB1	155.464316151609	1.7295893566577	0.194611060702685	8.88741549638875	6.25467573330556e-19	1.69872134916009e-17	SPSB1
TMEM201	131.612780767856	-1.04371336657787	0.199691899617509	-5.2266184486051	1.7263823945663e-07	1.28852244145138e-06	TMEM201
PIK3CD	62.5165401546475	0.664191155129933	0.264349242382065	2.5125517635113	0.0119861519397451	0.0301140673256013	PIK3CD
CTNNBIP1	156.398881495311	-0.652242446608408	0.189699173378116	-3.43829883385066	0.000585381300161252	0.00214226275388682	CTNNBIP1
PGD	1736.5388125694	-0.562000818368516	0.106650754070187	-5.26954378586635	1.36763245203028e-07	1.04188862236098e-06	PGD
CASZ1	151.834764301129	0.659335162677517	0.188797369625294	3.49228998256754	0.000478898030128186	0.00179387968596758	CASZ1
SRM	218.897148518172	-1.05959650810776	0.200071784348732	-5.29608166167421	1.18313943932616e-07	9.10262449827007e-07	SRM
FBXO2	107.259185130013	-0.927315049582962	0.2448740188224	-3.7869066471095	0.000152534373961072	0.000643201172322435	FBXO2
FBXO6	90.0769474049536	1.89350104864732	0.245211420582312	7.72191215299337	1.14597367111358e-14	2.15439969594968e-13	FBXO6
MAD2L2	192.571637452278	-0.59689020107582	0.169341619330988	-3.52476965458305	0.00042385117970226	0.00160835769139867	MAD2L2
NPPA-AS1	2.16045257326809	-4.55108327133681	1.69054284571458	-2.69208395567939	0.0071007067879637	0.0192289614410936	NPPA-AS1
KIAA2013	611.818439518931	-0.812356648766023	0.144123609085474	-5.6365272415864	1.73513598548942e-08	1.52254372829615e-07	KIAA2013
PLOD1	2006.40048131362	-0.725254996965651	0.1194620171823	-6.07100912969605	1.271089610645e-09	1.31791922787929e-08	PLOD1
MFN2	843.129508295244	-0.333193172911578	0.125809356132011	-2.64839740982347	0.00808743914770713	0.0215055154674866	MFN2
TNFRSF1B	46.0333972681151	1.69309707647794	0.329044041548176	5.14550291964503	2.66805051849833e-07	1.92559456151889e-06	TNFRSF1B
DHRS3	1507.18351626199	0.629722897565857	0.122850181509522	5.12594193861281	2.96053839133333e-07	2.12026803758261e-06	DHRS3
PRDM2	220.133275224339	0.433871482236579	0.183474663935434	2.36474875021033	0.018042306422565	0.0428326105135184	PRDM2
TMEM51	842.610418519537	0.612072412657524	0.123042363826449	4.97448515798062	6.54212761638176e-07	4.40562055706941e-06	TMEM51
EFHD2	748.082282245357	-0.74303186345998	0.135200760346552	-5.49576689920539	3.89016087789598e-08	3.22153227940385e-07	EFHD2
AGMAT	28.9318608554118	-1.6033588419211	0.398162947751489	-4.02689112830715	5.65191862057962e-05	0.000262026469161575	AGMAT
FBLIM1	185.827671272516	0.466267652861496	0.18804741781402	2.47952169873791	0.0131558725125773	0.0325971990847509	FBLIM1
UQCRHL	198.398114838315	-0.544798319289853	0.177135862795454	-3.07559582058747	0.00210082412858096	0.00663151141648879	UQCRHL
SPEN	556.143900407782	1.01351140463719	0.139789582234228	7.25026420737831	4.15959423729145e-13	6.58892917293268e-12	SPEN
ZBTB17	155.108265143876	0.600324060881401	0.199256195920042	3.01282506227461	0.00258828072885961	0.00798814707735202	ZBTB17
