	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ABHD17A	7.82122542757344	1.28886268700359	0.355717793191439	3.6232730318046	0.000290898470531646	0.0212481451173223	ABHD17A
ABI3	14.1329842714785	1.30354873475518	0.374446249979169	3.48127063584612	0.000499040981813935	0.0310844361248889	ABI3
ABLIM3	7.25256736824154	-1.38914069231103	0.378990710374575	-3.66536871296416	0.000246982489147284	0.0193731140841349	ABLIM3
ACADM	10.9886330790483	-0.974128044583034	0.278798295664893	-3.49402438870683	0.000475797550430813	0.0301904633661316	ACADM
ADAP1	20.1823844089659	0.861560425882078	0.219108460523983	3.93211847603564	8.42005476411621e-05	0.0112485284236937	ADAP1
ADRB2	8.97403357123959	0.855402364068216	0.245976349251369	3.47757972126848	0.000505962566361624	0.0313234020504242	ADRB2
AIF1	1180.42845681149	0.915983422167117	0.266665847781895	3.43494838122765	0.000592666708723787	0.0337562592177928	AIF1
AKT1	43.3493739622212	0.695277364806742	0.172322383691898	4.03474783664702	5.46609680929598e-05	0.00924954681746368	AKT1
APOBR	116.744072562732	0.766262431629638	0.203102770968948	3.77278176941657	0.000161437485958424	0.0163794941516816	APOBR
APOL6	17.9588984414289	-1.77871323300679	0.480169402958483	-3.70434522076489	0.000211937466867439	0.0182380651994111	APOL6
ARFGAP1	9.52535815774199	1.07222845586808	0.274580345417274	3.90497161855718	9.42364440757584e-05	0.0116680806914777	ARFGAP1
ARHGAP4	43.3105800891014	1.08066730165416	0.26228627288056	4.12018246241302	3.78572478534772e-05	0.00736823303147458	ARHGAP4
ARRDC1	19.1716333003538	0.724906220180482	0.222333658368461	3.26044300039868	0.0011123832301346	0.0462869956375271	ARRDC1
AURKB	4.24392153052689	-2.01427117116108	0.577035509091147	-3.49072308276771	0.00048171526300732	0.0301904633661316	AURKB
B3GNT8	14.4975998546323	1.4750374218983	0.371317984341764	3.97243732891932	7.11409565649193e-05	0.0104680308986033	B3GNT8
BIRC5	2.93532372985258	-3.11511332347098	0.870845940262954	-3.57711183970194	0.000347411557696716	0.0241593804472244	BIRC5
BRAT1	4.47277660087139	1.33513924700401	0.39962931296392	3.3409442292952	0.0008349399285563	0.0401760431025219	BRAT1
BUB1	2.17113481624931	-3.62458510888119	0.923432478094226	-3.92512197140995	8.66858035116369e-05	0.0113539896841748	BUB1
C12orf75	18.1825647128122	-1.83633914651531	0.445617058968514	-4.1208905932954	3.77410629915123e-05	0.00736823303147458	C12orf75
C15orf39	33.1495742784547	0.848909517651301	0.21445835731765	3.95838860405854	7.54571188511232e-05	0.0107903679957106	C15orf39
C1orf54	4.21130839876682	1.47301503083551	0.434699319112469	3.3885837084884	0.000702545813103688	0.037345275604407	C1orf54
CAMK1	15.1514544275461	1.21992817130268	0.354846518190607	3.4379037379969	0.00058623606139723	0.0336274278608253	CAMK1
CARD9	1.89426210871378	2.01716729961274	0.567185978395775	3.55644775514035	0.000375903193224896	0.025218197240108	CARD9
CARS2	19.5998654216832	0.62094137231942	0.186124013286501	3.33617012310822	0.000849411676377959	0.0404079303931796	CARS2
CCNA1	4.98803351865069	-4.35544922996492	1.01321743743718	-4.29863232612888	1.71855286305211e-05	0.00415439695680193	CCNA1
CCNA2	2.84446201335937	-3.10709731049116	0.826417829163658	-3.75971718039478	0.000170105550926697	0.0163794941516816	CCNA2
CCNB1	3.07211589666806	-3.24777187264849	0.827747823163724	-3.92362478252764	8.72265532715091e-05	0.0113539896841748	CCNB1
CCNB2	4.1554664453688	-2.90532647248346	0.710384697159225	-4.08979315587968	4.31758051994054e-05	0.00797025363981024	CCNB2
CD1D	28.7356049045641	0.798870926831953	0.222272664391481	3.59410334608186	0.000325510624669681	0.0227924784294571	CD1D
CD24	94.4729052589575	-2.16274378033459	0.564728893748002	-3.82970271979686	0.000128298155670475	0.0143207296263106	CD24
CD274	14.0634371745273	-1.68282984870978	0.472216775246995	-3.56368078586273	0.000365690629456358	0.02491850309309	CD274
CD300C	16.0222901565314	1.1726284521834	0.36043604572291	3.25336066161616	0.00114048642951352	0.0466491734605212	CD300C
CD37	203.317746936598	0.551953467821655	0.123569493232387	4.46674541898172	7.9418544122839e-06	0.00244344387417935	CD37
CD4	28.1313193515816	1.17610167678378	0.340627812725123	3.45274705366722	0.000554909078073328	0.032379263618842	CD4
CD48	473.393544467724	0.582339878699051	0.177023880389424	3.28961198578405	0.00100325625222329	0.0441228167490966	CD48
