	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ABCA1	9.52569161845115	-1.90241716864978	0.551543452314698	-3.4492607258155	0.000562123661969731	0.0192246292393648	ABCA1
ABHD11	7.88903133085898	0.997675641034293	0.291634022807494	3.4209850806497	0.000623947549987862	0.0196802975291355	ABHD11
ABTB1	289.082808621116	1.07117218993815	0.350569327786916	3.05552170436666	0.00224669341050098	0.0372326566332986	ABTB1
ACAP1	92.5549858218729	0.748601635591859	0.234368820966973	3.19411785451338	0.00140258844657426	0.0290883615601446	ACAP1
ACOT8	17.8896660704247	0.909812000937247	0.299822692071859	3.03450013956646	0.00240934644002439	0.0382415180139073	ACOT8
ACP5	22.547203937211	1.1221034861686	0.242303933490152	4.63097511462482	3.63947618731621e-06	0.000732990504125485	ACP5
ACSF2	7.69974109499613	1.01966128633803	0.297536405830184	3.42701352290983	0.000610258678519023	0.0196802975291355	ACSF2
ACTB	5066.87326525292	0.803169326624055	0.21448015450441	3.74472560633827	0.000180591037004753	0.010229353552338	ACTB
ADAM17	12.0521545296027	-1.39597831512818	0.458828137736874	-3.04248628258438	0.00234632511109414	0.0379623987064061	ADAM17
ADGRE5	256.272497402118	0.826666289379653	0.277533035822638	2.9786230202445	0.00289546771391575	0.0417245382468401	ADGRE5
ADRM1	30.4761331273259	0.790822950295401	0.265735444018234	2.97597843305064	0.0029205540016735	0.0418838406308301	ADRM1
AGAP3	8.17213191098241	0.874859354924835	0.271613684801577	3.22096935419123	0.0012775780852022	0.027657323782342	AGAP3
AGPAT2	18.4216012725967	1.47383469400699	0.390229980827289	3.77683613873659	0.00015883315236297	0.00962489609957397	AGPAT2
AIF1	1369.71501154848	0.902118874899003	0.238306254275952	3.78554426798374	0.000153372527376928	0.00945588582052451	AIF1
AKAP8L	37.399645613966	0.446282947029481	0.153976676451415	2.89838017883376	0.00375095603261675	0.0460440886889148	AKAP8L
AKT1S1	7.88172131586038	1.16458591556035	0.283917381546998	4.10184790101542	4.0986367149069e-05	0.00433539331964645	AKT1S1
ALDOA	587.478143131138	0.880349200039243	0.270583637551959	3.25351971761482	0.00113984814525155	0.0260165605004371	ALDOA
ALKBH7	9.07758963027271	1.42117509891215	0.444213991550345	3.19930287191569	0.00137760361564112	0.0289680314815672	ALKBH7
ALPL	239.249073998897	1.36040996905624	0.470819122145181	2.88945351849314	0.00385912055153416	0.046695873909952	ALPL
AMDHD2	3.89060061808753	1.28793439634986	0.443482669903938	2.90413692293509	0.00368267065633681	0.0455334845271222	AMDHD2
ANAPC15	70.8664283289492	0.812319465359808	0.221317662024452	3.67037794421514	0.000242192098180607	0.0121943721433935	ANAPC15
ANXA11	173.02672835337	0.710696290683464	0.222232370739594	3.19798726134384	0.00138390393505042	0.0289818489522691	ANXA11
AP2A1	15.8783668741262	0.621650027249151	0.214551758817571	2.89743617426007	0.0037622628294362	0.0460775513826761	AP2A1
APEH	40.0689206841967	0.564017054559068	0.188681826293033	2.98924949816375	0.0027966366351037	0.0411752747859372	APEH
APP	32.9588806976907	-0.776011275026671	0.267545236159049	-2.90048623614943	0.00372584200745191	0.0459419130796417	APP
APRT	88.2760980614979	1.18413493442639	0.350730824500183	3.37619294259028	0.00073496358642317	0.0214870160766232	APRT
ARAF	37.3060718671485	0.697157443640491	0.205462025826478	3.39312065495388	0.00069101194370616	0.0207297482235913	ARAF
ARAP1	130.953208709792	0.800104163219209	0.245220443201584	3.26279551889352	0.00110319087196039	0.0257686053416933	ARAP1
ARF4	93.2323060537985	-0.420236376063748	0.146066685068945	-2.87701727375679	0.00401453618727835	0.0478035966741763	ARF4
ARF5	209.760352628092	1.00881650413423	0.264903089518126	3.80824740839877	0.000139955208929056	0.0091252809965758	ARF5
ARFGAP1	14.755710932636	1.02138768728119	0.303579066409029	3.36448655489643	0.00076686220533525	0.0219262570551753	ARFGAP1
ARFGAP2	49.8954859619915	0.570105785978141	0.175096648035847	3.25594917077696	0.00113013981476163	0.0259960841146818	ARFGAP2
ARFRP1	10.8835114673899	1.03566399039653	0.342352341062685	3.02514066993602	0.00248517511850517	0.0390349083171792	ARFRP1
ARHGAP1	30.9906792545661	0.553492619649966	0.162275796297969	3.41081438068342	0.000647691682718121	0.0201615818304099	ARHGAP1
ARHGAP4	63.2402411082635	1.1407746945355	0.316111198164951	3.60877659873418	0.000307644388918869	0.0141532035369122	ARHGAP4
ARHGAP45	61.698458404545	0.924254217563093	0.271099741351578	3.40927738608377	0.000651352137730839	0.0201615818304099	ARHGAP45
ARHGDIA	66.7346847274643	0.873151573885383	0.279939478220087	3.11907266326657	0.00181421214453078	0.0334191151745578	ARHGDIA
ARL16	17.1318910537561	0.68742593505279	0.228363738993538	3.01022368123094	0.00261055359461715	0.0401007580135851	ARL16
ARL6IP1	60.9985116308919	-0.564452974372224	0.1552147070891	-3.63659465625382	0.000276266151441378	0.0133893055107658	ARL6IP1
ARL6IP4	99.0664506634108	1.07405787957717	0.30104239269211	3.56779611659431	0.000359996441233701	0.0153710351522807	ARL6IP4
ARMH1	8.01443689724105	1.27558256718125	0.345484048998032	3.6921605234183	0.000222357039715278	0.0113860142703254	ARMH1
ARPC4	432.681740529922	0.643045761902375	0.206878526339483	3.10832532153266	0.00188150832685048	0.0339452887346808	ARPC4
ARPP19	25.7464431046908	-0.635300210838751	0.212520737896286	-2.98935631942323	0.00279565898195309	0.0411752747859372	ARPP19
ARRB2	720.63815354925	0.812082337101414	0.248873405435119	3.26303381304083	0.00110226367713222	0.0257686053416933	ARRB2
ARRDC1	23.580398669943	0.879134660030436	0.293062344502325	2.99982128895943	0.00270138052843863	0.0406013461513089	ARRDC1
ARSA	13.5393173327421	1.07351816958143	0.260228337395477	4.12529311882731	3.70262883826112e-05	0.00429047327233226	ARSA
ASGR1	7.57135536217905	1.1916748953249	0.414041824117147	2.87815101255986	0.00400013601871692	0.0477016220231993	ASGR1
ASPSCR1	5.26520188534346	1.20486066342216	0.39640231627679	3.03948946297492	0.00236979492281213	0.0379623987064061	ASPSCR1
ATG101	26.1610773965469	0.748444540881065	0.262540508821563	2.85077736856886	0.00436124939324537	0.0497182430829973	ATG101
ATG4B	16.4828095977671	0.711187554635135	0.235428269785603	3.02082479424748	0.00252087181637746	0.0391462256492491	ATG4B
ATM	60.7585219182579	1.92832656869829	0.516234853396534	3.73536687035172	0.000187441721878089	0.0103584410084215	ATM
ATOX1	101.006088725204	1.06119122202651	0.336680765756553	3.15192113705074	0.00162200074587867	0.0312511577150499	ATOX1
ATP5F1D	20.0326078100668	1.67631111868058	0.517545768051489	3.23896208250671	0.00119965520812173	0.0267459826764756	ATP5F1D
ATP6V0D1	263.331914554549	0.795468859944822	0.259410223186803	3.06645146892303	0.00216615969646747	0.0367515250770473	ATP6V0D1
ATP6V1F	171.03886826685	0.627299203863832	0.219685953798952	2.85543610329275	0.00429777698771424	0.0494926973820256	ATP6V1F
AURKAIP1	66.6761800466828	0.946469490970872	0.330655668699413	2.8624021317816	0.00420443085591648	0.049230951998929	AURKAIP1
B3GNT8	12.7116611654609	1.63188288833299	0.410517709804719	3.97518267630711	7.03252550465273e-05	0.00618793967462793	B3GNT8
B3GNTL1	4.64157128603338	1.07090052086333	0.375513193802972	2.85183194235571	0.00434680752031476	0.0496785832996377	B3GNTL1
B9D2	13.9589470416086	0.988443571379689	0.329619671862283	2.9987396255666	0.00271098878435601	0.0406782969414214	B9D2
BAG1	24.4087945991463	0.669953403234917	0.220425848529683	3.03935952930992	0.00237081735273374	0.0379623987064061	BAG1
BATF3	5.96023189273294	1.95736223119642	0.388076231626716	5.04375705513233	4.56478816482468e-07	0.000127625840622766	BATF3
BCAP31	154.8823190254	0.764271782364326	0.209499727583048	3.64808007715122	0.000264207298374944	0.0130136453541963	BCAP31
BCAT2	6.75115749350703	0.966194961444857	0.332291952071771	2.90766885993125	0.00364133694454992	0.0452694605328613	BCAT2
BCKDHA	27.7457243773208	0.901522856341222	0.241696842951197	3.72997365349639	0.000191499793878741	0.0105185614055941	BCKDHA
BCKDK	25.6443736902761	0.901020454273834	0.247402904383809	3.64191542746011	0.000270616985031451	0.0132573066775137	BCKDK
BCL7C	29.4694731174872	1.27116045735129	0.445067236462659	2.85610881505079	0.00428868123511936	0.049450786302655	BCL7C
BIN3	38.9520726904576	0.7507000485256	0.23221053196858	3.23284237868753	0.00122565167870934	0.0270294480885233	BIN3
BORCS6	13.1570216589103	1.02201820730556	0.336355329334911	3.03850754892582	0.00237753148012292	0.0379687016925185	BORCS6
BORCS8	33.1567202123334	1.22119204257409	0.279558402634805	4.36828952757097	1.25223415861215e-05	0.00206345421445489	BORCS8
BPI	27.7698565220273	-1.88613254929323	0.644268274410824	-2.92755770260156	0.00341635660565655	0.0444862642486571	BPI
BRAT1	7.65644281980497	1.56875003674931	0.391520779156129	4.00681169497707	6.15438905216945e-05	0.00578290371567398	BRAT1
BRMS1	55.7852151623621	0.788112448384929	0.248989685571233	3.1652413495637	0.00154954360898581	0.0304631534235106	BRMS1
BSG	118.657867177435	0.837815377438876	0.288441903197291	2.9046243564196	0.00367694103691494	0.0455247494775411	BSG
BTN3A1	131.838229558598	-0.97656170781891	0.237212831593312	-4.11681653669212	3.84141617838952e-05	0.00429047327233226	BTN3A1
BUB1	2.72817187120681	-3.99259930606139	0.967218584974756	-4.12791830935051	3.66062105869355e-05	0.00429047327233226	BUB1
C12orf75	26.2969094544452	-0.942876758208167	0.275649168838425	-3.42056811628133	0.000624904842027178	0.0196802975291355	C12orf75
C15orf39	47.1944911332877	0.865306642323525	0.252212504824969	3.43086336232231	0.000601663575845587	0.0195443619637583	C15orf39
C16orf74	4.16413420035338	1.36553610631836	0.455874354336216	2.99542207919695	0.00274065314163678	0.0408528608925233	C16orf74
C19orf38	178.517979188583	0.948554061601819	0.302189369836022	3.13893920926648	0.00169560619871321	0.0318849167714782	C19orf38
C20orf27	28.6149222837944	1.26823796594329	0.410631272940455	3.08850798640266	0.0020116428664216	0.0356084361296463	C20orf27
C9orf16	38.1340717897326	1.48499129717269	0.47528852832269	3.12439961977049	0.00178168301242522	0.0330212538683226	C9orf16
CABIN1	7.31061036242645	0.947028456123029	0.324990839012753	2.91401585041561	0.00356811789531537	0.0452084726043922	CABIN1
