	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ACTB	5330.02748277433	0.786148521926398	0.176104178338605	4.46411055855147	8.04020429335757e-06	0.00148422171255381	ACTB
ADAM17	23.917995028126	-1.82822052020352	0.528289480737173	-3.46064153625098	0.000538889866239317	0.0298980809394961	ADAM17
AIF1	1249.13851915121	0.874220055794207	0.2233203914058	3.91464500975929	9.05373126498073e-05	0.00928510439730801	AIF1
BIRC5	3.18331835523271	-2.97564493080298	0.855650220905997	-3.47764174904582	0.000505845509709731	0.029516376207373	BIRC5
BMP6	3.37347091651517	-1.74489216632348	0.536638812543257	-3.25152062344135	0.00114789447420047	0.0487639020776461	BMP6
BPI	86.1345792767376	-2.25009147867082	0.693620518576925	-3.24398056056249	0.00117871790408009	0.0490472249185455	BPI
BTN2A2	9.39282645183249	-1.17174449954511	0.361460984917014	-3.24169010886231	0.00118823152496902	0.0491419769531132	BTN2A2
BTN3A1	68.501869994551	-1.26671223811991	0.316460621248217	-4.00274837710807	6.26108815374378e-05	0.00705844442914359	BTN3A1
BTN3A2	57.9906528577323	-0.985854589748668	0.246445549541795	-4.00029374270147	6.32639065352179e-05	0.00705844442914359	BTN3A2
BTN3A3	24.5133114068666	-1.23237133818384	0.294908549241702	-4.17882540656293	2.93018517778749e-05	0.00450760153182976	BTN3A3
BUB1	1.91318145763449	-3.53385176513208	0.830392292922789	-4.25564133392152	2.08450637278659e-05	0.00358711749201734	BUB1
C12orf75	17.517882402492	-1.59168283793739	0.397857778588033	-4.00063269740799	6.31733497151253e-05	0.00705844442914359	C12orf75
C18orf25	15.5558776781623	-1.33865986798375	0.385996489171867	-3.4680622895192	0.000524225761517676	0.0296679028052424	C18orf25
C19orf38	204.796486693508	1.05822729074754	0.223669787163023	4.73120354863237	2.23192581667906e-06	0.000462464139117194	C19orf38
C4BPA	12.9400933320876	-3.82181797254672	1.15890841485545	-3.29777394275234	0.000974545590110276	0.0437812450282727	C4BPA
CAPZB	344.832720827083	0.453484447676339	0.127572490050075	3.55471973227406	0.000378382193585936	0.0248790545445179	CAPZB
CASP10	15.9628364579074	-0.950730244807353	0.233124051640545	-4.07821603183737	4.53825882230916e-05	0.00598401841855907	CASP10
CCNA2	2.68055262401369	-3.56851194191012	0.789116242843195	-4.5221625765207	6.12110154759073e-06	0.00115088044467942	CCNA2
CCNB1	3.20303868636594	-3.35769127120549	0.79618417895057	-4.21722932956439	2.47322415270387e-05	0.00405010400361329	CCNB1
CCNB2	4.14756264495442	-3.01613770342592	0.787069918090337	-3.83210898307987	0.000127049431403617	0.0119017672101122	CCNB2
CD1D	26.9195981005035	0.700773017636739	0.208833940696345	3.35564714863902	0.000791795212418488	0.0386495038061774	CD1D
CD24	102.393915426638	-2.058893217314	0.578454886944224	-3.55929781869494	0.000371847669712725	0.0248379565170611	CD24
CD300C	11.5802489629024	1.23182612308101	0.294727896901003	4.17953690856341	2.92103311005043e-05	0.00450760153182976	CD300C
CD300LF	88.2839629822256	0.799771305975253	0.215113666624164	3.71790095220949	0.000200884997470548	0.0164482691880522	CD300LF
CD36	51.9505114159237	1.13628403587253	0.345276583116523	3.29093860236987	0.000998537045718863	0.0442713826427232	CD36
CD38	3.3578073984755	-2.35736350683394	0.706857280788501	-3.33499218428406	0.000853017967474934	0.0400957936285787	CD38
CD82	85.0022837086074	0.889080774180984	0.274572990149585	3.23804891987599	0.00120350170960277	0.0491419769531132	CD82
CDC20	4.74937545589308	-3.18496307579635	0.862784391939029	-3.69149361712309	0.000222940992511458	0.0176679342645747	CDC20
CDC45	1.68668939139485	-2.88951524230398	0.858552867022671	-3.36556472325854	0.000763871440085914	0.0381097539245982	CDC45
CDCA5	2.24436504747339	-3.29118742367621	0.812087509108537	-4.05274971817888	5.0619146810493e-05	0.00626716991644414	CDCA5
