	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
AAAS	17.7325555658508	0.808261819470718	0.225534014645358	3.58376904140901	0.00033867157587194	0.0216479852954086	AAAS
AAMDC	15.4556000529777	1.05052221191154	0.383195913931297	2.74147550565973	0.00611639209210135	0.0454035779871118	AAMDC
AARSD1	11.251303744523	1.34623048761114	0.372377537093991	3.61523011865063	0.000300080946712953	0.0208728830582315	AARSD1
ABCA1	13.4803779095394	-2.3601114841652	0.761915370643782	-3.09760319203302	0.00195092460885498	0.0287849075123679	ABCA1
ABCD4	9.69216489060853	0.817953905175582	0.275194727825418	2.97227316685546	0.00295603549979649	0.0336888748626677	ABCD4
ABHD11	7.33376486519288	1.08217154908171	0.327453233443879	3.30481253063328	0.000950399477303067	0.024180129613489	ABHD11
ABHD14A	6.92007082539258	1.62600481785807	0.473396641187227	3.43476205023387	0.000593074344224329	0.0236780548415998	ABHD14A
ABHD14B	24.6453779166909	1.64022164126618	0.500272147256522	3.27865872657734	0.00104301688832497	0.0242764711222117	ABHD14B
ABHD17A	10.5887127878541	1.47195117069763	0.518196384074538	2.84052767625238	0.00450389646404504	0.0401342570512523	ABHD17A
ABI3	27.5570781577853	1.34886894642717	0.413829439348138	3.25948039982826	0.0011161649255263	0.0246759168121993	ABI3
ACAA1	153.068858093207	0.603922829460898	0.219114013581011	2.75620358365447	0.00584765877576288	0.0442897235516556	ACAA1
ACADM	13.692236451574	-1.25215822837954	0.406979548091889	-3.0767104495797	0.00209298500596927	0.0296343832065088	ACADM
ACADVL	114.954187631989	0.713676839632373	0.186725652655452	3.82206102634038	0.000132340926434619	0.0186186698680542	ACADVL
ACAP3	5.61478565858377	1.23040659624438	0.436955526444942	2.81586230583908	0.0048646511272337	0.0413144466118232	ACAP3
ACBD4	4.24864957046904	1.18578766473052	0.421927562888707	2.81040578769513	0.0049479072609538	0.0414881083164196	ACBD4
ACBD5	9.44548439473314	-1.1753484425045	0.438383007018268	-2.68109945798041	0.00733807027450253	0.0485954338523925	ACBD5
ACD	8.3971184637043	1.45018821716509	0.427387390630075	3.39314694106241	0.000690945634678757	0.0236780548415998	ACD
ACLY	23.1624824766256	-0.926032103440842	0.278498540724107	-3.3250878120694	0.000883906909808674	0.0241611195207801	ACLY
ACOT8	16.9556785421094	0.944699232078037	0.342306533343507	2.75980485341781	0.0057835897931008	0.0441039010250147	ACOT8
ACSF2	6.3721040705495	1.556030377041	0.445802265020471	3.49040482548814	0.000482289364229206	0.0236780548415998	ACSF2
ACSF3	5.00108542405838	1.15643443209604	0.392666910823618	2.94507736766112	0.00322873915832058	0.0352048307979553	ACSF3
ACTR1A	71.1541915607507	0.528978829158593	0.164152081471809	3.22249236449334	0.00127080552756052	0.0257211845297615	ACTR1A
ADAR	177.139332014375	-1.16597328918422	0.387978512156843	-3.00525223085775	0.00265360694398429	0.0319351517156026	ADAR
ADCY7	26.9817538665537	-1.54595242399112	0.429197624470615	-3.60195941414621	0.000315827680793271	0.0211054240324049	ADCY7
ADIPOR2	21.8442758736603	-0.712071432104577	0.252989292125385	-2.81463071469312	0.00488333134060624	0.0413144466118232	ADIPOR2
ADPGK	60.7364307584074	-0.585986094797501	0.174010303378318	-3.36753676892052	0.000758429122217454	0.0236780548415998	ADPGK
AGAP3	7.21294435826816	1.46398586123467	0.377791672818523	3.87511416096753	0.000106574723661936	0.018433247792587	AGAP3
AGPAT2	18.2661887900542	1.36999338248453	0.509705902407871	2.68781149288762	0.00719219862144072	0.048199490626737	AGPAT2
AIP	55.8603599749599	1.08949910252713	0.356554821298572	3.05562858064625	0.0022458928067718	0.0301637614598127	AIP
AK1	5.16917614730357	1.54328170387061	0.52993005100797	2.91223662620221	0.00358850678456317	0.0367644812388289	AK1
AKAP8L	36.5327516236337	0.778105564653559	0.167473958760018	4.64612869018368	3.38222059021279e-06	0.00908976061327543	AKAP8L
AKR1A1	56.8753437711999	0.723013715168505	0.252155634816313	2.86733118494535	0.00413949579867948	0.0387627308281865	AKR1A1
AKR1B1	34.3995085465478	1.10135678261166	0.410504986794406	2.68293155513663	0.00729799247704902	0.0484529028959982	AKR1B1
AKR7A2	7.23519685807047	1.17172162949942	0.385617447362305	3.0385596852897	0.00237712011412481	0.0312032388790103	AKR7A2
AKT1S1	7.3416623865877	1.52432122274648	0.375313953069841	4.06145630952022	4.87675457765598e-05	0.0170178202575651	AKT1S1
ALDH16A1	3.62530476489881	1.95423150475751	0.648709618499475	3.01249041023598	0.00259113622802968	0.0318259793006521	ALDH16A1
