	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
A1CF	431.443381274186	-0.998380872810962	0.178128758495452	-5.60482698719563	2.08463090057138e-08	1.08627397144991e-06	A1CF
A2M	640.122174762291	-0.62850146962164	0.205101098050832	-3.06434960902	0.0021814382155546	0.035553716400306	A2M
AADAC	351.768814130656	-0.706874572104121	0.191959052517202	-3.68242374003578	0.00023102698834265	0.00572078193241047	AADAC
AASS	54.5269906044321	-2.76674802231163	0.486809414714435	-5.68343162371791	1.32018520561643e-08	7.0952554660596e-07	AASS
ABAT	166.375005086668	-0.764266543709789	0.250421699745877	-3.05191820231774	0.00227384055369928	0.0366783028749474	ABAT
ABCB11	72.6138767195651	-1.56665901414759	0.396990442391335	-3.94633937459694	7.93551146884825e-05	0.00223781423421521	ABCB11
ABCC5	430.662421505928	-0.604226445566744	0.180176649548456	-3.35352248518888	0.000797899305977614	0.0161549992625991	ABCC5
ABCC9	27.0626288463684	-1.9416897317077	0.619030391938716	-3.13666300878475	0.00170882414579514	0.0295530409629939	ABCC9
ABHD2	962.040775181037	-0.665861248319954	0.137224192605383	-4.85236047432816	1.22000611802931e-06	4.79129908266223e-05	ABHD2
ABRACL	307.094344108442	-1.0107713121142	0.206652960560495	-4.89115331022954	1.00246841752306e-06	3.96520923564812e-05	ABRACL
ACAA1	512.432383959728	-0.91573443016196	0.168980682311856	-5.41916636643685	5.98775785809595e-08	2.91720641988943e-06	ACAA1
ACAA2	754.720947798453	-0.507605867744485	0.152197528436073	-3.33517812648116	0.000852447758280536	0.0169993117853448	ACAA2
ACACB	265.310692448652	-1.40319707706408	0.216527704265343	-6.48045053553302	9.1449131919479e-11	6.08898803363865e-09	ACACB
ACADM	213.977162348672	-0.736914163144555	0.233941072104814	-3.14999908530124	0.00163270973747392	0.0285664616111313	ACADM
ACADSB	280.017628333964	-0.888576657714567	0.199984894631127	-4.44321887087297	8.86229305713036e-06	0.000302605647549024	ACADSB
ACMSD	210.823093018697	-0.787698831291535	0.252717907385329	-3.11690944041611	0.0018275770288938	0.0311571987073858	ACMSD
ACOX2	71.1078640891495	-2.42774929550449	0.402782757744257	-6.02744096867714	1.66576061250657e-09	9.93240842830408e-08	ACOX2
ACSM2A	394.573051255652	-2.64115756787985	0.197878417077322	-13.347375660721	1.22695754922565e-40	3.19675787553684e-38	ACSM2A
ACSM2B	551.7858124157	-1.69248046843357	0.162069924744063	-10.4429027847473	1.5790693028452e-25	2.66551346402813e-23	ACSM2B
ACSS2	409.271748664088	-1.04092269476179	0.178174626896705	-5.84214886761207	5.15317234686115e-09	2.89956669376201e-07	ACSS2
ADAMTS1	473.382039334207	-0.557118727351218	0.179074221702398	-3.11110511638626	0.0018638857742817	0.0315964229204614	ADAMTS1
ADAMTS17	19.304129634015	2.60598716430212	0.765926084095062	3.40240033394487	0.000667967134968477	0.0141191994931168	ADAMTS17
ADH1A	34.9578752440241	-2.49553643019234	0.558463049287703	-4.46857931491671	7.87408160921274e-06	0.000271180655420732	ADH1A
ADH1B	852.203627675233	-2.72781603646224	0.153366691685605	-17.7862351106468	9.03502996007395e-71	5.69920179323612e-68	ADH1B
ADH1C	162.15253897206	-2.37303090250655	0.269363674208617	-8.80976586571461	1.25407515639266e-18	1.41793308956283e-16	ADH1C
ADH4	199.210959876109	-1.16278032051672	0.243787416308372	-4.76964864768039	1.84547520238868e-06	7.08828963361515e-05	ADH4
ADH6	270.898800496934	-1.24226435248043	0.204717471572028	-6.06818921189807	1.29360450467212e-09	7.7908793912037e-08	ADH6
ADI1	550.962991226323	-0.580172209696859	0.167865223318643	-3.45617870233653	0.000547891955735621	0.0119173958066995	ADI1
ADRA1A	51.3819519019881	-1.36060365027515	0.430766171738263	-3.158566618137	0.0015854706841864	0.0279850753313314	ADRA1A
AFM	137.97726930234	-1.8301718172626	0.280603496785644	-6.52227017206662	6.92511280378222e-11	4.66277960411966e-09	AFM
AGL	245.21642328204	-0.837917791377906	0.219730588803157	-3.813387093449	0.000137075162102036	0.0037084555706386	AGL
AGO2	209.812408703637	-0.732080638839516	0.248778977245672	-2.94269494530713	0.00325368858028433	0.0490508901065506	AGO2
AGT	735.005667163391	-0.520338351740684	0.156240810182146	-3.33036132578981	0.00086733354169746	0.0172102524788809	AGT
AGTRAP	29.7830728470908	2.03193837583866	0.607210831227458	3.34634738272234	0.000818837414336873	0.0164937250602142	AGTRAP
AGXT	538.250906297777	-1.07543774914864	0.16956507504579	-6.34233051150556	2.263151329867e-10	1.46615506424087e-08	AGXT
AHNAK	3431.59694115786	-0.701161845815597	0.149281516315947	-4.69690999340883	2.64126769087909e-06	9.89237289849558e-05	AHNAK
AHSG	188.950361262083	-0.789927762828585	0.254405706958763	-3.10499230646829	0.00190283973945735	0.0321204708132342	AHSG
AKAP9	156.282108842366	-1.11612513999227	0.26407855453508	-4.2264891291807	2.37365733529443e-05	0.000748639030618519	AKAP9
AKR1B1	1156.15453820993	0.414666849795522	0.137424948518167	3.01740589512176	0.00254948185773415	0.0403639895177593	AKR1B1
AKR1B10	1453.44588797399	-0.504513871407938	0.150922986072506	-3.34285640999417	0.00082920794913241	0.0166306782546468	AKR1B10
ALAD	100.729064345634	-0.979113774517054	0.314366922443928	-3.11455724064511	0.00184221208526906	0.0313620906845877	ALAD
ALB	41595.2317959294	-1.21747039265302	0.128720229615049	-9.45826771979813	3.13086807227878e-21	4.31304067198404e-19	ALB
ALDH1A1	4079.84191874273	-0.656914165767144	0.124577412804382	-5.2731402184332	1.34109019989936e-07	6.25407239135945e-06	ALDH1A1
ALDH1B1	109.692037979584	-1.25428684075003	0.300720816175727	-4.170934545539	3.0335299381753e-05	0.000929842872353734	ALDH1B1
ALDH1L1	473.629781910635	-1.50113691485866	0.176901575105411	-8.48571819648398	2.14390431618588e-17	2.31483722788179e-15	ALDH1L1
ALDH3A1	35.5403960104021	2.174449408999	0.546791676758857	3.97674196851018	6.98659040972749e-05	0.00197486523727792	ALDH3A1
ALDOA	3696.0563711869	0.443961356585437	0.117738283236614	3.77074766491391	0.000162759184046094	0.00425910222880444	ALDOA
ALDOB	5879.74092217355	-1.51396467596552	0.134948339871361	-11.2188462444866	3.29541638974037e-29	6.47468285754726e-27	ALDOB
ALPL	21.0003510117678	2.57301612780465	0.773428578154893	3.32676629811493	0.000878600253481628	0.0174049984098799	ALPL
ANGPTL3	205.632019477246	-1.19678084907894	0.255803811000519	-4.67851063046325	2.88966191599474e-06	0.000107554652370177	ANGPTL3
ANKH	635.129946747415	-0.636088914717265	0.151586224807541	-4.19621845932811	2.71408471223648e-05	0.000842702209226793	ANKH
ANKS4B	55.5515789807053	-1.34894918109873	0.41416057640184	-3.25706805031562	0.00112569442284757	0.0212463742642963	ANKS4B
ANKZF1	103.489377070909	0.946806207373309	0.307139876174586	3.08265477985386	0.00205163007001946	0.0338625102561564	ANKZF1
ANP32A	423.978694783116	0.669867542218183	0.181484441799788	3.69104665708576	0.000223333162585303	0.00558452641213285	ANP32A
ANPEP	303.191109223591	-0.656332787057237	0.193673291922872	-3.3888657570741	0.000701823603324471	0.0146284450188588	ANPEP
ANXA5	1322.07747923962	0.54462990301234	0.144433846805605	3.77079136959748	0.000162730679379242	0.00425910222880444	ANXA5
