	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
WASH7P	43.2089284269813	9.02443521917773	2.64880285105495	3.40698637332844	0.0006568440623607	0.00899878706610811	WASH7P
KLHL17	18.9697588319779	7.83671164513394	2.68393155410317	2.91986270408172	0.00350185626975614	0.0259739648824074	KLHL17
ISG15	18665.2349087275	-5.30648710322414	1.84926710857327	-2.86950818441698	0.00411110692917629	0.0292014343477586	ISG15
C1orf159	33.8644174148398	8.67284687263565	2.62887290056547	3.2990742423379	0.000970042523815584	0.0110265873365328	C1orf159
ACAP3	41.43836271266	8.96407053359714	2.64302107636334	3.39160009496831	0.000694857772613995	0.0092163297186605	ACAP3
ATAD3B	129.821414989727	10.6115123052183	2.58506402782275	4.1049320987828	4.0443365521411e-05	0.00259766876246884	ATAD3B
ATAD3A	95.0449582077075	10.1616505204955	2.58667585117189	3.92845919054443	8.54918544525571e-05	0.00345030494948368	ATAD3A
CDK11A	64.8531343784314	9.61025975499743	2.62445937191082	3.66180549710715	0.000250443977746006	0.00542353142051395	CDK11A
PRKCZ	88.8747347176017	10.0648331244222	2.58902205718205	3.88750381500302	0.000101280396381475	0.00371050073539316	PRKCZ
PEX10	24.1291126460974	8.18394127590972	2.71991207397159	3.00889920458333	0.00262196087605865	0.0212971981091814	PEX10
PANK4	107.889324571497	10.3445169039621	2.58809485979299	3.99696203746934	6.41605854925127e-05	0.00303315620565424	PANK4
MMEL1	13.8343548678524	7.38116235863734	2.76146465368737	2.67291574736665	0.00751951334610048	0.04520092968779	MMEL1
TP73-AS1	91.6128734250273	10.1086218182501	2.61481879062095	3.86589765015784	0.000110681350433849	0.00386413407000396	TP73-AS1
LRRC47	145.393217456934	10.7749408371541	2.58053518296693	4.17546751862759	2.97374685237896e-05	0.00236767419443665	LRRC47
CEP104	48.1573366082609	9.18081381905431	2.60652202897889	3.52224677826756	0.00042790561543215	0.00702808200145034	CEP104
DFFB	21.8801117372277	8.04276547345276	2.6898176972364	2.99007827992066	0.00278905961004889	0.0221919165809583	DFFB
KCNAB2	109.120832181387	10.3609150071639	2.59133107597834	3.99829844330184	6.37994763138591e-05	0.00303315620565424	KCNAB2
RNF207	14.4360942572933	7.44283852357611	2.7296322877445	2.72668174280945	0.00639747106527433	0.0403187591896663	RNF207
GPR153	31.5930009950114	8.57274107484966	2.68703949492045	3.19040382214533	0.00142074120914116	0.0139978249417603	GPR153
TNFRSF25	53.6346243260558	9.33621710295501	2.60155183587626	3.5887107741639	0.000332317263557623	0.00620024323379327	TNFRSF25
PLEKHG5	33.8644174148398	8.67284687263565	2.62887290056547	3.2990742423379	0.000970042523815584	0.0110265873365328	PLEKHG5
DNAJC11	59.3875595675877	9.4832075665681	2.59814806383574	3.64998735005414	0.000262253223847701	0.00558314550177321	DNAJC11
PER3	116.815012996029	10.4591952104654	2.58110352141196	4.05221841111736	5.07342686089626e-05	0.00290069337266546	PER3
TNFRSF9	32.3919147352142	8.60861018637329	2.68206077530635	3.20969989406374	0.00132873621357401	0.0134513376309095	TNFRSF9
SLC2A5	17.1130860187445	7.68814430150634	2.69112516459548	2.85685125413407	0.00427866296395414	0.0300521818417514	SLC2A5
TMEM201	45.6831325176211	9.10474233751565	2.61740345139892	3.47853989901689	0.000504153379540769	0.00772557473176484	TMEM201
UBIAD1	107.933145290471	10.3451093378951	2.58154601933959	4.00733097934143	6.14087783430515e-05	0.00301789730527313	UBIAD1
FBXO44	55.0036936797686	9.37260081074996	2.60663687012693	3.59566801120769	0.000323560222786426	0.00614316729904191	FBXO44
MTHFR	187.691458271612	5.9668305242802	2.25831521519261	2.64216017504505	0.00823790868336922	0.0482841807097728	MTHFR
CLCN6	106.588025786752	10.3270182507098	2.58106755696029	4.00106468459582	6.30581157145167e-05	0.00303315620565424	CLCN6
PLEKHM2	397.259618150449	7.06067128774122	2.23421377536264	3.16024874862083	0.00157634495629215	0.0149455720918805	PLEKHM2
SLC25A34	16.5816618402502	7.64264658883848	2.6947386237459	2.83613650744895	0.0045662924220377	0.0315473161156392	SLC25A34
HSPB7	88.3183503861697	10.05579136006	2.64940184212079	3.79549496803044	0.000147349183926057	0.00428066731899495	HSPB7
CROCCP3	13.4262348842506	7.33818658662786	2.73209118534585	2.6859230123752	0.00723297526998307	0.0439334119618207	CROCCP3
NBPF1	28.4401186809908	8.42100703563018	2.64116706071586	3.18836591629602	0.00143079349771793	0.0140418706466544	NBPF1
CROCC	46.2782482840688	9.12343827859759	2.65004586858531	3.44274730741472	0.00057583709309768	0.00833335099061973	CROCC
MFAP2	20.318957316711	7.93598876185647	2.70635998163889	2.93234780875332	0.00336409760305404	0.025381356267132	MFAP2
PADI2	881.368717416501	-5.11126824514097	1.85518268502037	-2.75512933923531	0.00586689380331453	0.0377200138535079	PADI2
ARHGEF10L	77.3316671385574	9.86411716777758	2.59000490546679	3.80853223364833	0.000139794125360397	0.00422856218074113	ARHGEF10L
ALDH4A1	43.8769040463546	9.04657862377787	2.68811613837423	3.36539723661241	0.000764335324980168	0.00967047560373064	ALDH4A1
TMCO4	41.2488222878351	8.95744530571448	2.62957238146788	3.40642659956531	0.000658192459996603	0.00899878706610811	TMCO4
OTUD3	190.724249883731	11.1664417934639	2.62716439822682	4.25037801250678	2.13410040317699e-05	0.00210094457009268	OTUD3
CDA	1611.25165134933	-5.43605404261184	2.01706003971521	-2.69503829116528	0.00703805425029018	0.0430963046060365	CDA
SH2D5	49.0688519393487	9.20777746137454	3.15070637502868	2.92244860846188	0.00347290928211236	0.0258864655329403	SH2D5
TCEA3	88.0890682233854	10.0520406171956	2.64401124414073	3.80181462521064	0.000143640184641539	0.00428066731899495	TCEA3
ASAP3	72.7093508229818	9.77522542160446	2.64252820256205	3.69919435944976	0.000216284928430703	0.00507960787289138	ASAP3
SRSF10	96.6789724811498	10.1862398860381	2.58912267641919	3.93424381888536	8.34590306397177e-05	0.00339550029238787	SRSF10
IFNLR1	14.3922735383196	7.43816455212856	2.80211847553655	2.6544789654921	0.00794309916362408	0.0470353624071173	IFNLR1
NIPAL3	80.7337024843421	9.92623875438168	2.59946608020034	3.81856829369233	0.000134228426448187	0.00416025435073704	NIPAL3
LDLRAP1	120.337807894727	10.5020740672131	2.58401235995283	4.06425070946827	4.81870094793182e-05	0.00283009619097599	LDLRAP1
PDIK1L	17.6312629512523	7.73118085270588	2.68732395137823	2.87690691281966	0.0040159404458392	0.0287842563842996	PDIK1L
FAM110D	147.951508040599	10.8001089457788	2.76253219043253	3.90949614385772	9.24888317698711e-05	0.00357510139824618	FAM110D
CEP85	25.6663172166201	8.27292513653408	2.64781717770486	3.12443215724777	0.00178148597982927	0.0162574059126621	CEP85
DHDDS	106.863673310489	10.3307438823366	2.58123777702678	4.00224418466249	6.27444927091021e-05	0.00303315620565424	DHDDS
MIR1976	105.632742249033	-23.50961185193	3.17973326847736	-7.39357985935337	1.42927541453214e-13	1.65949870053447e-10	MIR1976
SFN	588.387871267527	7.63080551612214	2.32108201175368	3.2876070201228	0.00101042776251536	0.0112477007752694	SFN
GPN2	74.8268895749304	9.81661033419422	2.58959420186005	3.79079097688092	0.000150168292690656	0.00430102506617223	GPN2
GPATCH3	79.4746900795353	9.90356215436331	2.59741699209564	3.81285029877815	0.000137373325798162	0.00420590868072505	GPATCH3
SLC9A1	172.644114907973	11.0227657431182	2.58068740848119	4.27125180170715	1.94378780885261e-05	0.00205361869171082	SLC9A1
MAP3K6	687.5857262555	13.0164907266883	2.74417031127244	4.74332466655566	2.10238913947098e-06	0.00105616467350851	MAP3K6
GPR3	47.2947312801047	9.15478364649835	2.65248073747028	3.45140438427064	0.000557677316251277	0.00817509164931255	GPR3
IFI6	66909.5063857199	-7.08553155727831	1.83479933151691	-3.86174740505295	0.000112578929797121	0.00387035475542719	IFI6
SESN2	134.784080719936	10.6656127569459	2.58886077564424	4.11980932203344	3.79186064721297e-05	0.00256786979356103	SESN2
RNU11	251.268593947168	-6.09074370510194	1.97521052889499	-3.08359216195011	0.00204517752405376	0.0180864928127063	RNU11
GMEB1	37.2053058146501	8.80852678579282	2.63258968146775	3.34595506766622	0.000819996822804545	0.0101036996272749	GMEB1
COL16A1	109.242602037244	10.3625140020264	2.58005238560571	4.01639674443803	5.90947380593769e-05	0.00301789730527313	COL16A1
SPOCD1	32.934041517716	8.63262635045642	2.62879562837637	3.28387123642175	0.00102391692300291	0.0113472849014727	SPOCD1
TMEM39B	98.823529761163	10.2179164558976	2.59197725172838	3.94213199559684	8.07605076928068e-05	0.00334347392648796	TMEM39B
CCDC28B	25.8359867724653	8.28247270208869	2.6511453065331	3.12411118382631	0.00178343052921086	0.0162653174670144	CCDC28B
DCDC2B	14.9741420587808	7.49560013385017	2.71574408613585	2.7600539285406	0.00577918207070823	0.0373420266161259	DCDC2B
TMEM234	29.4433544310403	8.47103186860698	2.64168454036391	3.20667806438389	0.00134277173977108	0.0135299042991353	TMEM234
MTMR9LP	140.320494777818	10.7237164167486	2.65944666441626	4.03231114210085	5.52309960110507e-05	0.00300959080790902	MTMR9LP
LCK	64.7705822244419	9.60834852385131	2.64438075342812	3.63349661783585	0.000279606113882541	0.0057239070008898	LCK
ZBTB8A	31.3570952092339	8.56192363309282	2.67709116101921	3.19821893171287	0.00138279256615109	0.0137677249297391	ZBTB8A
LOC653160	16.2000363486214	7.60918683250799	2.73641620169963	2.78071253480439	0.00542397426213039	0.0356729705937238	LOC653160
ZMYM6	59.367688698608	9.48272665847775	2.59777592339816	3.65032510043182	0.000261908600923617	0.00558314550177321	ZMYM6
ZMYM1	16.0171195467897	7.59272599539428	2.70383959409201	2.80812738003566	0.00498305122386896	0.033502973351037	ZMYM1
NCDN	50.1439372393801	9.23914399020344	2.60749051291629	3.54330876543444	0.000395139773075998	0.00676733660187565	NCDN
C1orf216	104.397627181878	10.2970804013095	2.59711119565093	3.96482076645497	7.34511158296208e-05	0.00316763183523513	C1orf216
AGO1	107.888314268553	10.3445258743831	2.58844039745379	3.99643193815044	6.43043584079341e-05	0.00303315620565424	AGO1
COL8A2	15.2431659595246	7.52127487640527	2.71053051629761	2.7748349746229	0.00552297247695274	0.0361664844109001	COL8A2
SH3D21	44.0037631861698	9.0506034130773	2.73330331782604	3.31123273222226	0.000928859219175557	0.0108431562677772	SH3D21
RSPO1	13.353375031325	7.3304419977962	2.78501216306246	2.63210412328522	0.00848578518568798	0.0493771941375383	RSPO1
INPP5B	72.0505434685807	9.76207501893814	2.59662754425646	3.75952070620643	0.000170239187999507	0.00454473155622376	INPP5B
BMP8A	19.767662269237	7.89633004927669	2.73797885088056	2.88399965059524	0.00392659188989409	0.0283578842038571	BMP8A
TRIT1	95.6889839770868	10.1713884391847	2.59173150569237	3.92455330224012	8.68908194499335e-05	0.00345680044403288	TRIT1
ZFP69	15.9177652018911	7.58385304923745	2.76331027324786	2.74448118354938	0.00606066288286011	0.0386479279906592	ZFP69
RIMS3	108.47171712805	10.3523183608491	2.67358973261556	3.87206691982671	0.000107916311873641	0.00382637271764737	RIMS3
KCNQ4	26.955903094414	8.34375537679961	2.70845783688454	3.08062959783682	0.0020656343874469	0.0182172353450185	KCNQ4
