	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
LOC729737	60.0264818798334	1.09897257617742	0.279355130762578	3.93396238392854	8.35568655754668e-05	0.00307832155497735	LOC729737
ISG15	344.413158325673	-3.14907036944962	0.557120357499529	-5.65240585280943	1.58217463779804e-08	4.15514882707752e-06	ISG15
LOC148413	97.9513238662429	0.625803464896326	0.196313387084163	3.18777783925674	0.0014337064456077	0.0220019404811616	LOC148413
ANKRD65	156.450082484803	0.66602874912664	0.233758895202334	2.84921242697587	0.00438276067858619	0.0478459967727382	ANKRD65
FAM213B	67.5016344131895	22.6693942014209	3.16822312900542	7.15523916036095	8.35271696637579e-13	6.83890985029321e-10	FAM213B
RPL22	2660.93059482596	0.493544368049567	0.101863036607866	4.84517627281743	1.26499316596261e-06	0.000127590144036475	RPL22
RNF207	105.535985703434	0.954760488446738	0.276217344949603	3.45655515811629	0.000547127221474563	0.0110689880751518	RNF207
HES2	2455.76420516157	0.675312582909679	0.176934642730306	3.81673465687006	0.000135229462748727	0.00422786044360634	HES2
VAMP3	1387.90054496593	-0.373890662434327	0.128956843655721	-2.89934719116195	0.00373940569291438	0.0429850997829426	VAMP3
ERRFI1	1278.46709229021	-0.337900507154486	0.115396602621141	-2.92816685655686	0.00340967010252779	0.0402913482856731	ERRFI1
PGD	1364.81946396634	0.873898389345112	0.208667876808343	4.18798716271872	2.81439431800874e-05	0.00136493221297434	PGD
ARHGEF19	41.7437388790792	1.31677252800962	0.256598117597588	5.13165310929779	2.87208456372755e-07	3.84389856178113e-05	ARHGEF19
MFAP2	462.66898107027	0.709161830180774	0.249842870556521	2.83843132526106	0.00453358739108036	0.0491073952501537	MFAP2
PADI1	222.260460591748	1.0792653218019	0.263828638274405	4.09078153479067	4.2992196764241e-05	0.00182999506654884	PADI1
PADI3	128.104763452262	1.91654562983112	0.556181720490347	3.44589827249525	0.000569164574027035	0.0113988513753702	PADI3
EMC1	896.514809653891	-0.378263431710118	0.0993559610941819	-3.80715386922334	0.000140575288113495	0.00432891025498172	EMC1
AKR7A2	300.93002195526	0.372971484964164	0.131663373786014	2.83276566777284	0.00461472015515499	0.0496385547446695	AKR7A2
OTUD3	102.982080208501	-0.552019520876752	0.187611764821034	-2.94235023802122	0.00325731296555814	0.0391524517854955	OTUD3
MUL1	575.648867570688	-0.483857754691664	0.124786709721402	-3.87747826488833	0.000105544753239567	0.00356928690465568	MUL1
KIF17	9.12485478120398	-1.93241153814657	0.542373163744213	-3.56288191843118	0.000366805699224358	0.0084951223419365	KIF17
HNRNPR	1899.13787933273	0.844163047543011	0.276799174301069	3.04973108996645	0.00229046346901393	0.030566597339602	HNRNPR
ASAP3	60.7967108874602	0.867268592820911	0.300763352066206	2.88355807601852	0.00393210134299788	0.0443524461857273	ASAP3
RPL11	9555.33973815758	0.616147221114179	0.196212040635062	3.14021106513111	0.00168826152308219	0.0247878820039884	RPL11
GRHL3	437.295340293841	1.36366956011912	0.297994019942388	4.57616418068646	4.73578935224303e-06	0.000358247021705819	GRHL3
CLIC4	1219.08377962524	-0.862381805751209	0.229575624729265	-3.75641711426551	0.0001723633219341	0.00498873818440821	CLIC4
SYF2	543.381378550478	0.902453549398488	0.297668903755429	3.03173605980677	0.00243151713998241	0.0319285727088823	SYF2
STMN1	502.100615581031	0.876996872381826	0.194249390447432	4.51479858115261	6.33769721699095e-06	0.000452381577247677	STMN1
IFI6	210.803252649636	-3.50011351520458	0.533363823956175	-6.56233767270308	5.29706921780385e-11	2.73073727565229e-08	IFI6
DNAJC8	1024.87605029358	0.560459595898209	0.160819392049594	3.48502496344079	0.000492091129795746	0.0103465505069894	DNAJC8
SESN2	321.957657610352	-0.508777226382785	0.136311928947695	-3.73244829202008	0.000189627631909775	0.00533217577485285	SESN2
TAF12	329.882192217245	0.568619855288674	0.120198507677048	4.73067316955762	2.23776544577849e-06	0.000195751585950611	TAF12
SYNC	102.326492737394	1.72093965121565	0.566222024321091	3.03933718099201	0.00237099324923687	0.0313334895034297	SYNC
OSCP1	41.485575225907	0.80687117865344	0.273432141354823	2.95090099743026	0.00316848458815691	0.0383739855155216	OSCP1
MRPS15	986.751680912169	0.45723724142727	0.123188415848623	3.71169024520239	0.000205879840904727	0.00562438448129091	MRPS15
DNALI1	9.95216893904708	3.31087037931419	0.97629554005354	3.39125832648239	0.000695724913531201	0.0133754075572387	DNALI1
RRAGC	497.749390068871	-0.659992438186031	0.196550955049778	-3.357869403478	0.000785457135794384	0.0144422428971229	RRAGC
NDUFS5	1832.378121329	0.441144823528168	0.14766152286757	2.9875407957414	0.00281231758164205	0.0353610193485779	NDUFS5
ZMPSTE24	901.921028476389	-0.982138077187211	0.271838622477204	-3.61294531379393	0.000302738569830385	0.00735395838301769	ZMPSTE24
EDN2	4.37001877685694	-3.38587305596191	1.04748143850661	-3.2323943236542	0.00122757530883497	0.0196397939352574	EDN2
PPIH	322.277661189978	0.731574880212569	0.237724382387168	3.07740784881332	0.00208809389069235	0.0288335107783203	PPIH
ZNF691	50.5269776551533	1.0103628525929	0.228074499178387	4.42996852446294	9.4246842921403e-06	0.000604526178167285	ZNF691
TMEM125	34.023558860444	1.32323344640648	0.305788605173728	4.32728173652744	1.50960815392975e-05	0.000854155930672691	TMEM125
HYI	50.4865167046871	20.65577222352	3.16837012168411	6.51936845451019	7.06040269267963e-11	3.32716209419039e-08	HYI
CCDC24	83.859127144873	0.561290380670696	0.183314338505342	3.06190113248745	0.00219936083389294	0.0298662472653228	CCDC24
NASP	488.762950564884	0.920790470500796	0.281689029162844	3.26881907058045	0.00107997335670005	0.0181547695071352	NASP
TSPAN1	2678.84376809425	0.661511454540977	0.147280169203339	4.4915174807253	7.07174953166415e-06	0.00048970985935937	TSPAN1
LRRC41	874.01352919601	-0.352451259833722	0.111212857487697	-3.16915928423753	0.00152880586491604	0.023180227487763	LRRC41
CDKN2C	32.4768193635266	1.4238104310758	0.457717392882083	3.11067583014613	0.00186659730378621	0.0266747103402467	CDKN2C
ECHDC2	144.674893583386	0.486897695159671	0.166462949625093	2.9249613578052	0.00344498998765413	0.0405332338445967	ECHDC2
HSPB11	174.963614495516	0.602779266196777	0.177126778982025	3.40309505802027	0.000666270956651185	0.0129526985195199	HSPB11
TCEANC2	141.862471429764	0.674256730836982	0.234818453502675	2.87139584125275	0.00408663433435707	0.045614966559676	TCEANC2
TACSTD2	9606.39174174647	0.812986265027134	0.228965190598127	3.55069809041001	0.000384210880215221	0.00870982286924375	TACSTD2
ROR1	16.1244649391955	-1.03170736711539	0.356468462644493	-2.89424584565371	0.00380070455235332	0.0433978725711287	ROR1
GNG12	1571.07929923932	-0.7785870276237	0.16276992150698	-4.7833593603491	1.72389522567727e-06	0.000159965984308013	GNG12
HHLA3	50.5912974090303	1.14624200084287	0.35763842410896	3.20503034230364	0.00135048243353551	0.0210261353382335	HHLA3
NEXN	118.989608834349	1.78286862591856	0.471739579688528	3.77934924836226	0.000157238754579118	0.00466653779314871	NEXN
IFI44L	114.612645907213	-4.22142237314652	1.02410362128513	-4.12206566348153	3.75490127480743e-05	0.00167026584110426	IFI44L
IFI44	172.396290560164	-2.37001513382756	0.608756794422468	-3.89320522668829	9.89283923829146e-05	0.00343387604383488	IFI44
HS2ST1	238.995636347003	-0.81913628191366	0.265450968884534	-3.08582893991985	0.00202985563391372	0.0283101809303056	HS2ST1
