	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
HES4	502.21692221216	-2.94430740637652	0.631742474178424	-4.66061334597704	3.15268486046262e-06	6.52653534068193e-05	HES4
ISG15	7112.69714351713	-7.79727022935594	0.488501937893679	-15.9615952865534	2.36605516178692e-57	8.08185291887368e-55	ISG15
AGRN	5266.44251508373	-0.980222855820867	0.329392288696593	-2.97585246970903	0.00292175381164921	0.0208568037244322	AGRN
RNF223	34.9674739709342	-2.11926332176001	0.604130548368562	-3.50795590039772	0.000451563897977873	0.00486187355245995	RNF223
SCNN1D	23.5649093040034	-2.28285151708452	0.508334526980034	-4.49084489823407	7.09411984577042e-06	0.000133225382277811	SCNN1D
LOC148413	94.1229640383974	0.741517729344307	0.214325303231641	3.45977688198057	0.000540623144984748	0.00563427462236965	LOC148413
ANKRD65	147.512826721474	0.899777241374534	0.195302508524308	4.60709515803554	4.08333166175975e-06	8.19244647498142e-05	ANKRD65
SLC35E2B	196.465244599646	0.734614052132094	0.279134242104242	2.6317589937882	0.0084944095953245	0.045442098003492	SLC35E2B
NADK	603.41057849734	-1.14499784722795	0.279273376362145	-4.09991765825608	4.13297162277456e-05	0.000639510660044948	NADK
TNFRSF14	70.813332974798	-0.75979354210776	0.256301972700983	-2.96444671923841	0.00303227747788462	0.0214330094052444	TNFRSF14
FAM213B	66.6141433987562	22.7712699183959	3.16822051605133	7.1874005622489	6.60364625586114e-13	2.9876032713189e-11	FAM213B
RNF207	103.880193045965	0.939056385996384	0.296180541205829	3.17055395392702	0.00152148574454203	0.0127299814621419	RNF207
ESPN	546.673352765319	-0.658628671820024	0.247172056301805	-2.66465668358489	0.00770669557580099	0.0422984678265094	ESPN
KLHL21	847.261508702671	-1.20830291962597	0.301674196956332	-4.00532406091356	6.19325166037552e-05	0.000909875241244201	KLHL21
THAP3	115.497314559796	-1.43759477308613	0.231240106277282	-6.21689202720873	5.07098439699656e-10	1.76297353221791e-08	THAP3
VAMP3	1378.61483615549	-0.417207309067631	0.153810705112652	-2.71247250808756	0.00667833208299401	0.038484797933013	VAMP3
PER3	57.1293164063342	1.21007343922115	0.352858809450698	3.42934172765842	0.000605047203566435	0.00613716402548493	PER3
TNFRSF9	9.88841047806286	-2.62593013730562	0.74572020977075	-3.52133427912982	0.000429380960518791	0.00466345950999065	TNFRSF9
ERRFI1	1679.21323674723	-1.19178579151553	0.24302864526739	-4.90389019864008	9.39570233877666e-07	2.10460558044407e-05	ERRFI1
SLC2A5	5.91067067510045	2.42476739836605	0.820081826678438	2.95673836376431	0.00310911813730177	0.0218411874479567	SLC2A5
SLC25A33	50.1583723130453	-1.31830195537011	0.485948428102166	-2.71284333713897	0.00667086358908831	0.038484797933013	SLC25A33
UBE4B	502.483207601577	0.725883160475884	0.220702695385615	3.28896373108452	0.00100556980695221	0.00923947563711368	UBE4B
PGD	1376.82984469063	0.716449482867321	0.236321405342409	3.03167409583253	0.00243201628628475	0.0181181235111824	PGD
MTOR	732.168307633815	0.519960394290411	0.197723453188727	2.62973555187765	0.00854513106607535	0.0455884911190111	MTOR
FBXO6	241.105597880549	-1.87923044921327	0.331082907038772	-5.67601168547551	1.3787136459278e-08	4.06854525795065e-07	FBXO6
VPS13D	687.515829564655	0.990980351532587	0.382186823382351	2.59292129111731	0.0095164546998547	0.0489730020957118	VPS13D
DHRS3	563.82283829219	2.08605546994266	0.587010572646407	3.55369318228484	0.000379862096255215	0.00421270764702517	DHRS3
PDPN	858.646867654726	-0.464771472288259	0.15612681280281	-2.97688439253078	0.00291193791051676	0.0207975994100316	PDPN
TMEM51	218.847798937978	-0.609114283758622	0.164503154979652	-3.70275137783202	0.000213273865366993	0.00263230426604266	TMEM51
NECAP2	705.513378969617	-0.530405791075287	0.140529384552763	-3.7743408096699	0.000160431313714207	0.00207056539768336	NECAP2
NBPF1	161.963295734828	1.00704114177143	0.26329182645374	3.82480973805833	0.00013087311644288	0.0017479172922376	NBPF1
PADI1	215.908059141179	1.14347189297166	0.298116487491371	3.83565465497695	0.0001252302731854	0.00168573519461293	PADI1
PADI3	118.308658860334	2.83851783652117	0.58088277909166	4.88655876657219	1.0261370844825e-06	2.27599204306565e-05	PADI3
NBL1	6.54360182138219	-2.79001831182824	0.932233005566135	-2.99283365335675	0.00276400356738433	0.0200598109869935	NBL1
SH2D5	466.739006830819	-1.372615682718	0.461432226868858	-2.9746853444376	0.00293289217747755	0.0208809468878797	SH2D5
ALPL	4.80937562356747	-3.57969044218113	1.07113348920089	-3.34196482349901	0.000831876023691749	0.00797049236444626	ALPL
USP48	568.71697503668	0.837596529580344	0.318815707947262	2.62721223798326	0.00860876208439286	0.0457384368571635	USP48
LDLRAD2	6.74154265229424	3.69250483894356	1.14594025244475	3.2222490056231	0.00127188547183349	0.011068644077491	LDLRAD2
ZBTB40	288.197911116145	0.845948452910684	0.261774657262885	3.23159033710871	0.00123103404836323	0.0107956471134703	ZBTB40
HNRNPR	1827.17436607857	0.975825985235723	0.295390289165685	3.30351409991132	0.000954811677228378	0.00887455234419819	HNRNPR
ZNF436	236.498849984501	1.11998087711157	0.306839110840968	3.65005906203415	0.000262180017140481	0.00309875914722352	ZNF436
ASAP3	61.1114401257948	0.732205525767348	0.269110361314704	2.72083736274684	0.00651167897277599	0.0378430752041847	ASAP3
MYOM3	19.6788167793855	-0.964799330266862	0.368082254334125	-2.62115143804534	0.00876333247117853	0.0462112742391788	MYOM3
IL22RA1	80.7416682778031	-2.23216550831093	0.278675697183451	-8.00990373710809	1.14798264570177e-15	6.87933635448388e-14	IL22RA1
GRHL3	491.909768409745	0.510119356047117	0.170371087948172	2.99416621793422	0.00275195978042074	0.0199893814353474	GRHL3
SRRM1	814.337490704252	1.09299031837074	0.408776313406583	2.67381030290669	0.00749948595459427	0.0415764377486478	SRRM1
CLIC4	1424.4317505102	-1.32124341182991	0.268510119171362	-4.92064662556239	8.62587497320003e-07	1.94160345566445e-05	CLIC4
RUNX3	39.2594365642956	-1.15041589065936	0.284174801909469	-4.04826847042495	5.15979412583318e-05	0.000773007315145381	RUNX3
TMEM50A	1172.36513375306	-0.496540973618112	0.156924316294894	-3.16420670385466	0.00155506309257841	0.012931726740048	TMEM50A
LDLRAP1	411.32519550697	0.413612615879581	0.141338904472974	2.92638900394668	0.00342921849623861	0.0235207893143113	LDLRAP1
STMN1	499.60285266756	0.789239491638205	0.210548046276294	3.74850066574599	0.000177894865537002	0.00226521672677731	STMN1
ARID1A	867.047046306713	1.14014592846679	0.361242095088441	3.15618236071755	0.00159848886544631	0.0132044458093065	ARID1A
GPATCH3	150.493754083578	-0.625367817766616	0.213983536452582	-2.92250435773686	0.00347228762172934	0.0237446775654094	GPATCH3
WASF2	1557.86539661674	1.1175216086893	0.391687549051344	2.85309454282094	0.00432957385803214	0.0281422300772089	WASF2
AHDC1	397.049870013518	0.647836070724547	0.194664586078364	3.32796058993367	0.000874842414061347	0.00830067493286124	AHDC1
IFI6	2176.90235007364	-7.08500433635399	0.369900859201261	-19.1537925909468	8.99881384565332e-82	6.47109439858744e-79	IFI6
FAM76A	102.891849695917	-0.54068160968559	0.180874224951785	-2.98926842577884	0.00279646338238557	0.020243714191526	FAM76A
STX12	482.258074782743	-0.914684682714421	0.224304465626075	-4.07787103195368	4.5449964202091e-05	0.000691517662464553	STX12
THEMIS2	300.133323472723	-3.73670320250415	0.19707190957889	-18.9611153131304	3.57482574762514e-80	2.44214220949012e-77	THEMIS2
DNAJC8	1017.068442269	0.504403456251593	0.176786668625333	2.85317586543013	0.00432846598446078	0.0281422300772089	DNAJC8
SESN2	385.492777454293	-1.08728464610839	0.202565430395718	-5.36757256153899	7.98034059019525e-08	2.11308902100461e-06	SESN2
RAB42	2.53122042126653	-3.06166800084468	1.04385265059274	-2.93304615273636	0.0033565399189704	0.0231267800871874	RAB42
TAF12	336.238085767133	0.380811304972765	0.133451794656449	2.85354952290528	0.00432337887953133	0.0281287264909698	TAF12
SDC3	422.535077421447	1.03624403403636	0.274359241223488	3.77696056241918	0.000158753857297839	0.0020657656688194	SDC3
ZCCHC17	499.777758988133	0.897752806679309	0.236349762151245	3.79840791252763	0.000145628515260593	0.00192615915198982	ZCCHC17
SPOCD1	56.3045897704377	-0.863700745811155	0.305751122792237	-2.82484897495553	0.00473029060808707	0.0298383936187875	SPOCD1
KPNA6	888.694844686567	0.663494302126299	0.250667319055113	2.64691186959405	0.00812305195862394	0.0439371571301183	KPNA6
TXLNA	569.030590107235	0.62939390116396	0.234458956102612	2.68445237335486	0.00726487332469349	0.0408069043015253	TXLNA
MARCKSL1	1668.59553310064	-2.23225054815387	0.241481553890728	-9.24397955946555	2.37495975813575e-20	1.89760673540402e-18	MARCKSL1
BSDC1	662.826943686185	0.556802000791533	0.209944848360848	2.65213462077677	0.00799846444813737	0.0434870751113812	BSDC1
RBBP4	514.562613937796	0.699395347379627	0.212790687935614	3.28677609986039	0.00101341374427323	0.0092803431554994	RBBP4
SYNC	103.588890963786	1.47017808065186	0.560399503880458	2.62344643503731	0.00870451312058427	0.0460133319377797	SYNC
RNF19B	567.668849806238	-2.37544886663419	0.185218247658243	-12.8251341143086	1.18581208738498e-37	2.16023340665879e-35	RNF19B
AK2	1467.60105914559	0.378259963174758	0.141445337066293	2.6742483776434	0.00748969575574521	0.0415764377486478	AK2
ZNF362	62.6181237614325	1.50544077559905	0.39423059657452	3.81868071296309	0.000134167281163069	0.00178493433547323	ZNF362
CLSPN	95.0149679653778	1.50411803443464	0.369273293355746	4.07318390335263	4.63747772261178e-05	0.000704803761112845	CLSPN
ADPRHL2	645.556870381656	-1.05830456918273	0.157234959098006	-6.73072054238952	1.68824943108149e-11	6.78427999319598e-10	ADPRHL2
STK40	220.526520046344	-1.09294304366497	0.217119586723324	-5.03382979011338	4.80776591634955e-07	1.13256044336351e-05	STK40
ZC3H12A	614.82674499288	-2.03734611524657	0.257475386980713	-7.91278008798246	2.51703752558282e-15	1.41523801284107e-13	ZC3H12A
