	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
SCYL3	389.958467626711	-0.629114102047962	0.134496510913387	-4.67754960909804	2.90323350372816e-06	4.46700339512465e-05	SCYL3
FUCA2	864.443498163541	0.653218898482883	0.208135114116069	3.13843678543644	0.00169851567069311	0.0102028796430982	FUCA2
NFYA	674.026216748249	-0.428313938035374	0.119706753332279	-3.57802651991128	0.000346198331673428	0.00276226665613328	NFYA
NIPAL3	1375.65103668894	-0.598463349208315	0.11594956136659	-5.16141106662915	2.45095321505687e-07	5.17142343598451e-06	NIPAL3
ENPP4	374.848789047568	-0.643510766996099	0.218018957354727	-2.95162757772975	0.00316103932974115	0.0167946859215966	ENPP4
SEMA3F	3.5172488486902	2.39008829734068	0.87358271540412	2.73596106607378	0.00621983845746785	0.028367854975205	SEMA3F
ANKIB1	320.110169996213	-0.297080869700029	0.109206045083646	-2.72037019079375	0.00652088688969124	0.0294832234579373	ANKIB1
CYP51A1	68.635358601588	0.761935281429337	0.221808120771682	3.4351099444805	0.000592313468626593	0.00431645323980072	CYP51A1
KRIT1	59.1554198664884	-0.552198658963366	0.195196804921858	-2.82893287717709	0.0046703493177364	0.022729342231854	KRIT1
MYH16	1.16524037032257	3.48811890394827	0.944244245092221	3.69408542554326	0.000220679610575195	0.00187572310886913	MYH16
BAD	257.484611378802	0.431132740398468	0.116751552870529	3.69273666857836	0.000221853715046332	0.00188435410286976	BAD
CD99	3853.06473056308	0.646497084131346	0.135472638425368	4.77215983718736	1.82260767637743e-06	2.99701867857504e-05	CD99
HECW1	2.94894164945956	2.68438309087926	0.80011948678899	3.35497776919811	0.00079371362692294	0.0054918116819111	HECW1
ICA1	78.9012396828635	1.00711905870818	0.207434855634403	4.85511008084001	1.20319885604409e-06	2.10177775245115e-05	ICA1
DBNDD1	93.0069840333807	-1.07241661539826	0.382100598134368	-2.80663422311927	0.00500620513462699	0.0239636757086698	DBNDD1
TFPI	53.3472609345205	3.64038830352442	0.410841018284097	8.86081998026567	7.94280377669653e-19	1.22402348881301e-16	TFPI
NDUFAF7	308.340822261361	-0.499965302134724	0.0982977042166047	-5.0862357988852	3.65239913113542e-07	7.32820150142058e-06	NDUFAF7
RBM5	1871.98841798733	-0.574334488085622	0.0977955438700173	-5.87280836485746	4.28473682851055e-09	1.42023585372049e-07	RBM5
ARF5	1791.48253512631	0.402224390540489	0.108273033496044	3.71490829759735	0.000203277399424366	0.00174898186923612	ARF5
