	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
FGR	11870.6377746102	-0.65015193060036	0.163161420654235	-3.98471604374013	6.7560865934528e-05	0.00123652712237192	FGR
NFYA	677.098212938935	-0.54165690802376	0.132481762277176	-4.0885394239436	4.34097778928727e-05	0.000859029227638549	NFYA
CFTR	2.23242477017378	2.23340197195968	0.788002293521632	2.83425821259792	0.0045932201705185	0.0358814113181207	CFTR
MYH16	1.21131144110549	3.55693536806199	0.910183237956587	3.90793328170657	9.30890024958154e-05	0.00161413795726191	MYH16
BAD	257.266798446461	0.328766878788909	0.109664579166409	2.99793134016432	0.00271818903795694	0.0241567951260994	BAD
LASP1	2873.69918239181	-0.433826880026568	0.127070160481671	-3.41407359825554	0.000639992849362378	0.00783110900959965	LASP1
TMEM176A	518.691048266147	-4.12538396825621	0.950613101471778	-4.33970872258032	1.4267169907245e-05	0.000336232437317841	TMEM176A
TFPI	21.4100841926204	1.23787411555526	0.410289353600824	3.01707588727638	0.00255225908714076	0.0230253869545303	TFPI
POLDIP2	1792.26616723616	0.279988660027665	0.0914476702272125	3.06173639341495	0.00220057154082657	0.0203707350992737	POLDIP2
PLXND1	987.754994175618	-0.979295406533791	0.218609804986555	-4.47964997084197	7.47655439384357e-06	0.000194161752242716	PLXND1
CD38	859.855324111336	2.28674845702882	0.2676244229415	8.54461798327231	1.28962153093771e-17	5.39350521170231e-15	CD38
CAMKK1	193.840566692104	-0.821602704369412	0.27044213559588	-3.03799813797184	0.00238155426183697	0.021730228580571	CAMKK1
NDUFAB1	749.244877936589	0.524621902105244	0.130333526492417	4.02522601992026	5.6920617886913e-05	0.0010733328625903	NDUFAB1
CDC27	552.967234785142	0.343217161104655	0.115543399391411	2.9704609948508	0.00297353163413224	0.0258521036053427	CDC27
SLC4A1	44.5358983741779	4.903092102316	1.52771033720609	3.20943832276666	0.00132994576387195	0.0138023741664652	SLC4A1
UPF1	1752.05755071941	-0.490021338438774	0.129133580865459	-3.79468558956261	0.000147830669278219	0.00238152111589731	UPF1
SKAP2	1526.07630028626	-0.477114954193031	0.154578102842116	-3.08656236181361	0.00202485468264387	0.0191296200479986	SKAP2
ACSM3	113.75770844804	-0.92503717450139	0.293546107946472	-3.15125000625138	0.00162573268159269	0.016177079357567	ACSM3
FAM214B	829.820208832903	-0.499424965017385	0.142604941625882	-3.50215749414636	0.000461506727158288	0.00603555554473916	FAM214B
WDR54	528.230834025313	0.546263532794645	0.129101903167038	4.23125855927827	2.32387351982376e-05	0.00050218548546157	WDR54
KMT2E	4353.16325471047	0.234681886513324	0.074612767283481	3.14533149027542	0.00165898735640901	0.0164670509082312	KMT2E
ITGAL	7602.97434522093	-0.31667447135074	0.0982164782581474	-3.22424991169413	0.00126303122626041	0.0132900480627274	ITGAL
ITGA2B	1459.95134705709	1.15456026651503	0.359780575137097	3.2090678216162	0.00133166076306442	0.0138100198020474	ITGA2B
MAP3K14	1085.26209479854	-0.487542946827443	0.148204142979085	-3.28967151003496	0.00100304406344951	0.0110437319064513	MAP3K14
AP2B1	1709.50583508152	-0.239106612539162	0.072248999465079	-3.30947991403995	0.000934694722903263	0.0104305379651423	AP2B1
TNFRSF12A	51.7780686571799	1.86755026260554	0.554242317725152	3.36955552270127	0.000752895212893745	0.00881698402379735	TNFRSF12A
AGK	666.42184857646	0.339547280319195	0.082180001021124	4.13175074349191	3.60010689322849e-05	0.000729418620789266	AGK
ALDH3B1	1222.00311775105	-0.944399893820128	0.204287696539677	-4.62289168568066	3.78427345067342e-06	0.000110457423293042	ALDH3B1
GGCT	96.2626257865741	0.551314111045742	0.191789587844604	2.87457790196848	0.00404567952634004	0.0326510033594703	GGCT
VPS41	1217.42578685065	-0.402584324629257	0.089950897088557	-4.47560099631815	7.61966687134362e-06	0.000197329653791053	VPS41
