	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ABCB1	311.794834434357	0.97838838367924	0.162198920201858	6.03202772534876	1.61914989530374e-09	6.53241764339517e-07	ABCB1
ABCB4	43.2323049570452	-1.07348727782447	0.306618169072989	-3.50105566499854	0.000463419036970843	0.0336714561886255	ABCB4
ACVR1C	1694.74434095416	-0.621906461673077	0.115858408574295	-5.3678146396623	7.96963969519431e-08	2.181831181554e-05	ACVR1C
ADCY8	71.9765243711967	0.830616435019371	0.241008607400213	3.44641813410452	0.000568070653311941	0.0400405360351948	ADCY8
AGPAT2	1255.11653755856	0.687269204270692	0.146066958118847	4.70516544687333	2.5366015884956e-06	0.000505047259132806	AGPAT2
AGT	8941.52687525874	1.12744731804213	0.0989686307992756	11.3919664133656	4.58523428950067e-30	1.4059245378467e-26	AGT
AIF1	89.8838458014206	-0.747396061134572	0.219915433015446	-3.39856121458324	0.000677413015017011	0.0461888939450511	AIF1
AK5	168.254769735573	-0.626217430361973	0.175594380470129	-3.56627261467801	0.000362094703593727	0.0284680712861304	AK5
AKR1B10	16.8088904923809	-2.28625505270319	0.602405246506131	-3.79521105761139	0.000147517908979589	0.014685695211468	AKR1B10
ANK2	501.09555330315	-0.476777479370043	0.140337417436768	-3.39736535044094	0.00068038062341666	0.0461888939450511	ANK2
AOX1	387.262323082346	0.567864415564764	0.136042134508794	4.17418043031408	2.99060678883013e-05	0.00389360263617128	AOX1
APOB	747.782606354507	-0.704046585202568	0.117171497165021	-6.00868472484404	1.87034430137324e-09	7.35237140624441e-07	APOB
APOL2	295.161327468049	0.520677086338987	0.138051833763987	3.77160572331937	0.000162200407490483	0.0157385724508645	APOL2
APOL6	137.650282916682	1.22449720040365	0.19296295654505	6.34576305384179	2.2132566068056e-10	1.06035740746677e-07	APOL6
AQP3	1170.92554874867	0.511947219555924	0.110681660184317	4.625402426232	3.73871781634733e-06	0.000699003449297817	AQP3
ASCL1	1219.42049879662	0.52092686103853	0.0989279908548205	5.26571758444993	1.39642816757975e-07	3.50961315363364e-05	ASCL1
ASXL3	540.790505207583	-0.447930834421904	0.129322357563625	-3.46367668252202	0.000532846537885531	0.0378197697792735	ASXL3
ATHL1	301.906601228037	0.636281279623521	0.181352151623237	3.50854000864247	0.000450573458711485	0.032894008073837	ATHL1
ATP8A1	853.283234368296	-0.505870067541087	0.111396220888431	-4.54117799963558	5.59407753764054e-06	0.00100897414975961	ATP8A1
B2M	8650.68816759357	0.523118228619884	0.123082402608934	4.25014638592953	2.1363085220945e-05	0.003032569069651	B2M
B3GNT7	382.443777209057	0.578221100158354	0.146173596009797	3.95571509453459	7.63060566669091e-05	0.00899883195969526	B3GNT7
BCL3	266.988750202669	0.741875687037123	0.170208061493293	4.35864012860727	1.30873113240694e-05	0.00213373195416954	BCL3
BCL6	388.772063929457	0.523287248766224	0.133695758667972	3.9140153283829	9.07738693121678e-05	0.0102327514001827	BCL6
BHLHE40	1095.14125496652	0.424533270524843	0.108253038338321	3.92167533624374	8.79354253709665e-05	0.00998620745453546	BHLHE40
BMF	767.533008255162	0.606850772523909	0.115861713182185	5.23771620370982	1.62575796918401e-07	3.95626911516826e-05	BMF
BTBD11	621.512601346849	-0.443279158757315	0.12017264238714	-3.68868612649189	0.000225415094530121	0.0199759469031288	BTBD11
C10orf10	7577.54652864012	0.390999994722643	0.110864407488133	3.52683068968277	0.000420565607395689	0.0309985159951121	C10orf10
C1orf173	922.298627448729	0.442148379005868	0.118591141702156	3.72834237582713	0.000192743404776432	0.0178008984254667	C1orf173
C1QTNF1	125.590343956301	0.84098073703737	0.199877537738915	4.20747997274151	2.58234280970128e-05	0.00347279803645003	C1QTNF1
C2CD4A	1919.54017653324	0.652923110926184	0.102454610277071	6.37280361674759	1.85603488787879e-10	9.48495695535658e-08	C2CD4A
C2CD4B	877.278044707631	0.899781109217456	0.159082784991945	5.65605580304	1.54891126130178e-08	4.65614873470933e-06	C2CD4B
C3	278.517967040687	0.577945797945752	0.152501556719647	3.78976982515808	0.000150786941745703	0.0148186833583549	C3
C8B	94.8954656576538	1.51454223087952	0.222890579789234	6.7950033254509	1.08310030386068e-11	7.54773216294915e-09	C8B
C9orf16	3487.91741916711	1.12867618249405	0.132692604062586	8.50594643512837	1.80120114892195e-17	2.76142148141224e-14	C9orf16
CARD11	863.373110440444	0.639355535551225	0.126172834282394	5.06729946416396	4.03499228499018e-07	9.23290548077379e-05	CARD11
