	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ERRFI1	1426.83037044813	0.383315658510668	0.103914303408954	3.68876705069302	0.000225343420754085	0.011212065223022	ERRFI1
EPHA2	1627.34312408338	0.48928676998773	0.118975332406719	4.1125060135583	3.91387272423364e-05	0.00238474148769616	EPHA2
PADI3	265.399011793761	-0.659339032404776	0.155299491328856	-4.24559685780674	2.18012305974626e-05	0.00145265041770461	PADI3
CDA	575.811602936952	0.482836407650888	0.130423436100405	3.70206783448935	0.000213849420943787	0.0107814172665199	CDA
IFI6	124.353488581439	2.34257036756606	0.567668625003844	4.1266511207136	3.68084154776132e-05	0.00227932111930394	IFI6
PTAFR	1128.2314792629	0.402093475433711	0.0970640938677122	4.1425563193504	3.43455989556675e-05	0.00217407641389375	PTAFR
GJB3	872.334008360887	0.370302241872875	0.107543267255874	3.44328614260739	0.000574690911058086	0.0241511093541498	GJB3
ZC3H12A	533.270311453808	1.67391174477361	0.142202516670322	11.7713229271065	5.4857427566381e-32	3.28971331416497e-29	ZC3H12A
MFSD2A	299.862819507286	0.496720059347661	0.147022798706119	3.37852403653766	0.000728760612998304	0.0288458212270017	MFSD2A
CTPS1	790.113629340494	0.341601746311872	0.10501160361866	3.25299047477045	0.00114197325147441	0.0410461931460549	CTPS1
ELOVL1	1023.45673265635	0.323149559309811	0.10093961530252	3.20141461151125	0.00136754600458895	0.0465508943261767	ELOVL1
HYI	228.547416486512	0.515530975919601	0.152183587802853	3.38755961377023	0.000705173906435404	0.0283913480209364	HYI
PDZK1IP1	81.1792263117608	2.41065539722775	0.273374186007018	8.81815299549119	1.16363186717932e-18	3.39959525503619e-16	PDZK1IP1
SCP2	1256.04042333531	-0.381250171163979	0.111515422479347	-3.41881116250613	0.000628953592008442	0.0260592626448879	SCP2
EFCAB7	98.4513328624543	-0.736166372754028	0.21809436437538	-3.37544885610594	0.000736953881256917	0.0290548530209042	EFCAB7
IFI44L	81.5264400680544	2.30107267630472	0.641978036761192	3.58434797538205	0.000337921319609945	0.0159762469528453	IFI44L
