	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ISG15	235.636649606257	3.78784596152184	0.188919169884418	20.0500878965288	2.01488841150106e-89	7.43090846161589e-86	ISG15
KLHL21	264.700951247218	-0.545973381814747	0.128259862778925	-4.25677503457036	2.07396857937507e-05	0.00260754413206884	KLHL21
RAP1GAP	526.697653920923	-0.661440491676771	0.108183742338551	-6.11404705900127	9.71356407708865e-10	2.55883030830735e-07	RAP1GAP
IFI6	635.274422775447	4.30966410142269	0.142142221630688	30.3193804907595	6.36687487727324e-202	7.04431036421511e-198	IFI6
ADAR	3178.53862603093	0.582752078584243	0.0718083256097892	8.11538319039708	4.8425431451532e-16	2.143115894319e-13	ADAR
PTGS2	744.632925165174	0.638843477877898	0.123239942673382	5.18373722041561	2.1748330043664e-07	4.56162546385999e-05	PTGS2
PLA2G4A	693.633420540714	0.567468277521994	0.132697521463443	4.27640449696211	1.89935982154016e-05	0.00241546173166901	PLA2G4A
CFH	241.499394004643	0.785046178535717	0.175312654134554	4.47797783001555	7.53534247811553e-06	0.00106111638769459	CFH
VIM	13351.4590241798	-0.227480534406368	0.0656709655672142	-3.4639438059357	0.000532317698889532	0.0368097688782111	VIM
MASTL	441.430234348697	0.423975605837302	0.122949420137066	3.44837417992413	0.00056397215547081	0.037363999569635	MASTL
DKK1	2850.51454256834	0.500369661311709	0.0806243398005081	6.20618615358331	5.42858711586226e-10	1.5015471962475e-07	DKK1
P4HA1	755.498965169712	0.414015059170627	0.121279134685445	3.41373691562391	0.000640784191304844	0.0409805566046057	P4HA1
IFIT2	27.8305008881916	1.21549495447285	0.363478445727397	3.34406336540916	0.000825608778149014	0.0486001254511036	IFIT2
IFIT3	103.264899282916	1.98444066622608	0.206477081126427	9.61094885398442	7.18834723823797e-22	4.41843743577027e-19	IFIT3
IFIT1	286.277272458886	4.32326919139887	0.202219105947028	21.3791331494234	2.08975022180043e-101	1.1560498227e-97	IFIT1
IFIT5	237.519907630062	0.927992411368977	0.145477831185623	6.37892662961757	1.78333442455433e-10	5.19231896664977e-08	IFIT5
SMC3	1121.16768218111	0.43482410736907	0.117132209089024	3.7122505479137	0.000205424485066826	0.0184781829494257	SMC3
IFITM2	195.381988813077	0.523018933536854	0.150664067728992	3.47142448375705	0.000517704920557992	0.0360244480569411	IFITM2
IFITM3	69.0039484769691	0.866775475235986	0.2258709070202	3.83748171320917	0.000124302487700134	0.0122793100349489	IFITM3
IRF7	173.332536917702	3.22696548319437	0.204917485169391	15.7476336415454	7.129980529334e-56	8.76512273072793e-53	IRF7
TRIM21	274.805817545808	0.458398309497915	0.134201703929574	3.41574135108203	0.000636086334101231	0.0409166232586978	TRIM21
NUCB2	329.209220870282	0.594604644359004	0.144213628938775	4.12308218532826	3.73836239822739e-05	0.00425014318464434	NUCB2
NAV2	286.702903829476	-0.4657418614256	0.125002098834449	-3.72587233149118	0.000194640907547919	0.0176516967304113	NAV2
EHF	116.559548201403	0.756689899213863	0.18842868572162	4.0157892961785	5.92471717349457e-05	0.00649020503044989	EHF
UBE2L6	274.39015143159	0.760026518745886	0.128803921515277	5.90064735455853	3.62078071943729e-09	9.31635299531492e-07	UBE2L6
ALDH3B1	2655.91460467463	-0.313965394421939	0.0833043330523846	-3.76889632168962	0.000163970973706812	0.0152451668327073	ALDH3B1
RDX	1476.15851543712	0.400092482154985	0.105873096460958	3.77898158766447	0.000157471066015289	0.0147649141897725	RDX
C1S	933.21619740921	0.717725239730436	0.091860529331104	7.8132060086814	5.57513608746166e-15	2.20297520255985e-12	C1S
C1R	680.389869129253	0.868039950007737	0.100962501721182	8.59764699972391	8.13671227559474e-18	4.09202657350819e-15	C1R
