	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
SLC35E2B	218.213309763635	1.27072644997687	0.350240238238098	3.62815665147252	0.000285452049945257	0.0320044906916229	SLC35E2B
SLC39A1	904.186265536026	1.18806666517643	0.292775266636631	4.05794751320629	4.95058901825446e-05	0.00984049339693031	SLC39A1
HSPA6	36.0662474395431	-4.83590731743496	0.97953022009563	-4.93696592327988	7.93473288589516e-07	0.000697370500220706	HSPA6
RGS2	173.665702655677	-1.54692810421081	0.382241316941902	-4.04699344536302	5.18796934401014e-05	0.00993619131018445	RGS2
PHLDA3	551.205424136466	1.61195704228312	0.424101799587972	3.80087291270442	0.000144187243955371	0.0201927681193863	PHLDA3
UBE2T	850.035758840579	-1.00944182209131	0.281559366767347	-3.58518288232057	0.000336842078984356	0.0357865670810621	UBE2T
SRP9	1271.31320238842	-1.24544223456647	0.274280082148112	-4.5407680529056	5.60496675727496e-06	0.00255835593765395	SRP9
OPN3	235.527616315201	1.85000513187564	0.392990147814851	4.70751020645747	2.50760729441497e-06	0.00162539080646227	OPN3
IDI1	1869.60688082972	-1.05539161664868	0.25284329967514	-4.17409366989231	2.9917465506713e-05	0.00750037123793709	IDI1
GPRIN2	204.786420861506	2.17607978039393	0.442437186962672	4.91839258660129	8.72577763535218e-07	0.000697370500220706	GPRIN2
TYSND1	316.368665708106	1.4858150833965	0.352335744782781	4.21704327590299	2.47526485639271e-05	0.00706000947853374	TYSND1
IFIT2	258.043168429224	-1.98924249801326	0.405045172357178	-4.91116209690089	9.05382019111595e-07	0.000697370500220706	IFIT2
POLR2L	1635.46210029112	0.925187575738033	0.253796420438662	3.64539253208905	0.00026698396999262	0.0310406645866892	POLR2L
FKBP2	329.071575818939	1.42004931297635	0.344108139531838	4.1267530460289	3.67921121500347e-05	0.00809689268101836	FKBP2
ESRRA	232.072834515487	1.69887889777548	0.485735302943512	3.49754050710424	0.000469569396946332	0.0455667184879259	ESRRA
PYGM	30.5584791070916	-4.58524080907932	0.958185002611245	-4.78533977946182	1.70698309976177e-06	0.0011981426183899	PYGM
NEAT1	1881.12019089029	1.37175590111222	0.250555912261159	5.4748494606761	4.37883698280783e-08	8.99413116268729e-05	NEAT1
C11orf68	171.447234706355	1.60712100852154	0.431415327591921	3.72522927614136	0.000195137778606754	0.0253145050899962	C11orf68
ZDHHC24	91.1346859882438	3.18560622614582	0.632231241798198	5.03867258613365	4.68771603485839e-07	0.00048632092318105	ZDHHC24
NDUFC2	125.710112734799	-2.01672280485332	0.477248041520739	-4.22573301385812	2.38164234301216e-05	0.00706000947853374	NDUFC2
BCL9L	728.513844125769	1.27895407373018	0.338451221284234	3.77884313395963	0.000157558633577094	0.0213379406615835	BCL9L
DNAJC22	172.090757974839	1.69476636134443	0.453098223805035	3.74039506734787	0.000183731239116776	0.0246119977269037	DNAJC22
DDIT3	136.649826040523	-1.80903421846372	0.429309229007385	-4.21382559756852	2.51081192472796e-05	0.00706000947853374	DDIT3
MRPL42	498.889424639579	-1.29692747182927	0.337007042104087	-3.84836905404696	0.000118906827867609	0.0180914536622274	MRPL42
HSP90B1	9252.14626880601	-1.00912334493372	0.264632925769186	-3.81329474403302	0.000137126414316824	0.0196505340702388	HSP90B1
SDSL	75.6687110668714	1.95143403620753	0.513806750829509	3.79799220827103	0.000145872907936548	0.0201993001956182	SDSL
CDK2AP1	1064.35588264902	-1.03541831233476	0.267388156359212	-3.87234171637642	0.000107794678445478	0.0171586899244065	CDK2AP1
