	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
LINC00115	88.4559323641134	3.21449834168216	0.394828814321199	8.14149885997712	3.90414217355161e-16	1.48239027013848e-14	LINC00115
SAMD11	258.592847319001	1.3128148734706	0.200449786915405	6.54934531820998	5.77898632237162e-11	1.26932307009636e-09	SAMD11
NOC2L	834.615404080865	-0.439667944275954	0.130327324829165	-3.37356686214712	0.000742010235128481	0.00439772064376932	NOC2L
HES4	115.945180040835	1.68835797150613	0.409334689400879	4.12463936046389	3.71316110626292e-05	0.000310289725880459	HES4
PRKCZ	161.473849638474	-0.771809783970101	0.249994072810782	-3.08731233221788	0.00201975258631675	0.0103235173547228	PRKCZ
SKI	210.321822467803	0.951580954881562	0.212456960743581	4.47893517609924	7.50163083437701e-06	7.33756639022948e-05	SKI
RER1	639.20460382619	-0.389426966210181	0.151884685737382	-2.56396465726323	0.0103484081476865	0.0405107152952807	RER1
TPRG1L	367.259672535229	-0.544526350067166	0.18057650148416	-3.01548842508133	0.00256565731422635	0.012624928282382	TPRG1L
WRAP73	152.746250836648	0.714839046327527	0.283612671508475	2.52047640370034	0.0117196095663077	0.0449336094359947	WRAP73
ACOT7	321.271820486984	-0.839236595104432	0.263533745951036	-3.18455077574908	0.00144978874085988	0.00779103862479484	ACOT7
ZBTB48	103.967537686978	1.50055299417956	0.309575645938111	4.84712868685911	1.25261180213792e-06	1.42039283251603e-05	ZBTB48
KLHL21	325.684731661874	-0.538530867792011	0.180008112671063	-2.99170331715046	0.00277425732384078	0.0135289822722164	KLHL21
DNAJC11	619.813271737738	-0.431146053854931	0.138050068658103	-3.12311365032866	0.00178948633516788	0.00935763700497787	DNAJC11
PER3	105.761831926115	2.50315583879403	0.331477313185985	7.5515148072579	4.30224620287036e-14	1.31741755347354e-12	PER3
PARK7	1252.81763842475	-0.567642788624889	0.12195670490941	-4.65446150784853	3.24828509880451e-06	3.41295859376709e-05	PARK7
ENO1	16055.2108700336	-0.703899072765578	0.0731283959235198	-9.62552321675072	6.2388598370866e-22	3.98232574389809e-20	ENO1
CLSTN1	1452.81484585001	-0.531212780081495	0.112236559398888	-4.73297455772473	2.21253231412163e-06	2.40845391055225e-05	CLSTN1
PGD	8981.41448978943	-0.477832988604705	0.0757661214219648	-6.30668403815349	2.85076956904919e-10	5.75060282801079e-09	PGD
TARDBP	1887.06807005855	0.356101038355959	0.0945080866827691	3.76794252063601	0.000164598588800449	0.00116921756182388	TARDBP
CLCN6	196.950581836298	0.560679441359758	0.22458498615005	2.49651346232537	0.0125420907960853	0.0474595787541262	CLCN6
PLOD1	739.060739664879	-1.02538498534052	0.143423153090721	-7.14936858689704	8.71779599623231e-13	2.35172925326933e-11	PLOD1
DHRS3	1306.46696944879	0.367296854129196	0.106949063028742	3.43431577357987	0.000594051723037019	0.00361536581307579	DHRS3
EFHD2	1475.19277692021	-0.510038481771861	0.124523895839311	-4.09590848675365	4.20516032295275e-05	0.000345876344530342	EFHD2
PLEKHM2	487.741427254893	0.69411500276212	0.18203461278533	3.81309352183848	0.000137238151434013	0.00098933717226768	PLEKHM2
FBLIM1	403.392248994564	-0.43731317704048	0.169026934864523	-2.58723958634753	0.00967482953351658	0.0383943322643583	FBLIM1
SPEN	781.222202969762	0.52080543034562	0.121146424308551	4.29897484237064	1.71589946296697e-05	0.000154416761047336	SPEN
ZBTB17	267.891671171346	0.744097932734145	0.230562028762467	3.22732210818955	0.00124954710606988	0.00688923051667726	ZBTB17
EPHA2	2341.5115587898	0.359448411134114	0.0887332841540022	4.05088591683668	5.10240814856475e-05	0.000412439602781726	EPHA2
NECAP2	499.414839798083	-0.438276446617717	0.157885051633523	-2.77592110261982	0.00550455644287132	0.0241887360689329	NECAP2
ATP13A2	161.103079365748	-0.886819212236526	0.310403119903929	-2.85699194167571	0.00427676695797069	0.0195583328491656	ATP13A2
SDHB	534.098692954508	-0.464476436208966	0.172397672703813	-2.69421523460446	0.00705545871997962	0.029698457200261	SDHB
RCC2	1371.28028612885	-0.496558735536754	0.100135708051568	-4.95885778608603	7.090884960789e-07	8.43461696648182e-06	RCC2
ALDH4A1	743.668453919693	-0.804115726521723	0.12905291063184	-6.23089957897728	4.63764329399757e-10	9.03343814114483e-09	ALDH4A1
UBR4	2173.37981013379	0.250522028095158	0.0957617142981338	2.61609798792042	0.00889410294366938	0.0359038668711784	UBR4
EMC1	624.840458255132	-0.616697147982887	0.132150396436509	-4.66663108558418	3.06178339380078e-06	3.23701454293276e-05	EMC1
MRTO4	512.102345810586	-0.441869867538277	0.170544358716334	-2.59093804605545	0.00957147210450036	0.0380928546462226	MRTO4
