	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
WASH7P	52.1605720325968	1.5723471541742	0.310895696486896	5.05747481210461	4.24844521063067e-07	2.20754482533778e-05	WASH7P
LOC729737	54.0549997219783	1.07878568092509	0.310255777196467	3.47708490933904	0.000506897262764551	0.00581305791669937	LOC729737
KLHL17	205.403795763248	0.558779540128199	0.199136835545722	2.80600793216834	0.00501594575496414	0.0309166753062296	KLHL17
HES4	172.879961039341	1.1373708890536	0.333924846290661	3.40606846626678	0.000659056490535939	0.00715989571484991	HES4
ISG15	460.211141538591	-2.59561434212843	0.5429649635589	-4.78044536265343	1.74907290249585e-06	7.46753864040107e-05	ISG15
C1orf159	165.37275505863	0.614899871080745	0.170025120157345	3.61652366727753	0.000298586028899803	0.00385630472392174	C1orf159
B3GALT6	189.14820227281	0.662954195319432	0.216965038786888	3.05558074713878	0.0022462510923537	0.0173964426020183	B3GALT6
UBE2J2	428.195874984042	0.472381344981932	0.146897326650691	3.2157245863651	0.00130115639035972	0.0118581254718983	UBE2J2
ACAP3	608.760795973182	0.506134781739489	0.16427220273145	3.08107381117249	0.00206255512520211	0.0164293606705047	ACAP3
PUSL1	195.553850734396	0.852587436744574	0.141460530110493	6.02703408561122	1.66995794491037e-09	2.15264002014119e-07	PUSL1
DVL1	1333.52336344218	0.394601592933558	0.148641954965813	2.65471207657565	0.00793761269360855	0.0431165460982643	DVL1
AURKAIP1	962.161586691532	0.647066610749297	0.137732695829069	4.69798842500206	2.62736317811468e-06	0.000103291585823476	AURKAIP1
CCNL2	1047.22055324327	0.4156712255075	0.112550865452183	3.69318551072446	0.000221462344622985	0.0030639052549182	CCNL2
SSU72	1044.13484329868	0.302614018257007	0.112283891097156	2.69507954614045	0.00703718288232109	0.0395557541804598	SSU72
MIB2	296.253808554756	0.871444761044035	0.171121561817813	5.09254796290271	3.53283303213269e-07	1.93310855627636e-05	MIB2
GNB1	4627.30659930431	-0.494413768212167	0.122590005726138	-4.03306750239225	5.50534569683086e-05	0.00107311490252159	GNB1
PLCH2	1357.85718295581	0.401320387218294	0.100418819435735	3.99646589626687	6.42951391933424e-05	0.00120214184552643	PLCH2
ARHGEF16	232.485164096691	0.817104136797292	0.151517593665138	5.39280038068145	6.93680019101067e-08	5.08167996506498e-06	ARHGEF16
CEP104	383.336678389936	-0.438091875892305	0.15576948794551	-2.81243702903842	0.00491676496010694	0.0304734863870521	CEP104
RPL22	2579.15215925852	0.529908085969969	0.10718451042394	4.9438867973932	7.6580182493923e-07	3.7468391478596e-05	RPL22
GPR153	767.951707284143	0.632868648160271	0.139606097470765	4.53324503460748	5.80843676783471e-06	0.000193220603745886	GPR153
HES2	2175.9511884367	0.53389372310913	0.180111694274042	2.9642368601386	0.00303434630925153	0.0216951715316406	HES2
