	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
HES4	673.737909544346	-2.26758555112591	0.275794650178327	-8.22200702464572	2.00125463411917e-16	1.07387323666835e-14	HES4
ISG15	9687.48565580307	-7.23896726939329	0.287982340717024	-25.136844333474	1.96826799571572e-139	2.4003922875024e-136	ISG15
AGRN	6343.65317609868	-0.5850912608978	0.185604403701291	-3.15235656713963	0.00161958368255842	0.0151453990577013	AGRN
RNF223	46.2026544599142	-1.47832971807007	0.400595559160839	-3.69032977092121	0.000223963522854495	0.00281777606607699	RNF223
SCNN1D	29.615878783185	-1.98426657721804	0.528090296050202	-3.75743805947423	0.000171661839259345	0.00223794322027611	SCNN1D
ANKRD65	130.038683618911	0.812016674127915	0.223618998518068	3.63125083069499	0.000282050888974648	0.00342417436705421	ANKRD65
NADK	724.454138598466	-0.793847448322407	0.146505672714985	-5.41854409874473	6.00863195332352e-08	1.55309822069046e-06	NADK
TNFRSF14	73.8153942335524	-0.852390536655746	0.285400791728046	-2.9866439104625	0.00282058048902986	0.0240853515342683	TNFRSF14
KLHL21	1021.60982388209	-0.853748669832628	0.197641336322943	-4.31968679081189	1.56250805849167e-05	0.000262340996303701	KLHL21
THAP3	136.718083926715	-1.22286059624333	0.223781601669737	-5.46452696342777	4.64142830546192e-08	1.22087766113278e-06	THAP3
TNFRSF9	11.7026117618402	-3.14189694640818	0.848312642471915	-3.70370166505234	0.000212476123279765	0.00269410887882613	TNFRSF9
ERRFI1	1840.96046391197	-1.25554647967935	0.269289942035905	-4.66243362149762	3.12491894108162e-06	6.13774342527232e-05	ERRFI1
SPSB1	392.135354649335	-1.32158673164553	0.185731491090985	-7.11557702941242	1.11445581973405e-12	4.65745321549291e-11	SPSB1
SLC25A33	64.1157244569848	-0.748885387174107	0.261896507855468	-2.85947068674696	0.00424348634443149	0.0332919345331139	SLC25A33
FBXO6	303.043174614743	-1.47427948701677	0.193532824987981	-7.61772318007721	2.58189253064657e-14	1.22389004588777e-12	FBXO6
TMEM51	236.768273281899	-0.507794044071309	0.18456550890445	-2.75129436201536	0.00593602759977683	0.0434197438664156	TMEM51
NECAP2	749.211476170762	-0.470902435231956	0.165905127833147	-2.83838384854234	0.00453426185930907	0.0349179809659192	NECAP2
NBPF1	131.793770874189	0.760233666480879	0.27234313019569	2.79145527164434	0.00524716092767825	0.0395675457250161	NBPF1
PADI1	210.096865668873	1.30509782324171	0.309511846067279	4.21663286825544	2.47977202077685e-05	0.000402737792478468	PADI1
PADI3	43.7273434195396	1.41085951343362	0.347067733135705	4.06508407072797	4.80151510396619e-05	0.000722111268158144	PADI3
NBL1	8.68082433141636	-2.19525779894769	0.777028904875957	-2.82519451357879	0.00472519214478657	0.0360776622779236	NBL1
SH2D5	595.445633444656	-0.818043554834159	0.194837691338015	-4.19858985813465	2.68582273996333e-05	0.000434623788378867	SH2D5
ALPL	6.08340703657246	-3.99337590156555	1.23292251218409	-3.23895124154347	0.00119970080665947	0.0117606983969848	ALPL
WNT4	25.1467499747888	-2.37401542190724	0.510385840425091	-4.65141317386463	3.29668072579203e-06	6.41871871357041e-05	WNT4
E2F2	7.24589212893609	2.21475579229318	0.805192124243254	2.75059296484634	0.00594875093292843	0.0434890974197466	E2F2
IL22RA1	97.8185669875924	-2.19299468511138	0.312938050281091	-7.00775978869162	2.42164096293532e-12	9.72644117298721e-11	IL22RA1
CLIC4	1590.36355576826	-1.35662263302267	0.285383824045657	-4.75367739415262	1.9974968051935e-06	4.05392127710603e-05	CLIC4
RUNX3	44.9973800776598	-0.990411481719366	0.307647950565907	-3.21930141220685	0.00128503334346955	0.01250995812964	RUNX3
TMEM50A	1231.2860018403	-0.465480917466329	0.139591248017248	-3.3345995832691	0.000854223077399151	0.00879352597171162	TMEM50A
AUNIP	57.3953616404019	0.902534999053564	0.288993865557925	3.12302476494146	0.00179002685484774	0.0164925894627626	AUNIP
STMN1	478.755255253233	0.867992882112423	0.236222463661652	3.67447222697531	0.000238341566664109	0.00297982489916032	STMN1
HMGN2	513.289650024808	0.82613964653254	0.25349806838377	3.25895834946501	0.0011182208330239	0.0111118018333449	HMGN2
AHDC1	370.921927566525	0.644340095056995	0.227714245824613	2.82959940746645	0.00466063189037232	0.0357066686518245	AHDC1
IFI6	2953.86098011011	-7.00564768747272	0.307483284567284	-22.7838326149392	6.63269781042337e-115	5.2339788898135e-112	IFI6
FAM76A	104.526158382448	-0.644685288677581	0.221611112548039	-2.90908376058007	0.00362489727180759	0.0294358334753625	FAM76A
STX12	539.087947011802	-0.787608149228208	0.236618124110822	-3.32860448534079	0.00087282258517542	0.00894493123004451	STX12
THEMIS2	384.650418975081	-3.99442159859024	0.20313853263748	-19.6635347648133	4.42774866620876e-86	1.97994161190635e-83	THEMIS2
PTAFR	518.609981998441	-0.693267054300226	0.223796405950038	-3.09775776495265	0.00194990740002097	0.0176982461240063	PTAFR
SESN2	433.532461272625	-0.989590514267235	0.224235408885189	-4.41317684475924	1.01864721640216e-05	0.000179879913067559	SESN2
PHACTR4	581.423075013436	-1.21404495640754	0.214235409875808	-5.66687345061824	1.45426666655961e-08	3.98956796153316e-07	PHACTR4
SDC3	322.822870555473	0.650393421783544	0.226921046553896	2.86616614748015	0.00415476127184421	0.0327666798717167	SDC3
ZCCHC17	402.062114060617	0.59627032111788	0.206273922067114	2.89067234065523	0.00384418689543234	0.0308771442665931	ZCCHC17
MARCKSL1	2037.4293227866	-2.12964553806004	0.260484999510451	-8.1756935795245	2.94168726672213e-16	1.56598153504275e-14	MARCKSL1
RNF19B	677.499783126762	-2.55857174957565	0.186173671988354	-13.7429300408046	5.61562954488124e-43	9.41670879307273e-41	RNF19B
ZNF362	47.6365713190765	1.21971079910026	0.428556182367694	2.84609311283664	0.00442592511003568	0.0342606955286374	ZNF362
CLSPN	78.0164866645828	1.37097131923378	0.410674815310211	3.33833794555478	0.000842811760855195	0.0087038643355446	CLSPN
ADPRHL2	721.305769418098	-0.978019437398953	0.165487158076953	-5.90994158558313	3.42229068469606e-09	1.01570861803535e-07	ADPRHL2
STK40	250.332678567295	-0.957529861490908	0.230671130474997	-4.15106068765159	3.30937992260727e-05	0.00052046109802786	STK40
ZC3H12A	745.790510759977	-1.89703684349465	0.266751312097508	-7.11163078666021	1.14679713725955e-12	4.77772782494932e-11	ZC3H12A
CDCA8	125.862467147312	1.66247151344166	0.344712237571196	4.82278066237289	1.41570620994594e-06	2.92179981637305e-05	CDCA8
FHL3	310.893521165531	-1.21799493170575	0.220385363291723	-5.52665981766447	3.26384943893915e-08	8.68740877447791e-07	FHL3
POU3F1	23.5920906851511	-4.99610708397564	0.705394506038859	-7.0827133486356	1.41358888706472e-12	5.79917275840159e-11	POU3F1
RRAGC	591.890303803099	-0.895701784969752	0.217406884069898	-4.1199329487735	3.78982670350349e-05	0.000585046320224388	RRAGC
KCNQ4	22.8541229971339	-5.5483750265239	0.927082103011127	-5.98477201587971	2.16693165367643e-09	6.63684660595189e-08	KCNQ4
EDN2	18.2703405302232	-4.88449004735081	1.34136795527921	-3.64142443400929	0.0002711337121389	0.0033005977752662	EDN2
SLC2A1	4765.59588457301	0.707287275923714	0.18844520230443	3.75327823300644	0.000174536944644022	0.00227101174820519	SLC2A1
CDC20	330.853564754606	1.08231159454233	0.343823609012256	3.14786875064113	0.00164465520938757	0.0153535488057997	CDC20
KIF2C	83.8756232377714	1.84109235794565	0.478313252084096	3.84913516387783	0.000118535589852223	0.00161273320270545	KIF2C
PLK3	468.474308130065	-0.902452765415127	0.202385498487171	-4.45907820550854	8.23128857886428e-06	0.000147426884226254	PLK3
MUTYH	60.3491935083837	0.890485496586325	0.260738911437664	3.41523822308055	0.000637262509669227	0.0068555545847736	MUTYH
TESK2	33.8083654435892	-1.86537116186964	0.397677593833855	-4.69066196032399	2.72322567474914e-06	5.40415272585202e-05	TESK2
TMEM69	345.609511620387	0.629962107105804	0.177995403001569	3.53920436417254	0.000401335023107105	0.00461346129818493	TMEM69
PIK3R3	14.0587341194512	-1.96768982428052	0.684328695377089	-2.87535775947003	0.0040356993572776	0.0320728121314449	PIK3R3
RAD54L	54.8179426252252	1.45039095582929	0.456522384417406	3.17704236492197	0.00148785300024862	0.0141256532189209	RAD54L
MOB3C	321.278716109263	-2.0635594307038	0.221174797790202	-9.32999352241393	1.05877378230184e-20	7.39763035915585e-19	MOB3C
