	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
HES4	339.435302982721	-1.21882236538489	0.253101360844852	-4.81555042342113	1.46794688641511e-06	3.40172225145261e-05	HES4
ISG15	1228.69976023496	-4.7282391356532	0.180733168475685	-26.1614355324563	7.30428337008445e-151	1.26948444972068e-147	ISG15
C1orf159	172.372557095858	0.709262985559116	0.202297775443678	3.50603452758472	0.000454836213634566	0.00514747662797965	C1orf159
ACAP3	610.250612611269	0.765561274143689	0.132950696597029	5.75823439619944	8.499827558569e-09	2.81002451297691e-07	ACAP3
AURKAIP1	1071.6135206585	0.384978237647363	0.137643259162484	2.79692765188673	0.00515910843672214	0.0347925239696017	AURKAIP1
CCNL2	1083.28440398113	0.42884943500878	0.131927638017405	3.25064134743475	0.00115145014599724	0.0109100798101265	CCNL2
ANKRD65	145.115552467118	0.760657195011804	0.218748318437739	3.4773167649666	0.000506459088803364	0.00560487387996259	ANKRD65
CDK11B	213.497659666362	0.595787850316867	0.207521518235834	2.87096902230541	0.00409215624723679	0.0293280758907217	CDK11B
PLCH2	1366.30458156866	0.558586446739672	0.109849407105915	5.08502013307266	3.67587074676853e-07	9.6173426892873e-06	PLCH2
PANK4	240.375077427658	0.493673059252939	0.173075269895295	2.85236047617661	0.00433958582932683	0.03051757294774	PANK4
HES5	26.8773912624543	2.32618740564174	0.576319074323273	4.03628390813405	5.43044964461513e-05	0.000865882704801935	HES5
ARHGEF16	267.057992812878	0.455857987655654	0.157708596272742	2.89050818046273	0.00384619520902852	0.0280532439526625	ARHGEF16
WRAP73	169.60619884481	0.662201965308954	0.21499719710015	3.08004929478447	0.0020696633692324	0.0173532216058452	WRAP73
NPHP4	105.299391595019	0.705749741541122	0.246600307466941	2.86191752472058	0.00421086467079231	0.0298539508070275	NPHP4
ACOT7	1691.57519610076	0.34047912491568	0.121036019129877	2.81303968325603	0.00490755943538263	0.0335834913125367	ACOT7
HES2	2208.064475947	0.737759525325502	0.161438205485474	4.56991901704387	4.87912716616471e-06	0.000100780069785331	HES2
KLHL21	916.587099576074	-0.788456402180411	0.189148186160911	-4.16845869994047	3.06666312251988e-05	0.000526220360346641	KLHL21
SPSB1	336.764878694439	-1.2910542307741	0.19892701944047	-6.49008985509109	8.57851950751475e-11	3.8514655645801e-09	SPSB1
PIK3CD	338.500726342945	-0.640064242963823	0.168218487037957	-3.80495779170454	0.000141828373685216	0.00191343404212734	PIK3CD
CTNNBIP1	694.07876421976	0.344223768969148	0.128289550879385	2.68317853332248	0.00729260478827409	0.0446736303394474	CTNNBIP1
SRM	1083.76529783523	0.672806562292903	0.146943711848704	4.57866861962515	4.67944856685616e-06	9.71504629084847e-05	SRM
MIIP	223.91435303745	0.547551568239727	0.194582666090064	2.81397916495959	0.00489323997316884	0.0335409701812906	MIIP
EFHD2	1391.66619499779	-0.492171456649726	0.12074278579338	-4.07619762469246	4.5778116687538e-05	0.000744567603770839	EFHD2
EPHA2	3073.22196232587	-0.522420258716854	0.0982415513302837	-5.31771181992536	1.05080321946036e-07	2.99392786134771e-06	EPHA2
ATP13A2	1166.81348267691	0.550101597257955	0.204747084865279	2.68673714021332	0.00721537099828721	0.0443904382837627	ATP13A2
PADI1	229.605095060203	1.90912351200038	0.317737787155738	6.00848746726065	1.87262088572863e-09	6.82104960951332e-08	PADI1
ARHGEF10L	213.397205254271	1.06899177533388	0.178155064738533	6.00034457006749	1.96899248073347e-09	7.10823813667757e-08	ARHGEF10L
IFFO2	665.248995528373	-1.25177828799788	0.276237936569295	-4.53152200434231	5.85602359400159e-06	0.000118543066629989	IFFO2
PQLC2	161.123023600939	1.02163501979109	0.252064343817146	4.05307233986339	5.05493631096627e-05	0.000813470306338831	PQLC2
SH2D5	543.197242301367	-0.785638965348056	0.203405825383707	-3.8624211664834	0.000112268799425755	0.00157357397904808	SH2D5
HP1BP3	864.723109648749	-0.3240067590181	0.116587614363695	-2.77908387427295	0.0054512447632592	0.0362601660961244	HP1BP3
RAP1GAP	52.2750967443305	1.58133786079589	0.347728690997539	4.54761974417315	5.4256051232625e-06	0.000111124430857932	RAP1GAP
WNT4	14.5388402678132	-1.72009847751821	0.540608878434627	-3.18177992655037	0.00146372996009541	0.013269551933324	WNT4
ZBTB40	231.210029653786	0.557291896846522	0.170489722311	3.26877121560404	0.00108015601700964	0.0104087901509842	ZBTB40
KDM1A	1052.67389764985	0.402793111414503	0.119781079513113	3.36274404147784	0.000771718811424848	0.00794981461455944	KDM1A
LUZP1	1126.17413647962	-0.781852236528173	0.213239003747943	-3.66655359847935	0.000245841409110439	0.00306131687127697	LUZP1
ZNF436	181.121414140267	0.777662009435653	0.207371207089082	3.7500963627105	0.000176766628526866	0.0023049762086365	ZNF436
E2F2	8.40398036579709	3.53380850621372	1.22323717391871	2.88889888368333	0.00386593366412745	0.0281129402018975	E2F2
ID3	633.634018626123	2.21053174881826	0.176740738137894	12.5071999365172	6.81856366788262e-36	1.15214785532583e-33	ID3
GRHL3	431.017159288621	1.31707507132116	0.187096119738097	7.03956379835586	1.92842571746261e-12	1.04033338380225e-10	GRHL3
RCAN3	188.127598649371	-0.610423803930366	0.170676879980089	-3.57648794612122	0.000348241366395429	0.00411330530443378	RCAN3
CLIC4	1084.9542319008	-0.666864253134247	0.233038697682804	-2.86160307178654	0.00421504423542518	0.0298661783157733	CLIC4
AUNIP	65.1579676794439	0.790113182076466	0.293392779960032	2.69302190116642	0.00708076175632983	0.0437726359387747	AUNIP
SH3BGRL3	6771.86251648385	0.580705665383811	0.202702487635261	2.86481765546322	0.00417249431062832	0.0296510314153646	SH3BGRL3
RPS6KA1	950.447213853489	-0.379965307060082	0.123912346910378	-3.0664039261148	0.00216650420024172	0.0179060394702043	RPS6KA1
TRNP1	830.073139336545	-0.412587061122752	0.135998032756432	-3.033772274204	0.00241516663438778	0.0195307527156624	TRNP1
SYTL1	413.225849687161	0.669169123394634	0.173448596416921	3.85802558924227	0.000114306682819081	0.00159661894739029	SYTL1
AHDC1	393.323550976615	0.801336580844992	0.243012724738889	3.29750872801418	0.000975466428545258	0.00958604569441164	AHDC1
IFI6	731.975973809063	-5.50621799542151	0.345902853042099	-15.9183942745663	4.72343972256359e-57	1.30603108328883e-54	IFI6
THEMIS2	122.616201053093	-2.58045748773569	0.2285643572291	-11.2898507843425	1.47286502505631e-29	2.01335684211629e-27	THEMIS2
PTAFR	549.959043671261	-1.0760155044415	0.234886396467956	-4.58100392624608	4.62749154892392e-06	9.62360037336896e-05	PTAFR
PHACTR4	438.806646532906	-0.770966452426982	0.167048464514835	-4.61522621393815	3.92667377226373e-06	8.25076219574449e-05	PHACTR4
TINAGL1	4194.71198833162	-0.418800899909089	0.111855770915679	-3.74411526987548	0.000181030534625352	0.00234299732367237	TINAGL1
COL16A1	1052.89520301945	0.335675999960047	0.122819402443901	2.73308608640537	0.00627439306456178	0.0401547953831976	COL16A1
SPOCD1	112.540128477427	-2.39891138714426	0.374106288399658	-6.41237921288695	1.43265926847937e-10	6.13722980997184e-09	SPOCD1
PTP4A2	1169.102408228	-0.62856915883294	0.12655356844723	-4.96682287623552	6.80586963698693e-07	1.70722082481614e-05	PTP4A2
KHDRBS1	1651.71909021468	-0.536518017000381	0.146489043954249	-3.66251292600384	0.000249753146024733	0.00310367392700398	KHDRBS1
TMEM54	621.619888551822	0.379088060762151	0.134124517965341	2.8263889892235	0.00470760581069255	0.0325413251664122	TMEM54
RNF19B	265.882208947552	-0.999860579833035	0.167538857594441	-5.9679324199129	2.40278842999846e-09	8.64861657969268e-08	RNF19B
PHC2	974.067003989807	-0.496056617706366	0.175220876726228	-2.8310360441891	0.00463974921079154	0.0321636403979999	PHC2
GJB4	287.605297280022	-0.654737766186499	0.156716655491669	-4.17784417445856	2.94285151313791e-05	0.000506963005288937	GJB4
GJB3	2260.66366960889	-0.466893655887311	0.106367438471482	-4.3894415678017	1.13642107841443e-05	0.000216026544374842	GJB3
SFPQ	2535.24707307099	-0.678392721902252	0.106173152720685	-6.3894939965373	1.66435571584492e-10	7.07991316047879e-09	SFPQ
ADPRHL2	569.296607112	-0.550671197985082	0.145079429310067	-3.79565318531944	0.000147255235874202	0.0019773810150613	ADPRHL2
MAP7D1	3391.10454816649	-0.45135348542852	0.105783122478515	-4.26678164581682	1.98313087864442e-05	0.000354805445141001	MAP7D1
YRDC	294.748435510784	-0.678991339317941	0.190126414123086	-3.5712625331395	0.000355264566995631	0.00418002777762945	YRDC
FHL3	231.965437775817	-0.741528098725882	0.182214930990563	-4.06952435069267	4.71092159738246e-05	0.0007641742953834	FHL3
AKIRIN1	1227.20686755424	-0.682800169270109	0.16978643265586	-4.02152373773043	5.78228795850918e-05	0.000906537568340498	AKIRIN1
MACF1	2233.64437018069	-0.512533113219365	0.174810607352012	-2.93193371376652	0.00336858637593505	0.025297667808411	MACF1
MFSD2A	500.782914232812	-0.594373587858745	0.130901446774437	-4.54061893512102	5.60893273231025e-06	0.000114110828798138	MFSD2A
RLF	271.217201509302	-0.448148243477617	0.168532445677148	-2.65912146279607	0.00783447128196808	0.0470227051525424	RLF
PLK3	383.230040593363	-0.553457707037948	0.206289987725454	-2.68291114435728	0.00729843788633482	0.0446868622673122	PLK3
HECTD3	487.538884181915	0.467737295148783	0.15745810725619	2.97055072805974	0.00297266306054151	0.0231384637201203	HECTD3
