	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
TSPAN6	2364.25237231192	0.932973491199207	0.291016187245536	3.20591613830759	0.00134633219303841	0.00886135459571662	TSPAN6
TNMD	1421.8624364445	4.16280572040995	0.463193804026489	8.98717919847624	2.53656844512574e-19	5.30703992740379e-17	TNMD
SCYL3	860.801687183454	-1.51613614341725	0.387327311512931	-3.91435382517981	9.06466314616184e-05	0.000957581617969429	SCYL3
CFH	9687.40092724743	-1.04033537305117	0.371653610052264	-2.79920696291601	0.00512282910179425	0.0255306601530422	CFH
SEMA3F	159.468572162556	-1.27351042445778	0.426366182847534	-2.9868936038794	0.00281827786651684	0.0160208361322162	SEMA3F
BAD	3790.66521903756	1.28964918880618	0.451455350363925	2.85664836570566	0.00428139857584128	0.0222463351934153	BAD
LASP1	5760.4388699208	-0.969753192541951	0.375354586098307	-2.58356558959951	0.00977848721583871	0.0427174425545259	LASP1
ICA1	973.763039151629	2.14506332497064	0.306524424517137	6.99801762404327	2.5960944146833e-12	1.75864940263446e-10	ICA1
CFLAR	517.19074315944	-1.14668498744747	0.332345571971417	-3.45027911954877	0.000560007223407792	0.00428903133779583	CFLAR
TFPI	6839.06949627979	-1.87985435870453	0.301617313583925	-6.23258106892946	4.58811963184658e-10	2.00503372155484e-08	TFPI
PLXND1	965.738895244471	-1.62213975411998	0.384152261406534	-4.22264793699425	2.41448817241752e-05	0.000309898639371851	PLXND1
RECQL	2149.34421699242	-0.921518382312348	0.362658345551708	-2.54100972338153	0.0110532845538097	0.0470426198777983	RECQL
ARHGAP33	81.1216738456733	2.33766510546577	0.596628450829919	3.91812543001267	8.92402689253618e-05	0.000946531376372097	ARHGAP33
NDUFAB1	5438.25360405529	1.87190557269114	0.469510136858151	3.98693324326814	6.69328483694685e-05	0.00074187829402296	NDUFAB1
PDK4	735.322530129861	-2.30095800071299	0.309425831071647	-7.4362182134051	1.03608635363428e-13	9.07227910097101e-12	PDK4
ZMYND10	62.6884249233369	2.01410522010528	0.482461361197991	4.17464564437676	2.9845023601079e-05	0.000369035589945977	ZMYND10
ST7	3363.61799056829	-0.825400905577576	0.250217930774449	-3.29872804488023	0.000971239553970367	0.00678748020542933	ST7
CALCR	19.0631853252182	-2.66177184019521	0.768802554407556	-3.46223074433771	0.000535717648838806	0.00414038465310463	CALCR
SLC25A5	8346.76425171156	1.0093248768371	0.395756057194277	2.55037126656439	0.0107608256848952	0.0460299332083031	SLC25A5
MCUB	411.664998230423	-1.06827509684563	0.417506602372995	-2.55870228344615	0.0105063675401155	0.0451785269886161	MCUB
