	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000117586	905.942379949805	-3.42836152272177	0.240130381790815	-14.2770835458393	3.04062404387009e-46	5.63366822848251e-42	TNFSF4	ENSG00000117586	TNFSF4	protein_coding	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	1	173183731	173207331	-1
ENSG00000204379	221.397522888152	-5.55115853192837	0.400149685015937	-13.8727049896523	9.27133481135606e-44	8.58896456924026e-40	XAGE1A	ENSG00000204379	XAGE1A	protein_coding	X antigen family member 1A [Source:HGNC Symbol;Acc:HGNC:4111]	X	52495676	52500812	1
ENSG00000198883	383.53620261929	3.82314402118706	0.291546230143981	13.1133371860064	2.76173270730019e-39	1.7056461200286e-35	PNMA5	ENSG00000198883	PNMA5	protein_coding	PNMA family member 5 [Source:HGNC Symbol;Acc:HGNC:18743]	X	152988824	152994116	-1
ENSG00000199347	956.01255011356	3.26928435419867	0.262930288319208	12.4340347971993	1.70791288629704e-35	7.91105248932789e-32	RNU5E-1	ENSG00000199347	RNU5E-1	snRNA	RNA, U5E small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10215]	1	11908152	11908271	1
ENSG00000007312	1333.14160048025	-4.44465444948736	0.360150010682544	-12.3411198602049	5.4394014459176e-35	2.01562459979923e-31	CD79B	ENSG00000007312	CD79B	protein_coding	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]	17	63928740	63932354	-1
ENSG00000204542	308.967414426607	-3.35155779778811	0.272642417518198	-12.2928700100908	9.8930205237702e-35	3.05496473774024e-31	C6orf15	ENSG00000204542	C6orf15	protein_coding	chromosome 6 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:13927]	6	31111223	31112559	-1
ENSG00000188517	2111.85388334223	-3.23910809626044	0.263798139129407	-12.278737473093	1.17822556480057e-34	3.11859475208928e-31	COL25A1	ENSG00000188517	COL25A1	protein_coding	collagen type XXV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18603]	4	108808725	109302752	-1
ENSG00000183098	687.700816552169	2.43227898569488	0.226124602756967	10.7563659860092	5.53084134496192e-27	1.28094285549318e-23	GPC6	ENSG00000183098	GPC6	protein_coding	glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]	13	93226807	94408020	1
ENSG00000082196	1943.48605390087	-3.45806008418987	0.341690485110352	-10.1204459441505	4.48368060475303e-24	9.2304038049849e-21	C1QTNF3	ENSG00000082196	C1QTNF3	protein_coding	C1q and TNF related 3 [Source:HGNC Symbol;Acc:HGNC:14326]	5	34019448	34043832	-1
ENSG00000133863	397.121499834651	3.25458164384879	0.32920913444899	9.88606117900135	4.78485027050597e-23	8.86537058119347e-20	TEX15	ENSG00000133863	TEX15	protein_coding	testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]	8	30831544	30913003	-1
ENSG00000133019	377.091408776735	2.87843211160046	0.301077714699878	9.56042898913908	1.17269593428966e-21	1.97524638822898e-18	CHRM3	ENSG00000133019	CHRM3	protein_coding	cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]	1	239386565	239915452	1
ENSG00000106483	1782.83415330952	-3.00834738428795	0.323753797197478	-9.29208370783362	1.51296869904263e-20	2.33602367132182e-17	SFRP4	ENSG00000106483	SFRP4	protein_coding	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	7	37905932	38025695	-1
ENSG00000182463	152.647220091874	4.82600820551558	0.521145651026879	9.26038276632701	2.03700652516993e-20	2.90320437679604e-17	TSHZ2	ENSG00000182463	TSHZ2	protein_coding	teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]	20	52972358	53495330	1
ENSG00000127472	267.231677006626	-3.36133112304399	0.3681954955067	-9.12920218759934	6.90059384137452e-20	9.13244304949908e-17	PLA2G5	ENSG00000127472	PLA2G5	protein_coding	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	1	20028179	20091911	1
ENSG00000274585	53146.0708848836	1.70645208513471	0.191407817534955	8.91526849379113	4.86635686839513e-19	6.01092400384166e-16	RNU2-1	ENSG00000274585	RNU2-1	snRNA	RNA, U2 small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10142]	17	43233787	43233977	-1
ENSG00000113578	1309.30194560792	-2.99070411566337	0.33782325921458	-8.85286620766311	8.52998946468417e-19	9.87772780010427e-16	FGF1	ENSG00000113578	FGF1	protein_coding	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	5	142592178	142698070	-1
ENSG00000200156	1186.9531560646	2.22335583231709	0.251991208900313	8.82314840275495	1.11285708883037e-18	1.21288330246171e-15	RNU5B-1	ENSG00000200156	RNU5B-1	snRNA	RNA, U5B small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10212]	15	65304677	65304792	1
ENSG00000170396	105.610325283538	4.72532540644845	0.541382022565795	8.72826434844199	2.58610623807415e-18	2.66196535439099e-15	ZNF804A	ENSG00000170396	ZNF804A	protein_coding	zinc finger protein 804A [Source:HGNC Symbol;Acc:HGNC:21711]	2	184598529	184939492	1
ENSG00000110080	3672.92467748662	-1.65351805754646	0.192129755849779	-8.60625700705774	7.54849181428564e-18	7.36097138605707e-15	ST3GAL4	ENSG00000110080	ST3GAL4	protein_coding	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	11	126355640	126440344	1
ENSG00000258017	272.389585877146	2.70766276164552	0.31717594054602	8.53678484245768	1.38008194980299e-17	1.27850791829749e-14	NA	ENSG00000258017	AC011603.2	lncRNA	novel transcript, antisense to TUBA1B	12	49127782	49188484	1
ENSG00000238269	100.542401578972	-6.32730375310719	0.741862317648361	-8.52894614348952	1.47686919117844e-17	1.30302058924544e-14	PAGE2B	ENSG00000238269	PAGE2B	protein_coding	PAGE family member 2B [Source:HGNC Symbol;Acc:HGNC:31805]	X	55075063	55078909	1
ENSG00000164300	757.324793290037	2.05619796115555	0.241736159502743	8.50595941205155	1.80099966485628e-17	1.51676917229351e-14	SERINC5	ENSG00000164300	SERINC5	protein_coding	serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825]	5	80111651	80256048	-1
