	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000147381	1540.46097382521	4.22966772127602	0.241482832590535	17.5153971646836	1.09320341316934e-68	2.12387559110539e-64	MAGEA4	ENSG00000147381	MAGEA4	protein_coding	MAGE family member A4 [Source:HGNC Symbol;Acc:HGNC:6802]	X	151912509	151925170	1
ENSG00000135679	27541.7382990109	2.94040574881959	0.212367322174884	13.845848404107	1.34779948864054e-43	1.30925242326542e-39	MDM2	ENSG00000135679	MDM2	protein_coding	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	12	68808177	68850686	1
ENSG00000166225	9487.14046933301	2.85526518776714	0.213202860406661	13.3922461561774	6.71197372328502e-41	4.34667418319938e-37	FRS2	ENSG00000166225	FRS2	protein_coding	fibroblast growth factor receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:16971]	12	69470349	69579789	1
ENSG00000166226	46312.7563852003	3.07043394685439	0.234920722012914	13.0700856039664	4.88105689043999e-39	2.3707293316867e-35	CCT2	ENSG00000166226	CCT2	protein_coding	chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615]	12	69585426	69601570	1
ENSG00000127337	3942.78146665905	2.91633818593543	0.225733281396127	12.9193983620772	3.49866407037812e-38	1.35944091118612e-34	YEATS4	ENSG00000127337	YEATS4	protein_coding	YEATS domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24859]	12	69359710	69390870	1
ENSG00000127334	8329.47939782323	3.19746186570319	0.25111972330108	12.7328185284339	3.88555060629574e-37	1.25814128631856e-33	DYRK2	ENSG00000127334	DYRK2	protein_coding	dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]	12	67648338	67665406	1
ENSG00000127314	24037.0459423828	2.63330296279572	0.209511106229762	12.5687989060966	3.13449668180989e-36	8.69957164774323e-33	RAP1B	ENSG00000127314	RAP1B	protein_coding	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	12	68610855	68671901	1
ENSG00000111596	12158.0371253498	2.3351181011947	0.197053340899669	11.8501827501805	2.14722029003668e-32	5.21452447435407e-29	CNOT2	ENSG00000111596	AC092881.1	protein_coding	CCR4-NOT transcription complex subunit 2 [Source:NCBI gene;Acc:4848]	12	70242994	70354993	1
ENSG00000256664	1453.41872956764	2.80865029267706	0.250983553332096	11.1905750611504	4.53482924461481e-29	9.78918472937516e-26	NA	ENSG00000256664	AC025423.2	processed_pseudogene	ribosomal L24 domain containing 1 (RSL24D1) pseudogene	12	68841946	68842384	1
ENSG00000111530	43552.6960512565	2.84902121497533	0.25679455658033	11.0945545455287	1.33322540142506e-28	2.59019030988861e-25	CAND1	ENSG00000111530	CAND1	protein_coding	cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]	12	67269358	67319953	1
ENSG00000175782	2278.5244072269	2.9052864402511	0.271714754794877	10.6924132347703	1.10458857071694e-26	1.95090425017169e-23	SLC35E3	ENSG00000175782	SLC35E3	protein_coding	solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]	12	68746176	68793964	1
ENSG00000136732	491.128966626749	3.2233148097403	0.32832426741428	9.81747354566733	9.46868031950155e-23	1.5329793437273e-19	GYPC	ENSG00000136732	GYPC	protein_coding	glycophorin C (Gerbich blood group) [Source:HGNC Symbol;Acc:HGNC:4704]	2	126656133	126696667	1
ENSG00000064763	247.157392608034	4.1192961042578	0.42666546528084	9.65462742935241	4.69864086730969e-22	7.0219380592379e-19	FAR2	ENSG00000064763	FAR2	protein_coding	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	12	29149103	29340980	1
ENSG00000175899	4183.40452155221	2.40611010952351	0.256272782290733	9.38886325740927	6.06512762291611e-21	8.41666424700102e-18	A2M	ENSG00000175899	A2M	protein_coding	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	12	9067664	9116229	-1
ENSG00000120885	3544.99402244447	-2.48690090961807	0.269538948883306	-9.22649924963073	2.79621337937604e-20	3.62165556896785e-17	CLU	ENSG00000120885	CLU	protein_coding	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	8	27596917	27615031	-1
ENSG00000103381	169.643641766414	4.28091888937297	0.46663488594357	9.17402238522445	4.55690378574427e-20	5.53322042183998e-17	CPPED1	ENSG00000103381	CPPED1	protein_coding	calcineurin like phosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25632]	16	12659799	12803887	-1
ENSG00000111554	2831.93705912199	2.99789624356294	0.32965468794568	9.09405008691072	9.54168815713827e-20	1.02986620842712e-16	MDM1	ENSG00000111554	MDM1	protein_coding	Mdm1 nuclear protein [Source:HGNC Symbol;Acc:HGNC:29917]	12	68272443	68332381	-1
ENSG00000139044	279.030489741587	3.14579259902853	0.345852580643672	9.09576153277169	9.39259025055254e-20	1.02986620842712e-16	B4GALNT3	ENSG00000139044	B4GALNT3	protein_coding	beta-1,4-N-acetyl-galactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:24137]	12	460364	563509	1
ENSG00000111581	13260.112403439	2.83399010766961	0.312265342578708	9.0755832340097	1.13070293770108e-19	1.15617350913982e-16	NUP107	ENSG00000111581	NUP107	protein_coding	nucleoporin 107 [Source:HGNC Symbol;Acc:HGNC:29914]	12	68686951	68745809	1
ENSG00000080371	11728.779322443	2.60082333708209	0.298570555578899	8.71091702944166	3.01426240510989e-18	2.92805450032375e-15	RAB21	ENSG00000080371	RAB21	protein_coding	RAB21, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18263]	12	71754863	71800286	1
ENSG00000169302	899.271213276708	-2.18399202069632	0.254051884054761	-8.59663776484947	8.20855701105743e-18	7.5940878862297e-15	STK32A	ENSG00000169302	STK32A	protein_coding	serine/threonine kinase 32A [Source:HGNC Symbol;Acc:HGNC:28317]	5	147234963	147387855	1
ENSG00000163536	415.264275209365	3.68102179902282	0.43077978118646	8.54501989133402	1.28514137228846e-17	1.13489666276456e-14	SERPINI1	ENSG00000163536	SERPINI1	protein_coding	serpin family I member 1 [Source:HGNC Symbol;Acc:HGNC:8943]	3	167735243	167825568	1
