	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OAS3	11001.67253	4.572823977	0.374663876	12.20513712	2.92E-34	5.30E-30
TYMP	6258.952606	3.757170044	0.322143938	11.66301642	1.97E-31	1.19E-27
IFI44	2702.741194	2.743046016	0.234629388	11.69097376	1.42E-31	1.19E-27
OAS2	9430.430109	3.797353853	0.328575826	11.55700924	6.80E-31	3.09E-27
IRF7	1510.162867	4.933854118	0.441262471	11.18122305	5.04E-29	1.83E-25
MX1	17561.82502	3.399080317	0.305131174	11.13973465	8.04E-29	2.43E-25
OASL	2309.224904	6.729953967	0.606596141	11.09462048	1.33E-28	3.46E-25
IFI44L	6889.035377	4.073235485	0.36758673	11.08101885	1.55E-28	3.52E-25
IFIT3	13164.40476	5.367578554	0.495574254	10.83102787	2.45E-27	4.95E-24
STAT1	10067.0463	2.517440722	0.235607051	10.68491249	1.20E-26	2.18E-23
IFITM1	6958.970354	3.833660957	0.360108161	10.6458597	1.82E-26	3.01E-23
EPSTI1	2985.107469	3.848083077	0.373751981	10.29581989	7.36E-25	1.11E-21
CMPK2	3102.497964	4.092661926	0.398878547	10.26042127	1.06E-24	1.48E-21
PARP9	5327.473032	2.579712449	0.253475388	10.17736859	2.50E-24	3.25E-21
ISG15	9175.274347	6.283865376	0.621267796	10.11458411	4.76E-24	5.76E-21
RSAD2	8039.625808	4.812331619	0.478748254	10.05190427	9.01E-24	1.02E-20
DDX60	4044.513292	2.719206742	0.271807077	10.00417934	1.46E-23	1.56E-20
HERC6	4319.467605	3.166238016	0.316848014	9.992923654	1.64E-23	1.65E-20
XAF1	5632.452284	3.249890051	0.331262547	9.810617218	1.01E-22	9.69E-20
IFIT2	18797.94641	6.284893311	0.64139569	9.79877696	1.14E-22	1.03E-19
SIGLEC1	566.8078524	6.363576454	0.651727308	9.764170341	1.60E-22	1.39E-19
HLA-A	15769.89642	1.845031459	0.189348361	9.744111084	1.95E-22	1.61E-19
IFIT1	13245.94057	5.185361625	0.536394595	9.667065397	4.16E-22	3.29E-19
IFITM3	10632.23508	3.676089262	0.382659487	9.606685271	7.49E-22	5.67E-19
SAMD9	6905.885088	3.32648931	0.349843687	9.508501758	1.93E-21	1.41E-18
HELZ2	4999.445345	3.728404196	0.3928933	9.489610014	2.32E-21	1.62E-18
MX2	6693.236784	3.949015043	0.416599596	9.479161949	2.56E-21	1.72E-18
CXCL10	5848.027672	7.632920011	0.819277851	9.316643921	1.20E-20	7.79E-18
PARP12	1952.287632	2.69925925	0.291006162	9.27560856	1.77E-20	1.11E-17
ZBP1	546.4527516	6.978195444	0.759539397	9.187404193	4.02E-20	2.44E-17
SECTM1	1220.086704	4.334417876	0.475657793	9.112471061	8.05E-20	4.72E-17
IFIH1	4150.668334	3.5532793	0.39063391	9.096187531	9.36E-20	5.15E-17
DHX58	801.6271543	2.600212642	0.28577562	9.098791009	9.13E-20	5.15E-17
OAS1	5620.05645	3.623841491	0.405081439	8.945957869	3.69E-19	1.97E-16
CXCL11	2585.269969	9.086400703	1.019866532	8.909401783	5.13E-19	2.66E-16
TRIM22	5821.31996	2.384137804	0.267946813	8.89780242	5.70E-19	2.87E-16
CYBA	1051.97564	1.847481643	0.210325163	8.783930634	1.58E-18	7.75E-16
HERC5	1618.109212	4.489068874	0.511978491	8.768080987	1.82E-18	8.46E-16
LAP3	5895.172867	2.543438026	0.290008612	8.770215511	1.78E-18	8.46E-16
PARP10	1653.15509	2.82747437	0.325473289	8.687270094	3.71E-18	1.69E-15
LY6E	3773.497758	2.374723249	0.274020728	8.66621758	4.47E-18	1.98E-15
DDX58	4124.433303	3.602015597	0.417485862	8.627874432	6.25E-18	2.70E-15
SLC15A3	442.0716416	2.97013149	0.344516379	8.621161927	6.63E-18	2.80E-15
USP18	1131.355919	4.005462747	0.465679833	8.601323194	7.88E-18	3.23E-15
PARP14	13050.86377	2.481705587	0.288579482	8.599729841	7.99E-18	3.23E-15
TNFSF13B	670.8151966	5.094947725	0.605464761	8.414936851	3.93E-17	1.55E-14
SEZ6	38.69410712	23.02930195	2.770197199	8.313235594	9.31E-17	3.60E-14
HLA-B	24358.22625	1.828104768	0.220037634	8.308145914	9.72E-17	3.68E-14
CXCL9	1921.70201	5.723930424	0.69496305	8.236308994	1.78E-16	6.57E-14
IDO1	2205.099185	5.294257408	0.642964901	8.234131293	1.81E-16	6.57E-14
CXCL16	1329.385924	1.434286812	0.174560546	8.216557794	2.09E-16	7.46E-14
GBP1	6273.119923	4.005007918	0.48791035	8.208491409	2.24E-16	7.82E-14
IFI35	1086.764442	3.210920676	0.39133588	8.205024983	2.31E-16	7.90E-14
IFI6	10937.69939	3.92314297	0.479660646	8.178996966	2.86E-16	9.63E-14
IFIT5	1871.230493	2.358687237	0.292754136	8.056887845	7.83E-16	2.58E-13
BST2	2040.345805	2.576736205	0.320984871	8.02759393	9.94E-16	3.22E-13
TRIM69	1460.915757	2.249845771	0.282131026	7.974471294	1.53E-15	4.88E-13
CD163	1078.874661	4.489030833	0.565149442	7.943086376	1.97E-15	6.18E-13
ODF3B	3338.633349	2.57464243	0.326239776	7.89187161	2.98E-15	9.16E-13
PSMB9	1369.348311	2.692204577	0.342108335	7.869450419	3.56E-15	1.08E-12
SERPING1	996.3152951	3.500685609	0.447743074	7.818514262	5.35E-15	1.59E-12
CEBPD	906.8479591	2.307211079	0.295933771	7.796376425	6.37E-15	1.87E-12
RTP4	882.6007781	2.702168528	0.347231123	7.782045869	7.14E-15	2.03E-12
APOL6	5711.600912	2.119054442	0.272258254	7.783251421	7.07E-15	2.03E-12
CST3	1941.614642	1.198002006	0.154438377	7.757152246	8.69E-15	2.43E-12
SP110	2833.543923	2.642539326	0.343216296	7.699341079	1.37E-14	3.76E-12
PLSCR1	3097.443308	2.280397829	0.297785878	7.657844093	1.89E-14	5.13E-12
PPDPF	2221.110843	1.668529803	0.220569216	7.564654008	3.89E-14	1.02E-11
AIM2	288.2692965	4.580075115	0.610004505	7.508264412	5.99E-14	1.53E-11
RNF213	25400.99239	2.411194872	0.321073549	7.509789831	5.92E-14	1.53E-11
NMI	1303.376036	2.408752184	0.32166494	7.488388957	6.97E-14	1.76E-11
ETV7	535.0273219	3.269683403	0.440465033	7.423253066	1.14E-13	2.84E-11
GBP4	3439.181955	3.559151127	0.480369309	7.409197588	1.27E-13	3.12E-11
DDX60L	4133.620343	2.945335444	0.397750984	7.404973364	1.31E-13	3.18E-11
EIF2AK2	5255.649485	1.597910967	0.216017756	7.397127874	1.39E-13	3.33E-11
DTX3L	5357.556179	2.054587294	0.278090908	7.388185801	1.49E-13	3.51E-11
FBXO6	469.2057243	2.342312033	0.318769128	7.347988961	2.01E-13	4.69E-11
HSH2D	846.2102565	2.985281718	0.406814472	7.338189581	2.17E-13	4.98E-11
CXCR2P1	143.2915908	7.04281534	0.961939255	7.321476174	2.45E-13	5.47E-11
ISG20	1303.529419	3.007230504	0.410756543	7.321199272	2.46E-13	5.47E-11
ADAR	10320.10144	1.291178463	0.176378654	7.320491656	2.47E-13	5.47E-11
CFB	4015.987428	2.288410816	0.316540952	7.229430511	4.85E-13	1.06E-10
SPATS2L	3149.180554	1.567110005	0.217004278	7.221562717	5.14E-13	1.11E-10
SDS	664.6823631	5.266454494	0.735754048	7.157900803	8.19E-13	1.75E-10
SAMD9L	5010.782224	3.42380016	0.481038878	7.117512355	1.10E-12	2.32E-10
TMEM140	616.5723615	3.503953084	0.492721052	7.111433674	1.15E-12	2.40E-10
LAMP3	1757.878257	2.983755392	0.420184483	7.101060397	1.24E-12	2.56E-10
HRASLS2	818.6186155	3.63331742	0.514726361	7.058735858	1.68E-12	3.39E-10
TAP2	1531.918993	2.329484674	0.33042875	7.049884966	1.79E-12	3.57E-10
BTN3A3	515.7718084	2.088539808	0.297825965	7.012618274	2.34E-12	4.62E-10
PIK3AP1	1837.385842	3.323211639	0.474043407	7.010353044	2.38E-12	4.64E-10
PML	2027.226841	2.23606787	0.319138712	7.006570461	2.44E-12	4.72E-10
NECTIN2	1175.129331	1.448333582	0.207165553	6.991189222	2.73E-12	5.21E-10
TAP1	2956.754812	2.833817763	0.407008191	6.96255709	3.34E-12	6.32E-10
TGM2	3901.816015	2.285696522	0.330133801	6.923545895	4.40E-12	8.16E-10
STAB1	134.8011794	4.405824961	0.638510844	6.900156825	5.19E-12	9.53E-10
CCL8	341.6792983	10.37522043	1.505893372	6.889744405	5.59E-12	1.01E-09
CD300E	416.2698528	8.204872198	1.190800658	6.890214701	5.57E-12	1.01E-09
HLA-E	12685.80543	1.534086994	0.223157768	6.874450342	6.22E-12	1.11E-09
IRF9	2176.117708	1.38316207	0.20127541	6.871987335	6.33E-12	1.12E-09
PYCARD	332.0524054	1.772575272	0.258434172	6.858904368	6.94E-12	1.21E-09
ZNF814	259.5694228	-1.54502469	0.225423858	-6.853865014	7.19E-12	1.24E-09
PKP3	697.9956652	1.182095538	0.173428917	6.816023278	9.36E-12	1.60E-09
INO80B-WBP1	77.45711944	23.96982814	3.522545466	6.804689499	1.01E-11	1.72E-09
OTOF	143.3348464	8.292967419	1.225083349	6.76930874	1.29E-11	2.18E-09
FAM83A	274.0310506	2.545380633	0.378187127	6.730479314	1.69E-11	2.79E-09
DNPH1	279.277433	1.422588404	0.211325244	6.731748556	1.68E-11	2.79E-09
RGS19	344.3934047	3.584674097	0.533269671	6.722066328	1.79E-11	2.93E-09
ZNF710	677.471494	1.640111557	0.244424273	6.710101005	1.94E-11	3.15E-09
RNF31	686.1758356	1.212150733	0.18186319	6.665179099	2.64E-11	4.25E-09
CAPN15	539.5908343	1.757075206	0.263836891	6.659702501	2.74E-11	4.33E-09
GSDMD	559.2411198	1.644601523	0.247725901	6.638795196	3.16E-11	4.91E-09
KLHDC7B	607.8116062	3.61030744	0.544051815	6.635962496	3.22E-11	4.96E-09
PLVAP	122.6683934	4.639628749	0.701369117	6.615102718	3.71E-11	5.67E-09
HLA-C	10203.00747	1.563135018	0.23731379	6.586785448	4.49E-11	6.80E-09
CD74	13286.63472	1.787416961	0.272512826	6.559019577	5.42E-11	8.13E-09
