	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000204186	1178.01742064512	3.83270625659414	0.202555134798358	18.9217926290023	7.54443226208078e-80	1.432914019537e-75	ZDBF2	ENSG00000204186	ZDBF2	protein_coding	zinc finger DBF-type containing 2 [Source:HGNC Symbol;Acc:HGNC:29313]	2	206274663	206314427	1
ENSG00000204248	3328.89944174147	4.60490606566167	0.264175683114818	17.4312261119819	4.78097935485891e-68	4.54025704434176e-64	COL11A2	ENSG00000204248	COL11A2	protein_coding	collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]	6	33162681	33192499	-1
ENSG00000180543	517.637319396209	-7.58359367970728	0.436350795453132	-17.3795802797427	1.1781257291543e-67	7.45871399127587e-64	TSPYL5	ENSG00000180543	TSPYL5	protein_coding	TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]	8	97273474	97277964	-1
ENSG00000283994	326.32720547187	6.41078699497144	0.413394806509134	15.5076621525718	3.07886450711174e-54	1.46192183958933e-50	NA	ENSG00000283994	AC092652.3	lncRNA	novel transcript, sense intronic to ARHGAP15	2	143601517	143608759	1
ENSG00000185686	472.6867786399	6.19140091695268	0.420480135493394	14.7245978925679	4.4812722536871e-49	1.70225607828558e-45	PRAME	ENSG00000185686	PRAME	protein_coding	preferentially expressed antigen in melanoma [Source:HGNC Symbol;Acc:HGNC:9336]	22	22547701	22559361	-1
ENSG00000198681	424.080791774904	6.02952209987205	0.415725846454139	14.5036017156494	1.14956197467204e-47	3.63893843082434e-44	MAGEA1	ENSG00000198681	MAGEA1	protein_coding	MAGE family member A1 [Source:HGNC Symbol;Acc:HGNC:6796]	X	153179284	153183880	1
ENSG00000198121	403.477149039989	4.40261612729032	0.329175142557138	13.3746919438977	8.50051451108553e-41	2.30643245870068e-37	LPAR1	ENSG00000198121	LPAR1	protein_coding	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	9	110873263	111038458	-1
ENSG00000168772	659.226327233136	-3.3174509474891	0.255883301852452	-12.9647027511081	1.93980906971286e-38	4.60534920763204e-35	CXXC4	ENSG00000168772	CXXC4	protein_coding	CXXC finger protein 4 [Source:HGNC Symbol;Acc:HGNC:24593]	4	104468308	104494901	-1
ENSG00000187720	4288.4812550378	3.85953684465361	0.322333852141439	11.973724816716	4.87881202641371e-33	1.02959196464084e-29	THSD4	ENSG00000187720	THSD4	protein_coding	thrombospondin type 1 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25835]	15	71096952	71783383	1
ENSG00000145365	176.287543190193	4.30329888358107	0.369606450347191	11.642921489976	2.49326258089025e-31	4.73545361988485e-28	TIFA	ENSG00000145365	TIFA	protein_coding	TRAF interacting protein with forkhead associated domain [Source:HGNC Symbol;Acc:HGNC:19075]	4	112274537	112285904	-1
ENSG00000179909	303.643753977599	-5.05814133733122	0.45754470705887	-11.0549663438253	2.07414611897637e-28	3.58129611251984e-25	ZNF154	ENSG00000179909	ZNF154	protein_coding	zinc finger protein 154 [Source:HGNC Symbol;Acc:HGNC:12939]	19	57697367	57709194	-1
ENSG00000118596	373.238697715484	-4.67312075384798	0.426709571648607	-10.9515254972913	6.53378487596381e-28	1.03413480124317e-24	SLC16A7	ENSG00000118596	SLC16A7	protein_coding	solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]	12	59596029	59789855	1
ENSG00000276368	298.619812235696	-5.37825015775251	0.495287211807989	-10.8588512473799	1.81011869052863e-27	2.64458340686233e-24	HIST1H2AJ	ENSG00000276368	HIST1H2AJ	protein_coding	histone cluster 1 H2A family member j [Source:HGNC Symbol;Acc:HGNC:4727]	6	27814354	27814740	-1
ENSG00000179930	346.680529296639	4.01429492335137	0.404105763436632	9.93377300341538	2.96807426875695e-23	4.02661675617863e-20	ZNF648	ENSG00000179930	ZNF648	protein_coding	zinc finger protein 648 [Source:HGNC Symbol;Acc:HGNC:18190]	1	182054570	182061712	-1
ENSG00000101608	375.846784098447	2.92887280919718	0.303360190245007	9.65476981944036	4.69211813654183e-22	5.94115998448927e-19	MYL12A	ENSG00000101608	MYL12A	protein_coding	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	18	3247481	3256236	1
ENSG00000046774	119.860836202536	6.17548627440795	0.667361807898857	9.25358059348802	2.17095577073063e-20	2.57706018459293e-17	MAGEC2	ENSG00000046774	MAGEC2	protein_coding	MAGE family member C2 [Source:HGNC Symbol;Acc:HGNC:13574]	X	142202342	142205290	-1
ENSG00000167107	231.272673083949	2.82038607027639	0.316214662341759	8.91921345262658	4.69611476520922e-19	5.24666516091874e-16	ACSF2	ENSG00000167107	ACSF2	protein_coding	acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101]	17	50426158	50474845	1
ENSG00000263874	94.9217254913474	-6.10964803026496	0.703354485578388	-8.68644212205576	3.73967342974784e-18	3.94597874728892e-15	LINC00672	ENSG00000263874	LINC00672	protein_coding	long intergenic non-protein coding RNA 672 [Source:HGNC Symbol;Acc:HGNC:44353]	17	38925168	38929384	1
ENSG00000251396	419.165813458492	2.34840436473901	0.272862577863376	8.606546134424	7.52948536033547e-18	7.52671133941324e-15	NA	ENSG00000251396	LINC01301	lncRNA	long intergenic non-protein coding RNA 1301 [Source:HGNC Symbol;Acc:HGNC:50464]	8	60289928	60516795	-1
ENSG00000128833	313.998961456399	3.38672340250184	0.395383692021429	8.56566285065263	1.07455876056681e-17	1.02045472697227e-14	MYO5C	ENSG00000128833	MYO5C	protein_coding	myosin VC [Source:HGNC Symbol;Acc:HGNC:7604]	15	52192322	52295804	-1
ENSG00000261857	110.097550312828	3.85976962370662	0.463182949426476	8.33314272143626	7.87241654606832e-17	7.12003845045122e-14	MIA	ENSG00000261857	MIA	protein_coding	MIA SH3 domain containing [Source:HGNC Symbol;Acc:HGNC:7076]	19	40771648	40777490	1
ENSG00000166573	774.375983154553	-3.19378574675031	0.398377534385458	-8.01698256322884	1.08374499120521e-15	9.35616755361847e-13	GALR1	ENSG00000166573	GALR1	protein_coding	galanin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4132]	18	77250549	77277896	1
