	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000164161	648.453427222562	3.81080063318764	0.256557258312814	14.8536067864478	6.59242366446521e-50	1.3079368550299e-45	HHIP	ENSG00000164161	HHIP	protein_coding	hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]	4	144646156	144745271	1
ENSG00000112309	490.332821480437	-4.14386475958203	0.292857319356292	-14.149773578104	1.87359553611642e-45	1.85860677182749e-41	B3GAT2	ENSG00000112309	B3GAT2	protein_coding	beta-1,3-glucuronyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:922]	6	70856679	70957038	-1
ENSG00000164199	542.626692563332	4.29283426544094	0.317360725127644	13.5266714673479	1.08841330445364e-41	7.19803998678676e-38	ADGRV1	ENSG00000164199	ADGRV1	protein_coding	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]	5	90529344	91164437	1
ENSG00000151491	407.130344454622	3.52159157783445	0.275273313320607	12.7930729475868	1.79243678882663e-37	8.89048647258007e-34	EPS8	ENSG00000151491	EPS8	protein_coding	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	12	15620134	15882329	-1
ENSG00000234456	319.272040612951	5.10950475486762	0.406650111703501	12.5648674568497	3.29426632892792e-36	1.3071648793186e-32	MAGI2-AS3	ENSG00000234456	MAGI2-AS3	lncRNA	MAGI2 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40862]	7	79452877	79471208	1
ENSG00000103888	780.647122536612	3.24065377849814	0.264443871003676	12.2545996857424	1.58731230973669e-34	4.49889660359656e-31	CEMIP	ENSG00000103888	CEMIP	protein_coding	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	15	80779343	80951776	1
ENSG00000111335	507.634399945849	3.89087524146014	0.317186421846992	12.2668404870656	1.36475600549339e-34	4.49889660359656e-31	OAS2	ENSG00000111335	OAS2	protein_coding	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	12	112978395	113011723	1
ENSG00000182752	437.989018859766	4.85155164469982	0.398346672349953	12.1792197135205	4.01100824016535e-34	9.94730043561008e-31	PAPPA	ENSG00000182752	PAPPA	protein_coding	pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602]	9	116153791	116402321	1
ENSG00000106153	17749.1916365664	-2.72138301706137	0.226600804140144	-12.0095911724051	3.16405350391406e-33	6.97498016862833e-30	CHCHD2	ENSG00000106153	CHCHD2	protein_coding	coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]	7	56101573	56106476	-1
ENSG00000137965	772.772373680138	3.1588768715787	0.265378027286716	11.903309794996	1.13744641911149e-32	2.2566936955172e-29	IFI44	ENSG00000137965	IFI44	protein_coding	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	1	78649796	78664078	1
ENSG00000132434	3961.93032604267	-2.68164298941437	0.226761797176413	-11.8258146778055	2.87103734365975e-32	5.17830735438268e-29	LANCL2	ENSG00000132434	LANCL2	protein_coding	LanC like 2 [Source:HGNC Symbol;Acc:HGNC:6509]	7	55365448	55433742	1
ENSG00000136869	710.265408767139	4.3667092733979	0.372917689906234	11.7095793296796	1.13843040530665e-31	1.88220493677367e-28	TLR4	ENSG00000136869	TLR4	protein_coding	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	9	117704175	117724735	1
ENSG00000171724	599.001894163329	4.22457774967843	0.367861172324661	11.484163231965	1.58462250413648e-30	2.41837772938982e-27	VAT1L	ENSG00000171724	VAT1L	protein_coding	vesicle amine transport 1 like [Source:HGNC Symbol;Acc:HGNC:29315]	16	77788564	77980107	1
ENSG00000260361	135.225260776406	4.86283992851452	0.429893239171497	11.3117385560339	1.14792120687022e-29	1.62676833887894e-26	NA	ENSG00000260361	AC106028.3	lncRNA	novel transcript	15	92779757	92781492	-1
ENSG00000109846	847.49113813019	2.6964770846062	0.239412321338111	11.2629002113809	2.00064192580188e-29	2.64618238719396e-26	CRYAB	ENSG00000109846	CRYAB	protein_coding	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	11	111908619	111923722	-1
ENSG00000105519	354.50637007528	3.85184643977295	0.342629268696767	11.2420239357365	2.53502790443584e-29	3.14343460150044e-26	CAPS	ENSG00000105519	CAPS	protein_coding	calcyphosine [Source:HGNC Symbol;Acc:HGNC:1487]	19	5911375	5915877	1
ENSG00000204262	17743.7186016754	-2.13924476120782	0.194380482164909	-11.0054504309385	3.59713821877525e-28	4.19807189767653e-25	COL5A2	ENSG00000204262	COL5A2	protein_coding	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	2	189031898	189225312	-1
ENSG00000106511	130.666887784557	-5.42991185737177	0.499697139011902	-10.8664057354998	1.66636845475782e-27	1.83670834124417e-24	MEOX2	ENSG00000106511	MEOX2	protein_coding	mesenchyme homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7014]	7	15611212	15686683	-1
ENSG00000139278	299.997496122387	3.68359926404508	0.351377055922647	10.4833232618808	1.03057408496984e-25	1.07613630767377e-22	GLIPR1	ENSG00000139278	GLIPR1	protein_coding	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	12	75480753	75503863	1
ENSG00000178695	1987.23572309874	-2.24091176432795	0.216155130449975	-10.3671458533647	3.49817180496539e-25	3.47018643052567e-22	KCTD12	ENSG00000178695	KCTD12	protein_coding	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	13	76880166	76886390	-1
